model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.011,59.376,SRV,1
null,2,0.276,30.631,SRV,1
null,3,9.098,9.993,SRV,1
null,1,0.06,58.169,SRV,2
null,2,0.163,31.741,SRV,2
null,3,9.051,10.091,SRV,2
null,1,0.016,56.964,SRV,3
null,2,0.243,32.994,SRV,3
null,3,9.068,10.042,SRV,3
null,1,0.027,59.391,SRV,4
null,2,0.211,30.33,SRV,4
null,3,8.946,10.28,SRV,4
null,1,0.0,56.534,SRV,5
null,2,0.315,33.772,SRV,5
null,3,9.219,9.695,SRV,5
null,1,0.014,58.882,SRV,6
null,2,0.272,31.165,SRV,6
null,3,9.11,9.953,SRV,6
null,1,0.023,58.397,SRV,7
null,2,0.242,31.546,SRV,7
null,3,9.049,10.057,SRV,7
null,1,0.028,57.718,SRV,8
null,2,0.228,32.22,SRV,8
null,3,9.049,10.062,SRV,8
null,1,0.068,60.462,SRV,9
null,2,0.171,29.563,SRV,9
null,3,9.104,9.975,SRV,9
null,1,0.021,58.444,SRV,10
null,2,0.231,31.415,SRV,10
null,3,9.021,10.141,SRV,10
