model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.661,44.425,SRV,1
null,2,0.676,27.583,SRV,1
null,3,1.857,27.992,SRV,1
null,1,0.654,28.121,SRV,2
null,2,0.665,42.674,SRV,2
null,3,1.823,29.205,SRV,2
null,1,0.656,41.333,SRV,3
null,2,0.667,29.539,SRV,3
null,3,1.825,29.128,SRV,3
null,1,0.647,31.936,SRV,4
null,2,0.677,39.32,SRV,4
null,3,1.834,28.744,SRV,4
null,1,0.663,26.099,SRV,5
null,2,0.664,45.237,SRV,5
null,3,1.837,28.664,SRV,5
null,1,0.66,45.319,SRV,6
null,2,0.676,26.487,SRV,6
null,3,1.851,28.195,SRV,6
null,1,0.655,46.335,SRV,7
null,2,0.67,24.41,SRV,7
null,3,1.822,29.254,SRV,7
null,1,0.654,33.015,SRV,8
null,2,0.678,39.062,SRV,8
null,3,1.858,27.923,SRV,8
null,1,0.65,39.44,SRV,9
null,2,0.674,31.299,SRV,9
null,3,1.821,29.26,SRV,9
null,1,0.655,42.692,SRV,10
null,2,0.668,28.06,SRV,10
null,3,1.822,29.248,SRV,10
