model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,12.766,0.281,SRV,1
alternative,reference,Negative selection,0.179,79.777,SRV,1
alternative,reference,Negative selection,0.253,19.941,SRV,1
alternative,test,Diversifying selection,5.783,0.281,SRV,1
alternative,test,Diversifying selection,12.766,0.281,SRV,1
alternative,test,Negative selection,0.154,19.941,SRV,1
alternative,test,Negative selection,0.306,79.777,SRV,1
alternative,test,Negative selection,0.179,79.777,SRV,1
alternative,test,Negative selection,0.253,19.941,SRV,1
null,reference,Diversifying selection,11.883,0.262,SRV,1
null,reference,Negative selection,0.168,49.712,SRV,1
null,reference,Negative selection,0.221,50.026,SRV,1
null,test,Diversifying selection,11.883,0.262,SRV,1
null,test,Negative selection,0.168,49.712,SRV,1
null,test,Negative selection,0.221,50.026,SRV,1
alternative,reference,Diversifying selection,12.861,0.272,SRV,2
alternative,reference,Negative selection,0.19,82.876,SRV,2
alternative,reference,Negative selection,0.212,16.852,SRV,2
alternative,test,Diversifying selection,7.278,0.272,SRV,2
alternative,test,Diversifying selection,12.861,0.272,SRV,2
alternative,test,Negative selection,0.275,82.876,SRV,2
alternative,test,Negative selection,0.299,16.852,SRV,2
alternative,test,Negative selection,0.19,82.876,SRV,2
alternative,test,Negative selection,0.212,16.852,SRV,2
null,reference,Diversifying selection,12.208,0.246,SRV,2
null,reference,Negative selection,0.204,86.568,SRV,2
null,reference,Negative selection,0.216,13.186,SRV,2
null,test,Diversifying selection,12.208,0.246,SRV,2
null,test,Negative selection,0.204,86.568,SRV,2
null,test,Negative selection,0.216,13.186,SRV,2
alternative,reference,Diversifying selection,13.082,0.266,SRV,3
alternative,reference,Negative selection,0.191,77.603,SRV,3
alternative,reference,Negative selection,0.207,22.131,SRV,3
alternative,test,Diversifying selection,7.453,0.266,SRV,3
alternative,test,Diversifying selection,13.082,0.266,SRV,3
alternative,test,Negative selection,0.274,77.603,SRV,3
alternative,test,Negative selection,0.292,22.131,SRV,3
alternative,test,Negative selection,0.191,77.603,SRV,3
alternative,test,Negative selection,0.207,22.131,SRV,3
null,reference,Diversifying selection,12.297,0.243,SRV,3
null,reference,Negative selection,0.201,82.945,SRV,3
null,reference,Negative selection,0.225,16.812,SRV,3
null,test,Diversifying selection,12.297,0.243,SRV,3
null,test,Negative selection,0.201,82.945,SRV,3
null,test,Negative selection,0.225,16.812,SRV,3
alternative,reference,Diversifying selection,12.957,0.268,SRV,4
alternative,reference,Negative selection,0.187,74.131,SRV,4
alternative,reference,Negative selection,0.211,25.601,SRV,4
alternative,test,Diversifying selection,7.344,0.268,SRV,4
alternative,test,Diversifying selection,12.957,0.268,SRV,4
alternative,test,Negative selection,0.271,74.131,SRV,4
alternative,test,Negative selection,0.297,25.601,SRV,4
alternative,test,Negative selection,0.187,74.131,SRV,4
alternative,test,Negative selection,0.211,25.601,SRV,4
null,reference,Diversifying selection,12.264,0.244,SRV,4
null,reference,Negative selection,0.201,75.514,SRV,4
null,reference,Negative selection,0.218,24.242,SRV,4
null,test,Diversifying selection,12.264,0.244,SRV,4
null,test,Negative selection,0.201,75.514,SRV,4
null,test,Negative selection,0.218,24.242,SRV,4
alternative,reference,Diversifying selection,12.74,0.274,SRV,5
alternative,reference,Negative selection,0.192,85.354,SRV,5
alternative,reference,Negative selection,0.2,14.371,SRV,5
alternative,test,Diversifying selection,7.259,0.274,SRV,5
alternative,test,Diversifying selection,12.74,0.274,SRV,5
alternative,test,Negative selection,0.277,85.354,SRV,5
alternative,test,Negative selection,0.285,14.371,SRV,5
alternative,test,Negative selection,0.192,85.354,SRV,5
alternative,test,Negative selection,0.2,14.371,SRV,5
null,reference,Diversifying selection,12.319,0.241,SRV,5
null,reference,Negative selection,0.204,88.949,SRV,5
null,reference,Negative selection,0.216,10.81,SRV,5
null,test,Diversifying selection,12.319,0.241,SRV,5
null,test,Negative selection,0.204,88.949,SRV,5
null,test,Negative selection,0.216,10.81,SRV,5
alternative,reference,Diversifying selection,12.857,0.271,SRV,6
alternative,reference,Negative selection,0.192,85.734,SRV,6
alternative,reference,Negative selection,0.201,13.995,SRV,6
alternative,test,Diversifying selection,7.326,0.271,SRV,6
alternative,test,Diversifying selection,12.857,0.271,SRV,6
alternative,test,Negative selection,0.277,85.734,SRV,6
alternative,test,Negative selection,0.286,13.995,SRV,6
alternative,test,Negative selection,0.192,85.734,SRV,6
alternative,test,Negative selection,0.201,13.995,SRV,6
null,reference,Diversifying selection,12.311,0.242,SRV,6
null,reference,Negative selection,0.204,88.925,SRV,6
null,reference,Negative selection,0.22,10.833,SRV,6
null,test,Diversifying selection,12.311,0.242,SRV,6
null,test,Negative selection,0.204,88.925,SRV,6
null,test,Negative selection,0.22,10.833,SRV,6
alternative,reference,Diversifying selection,12.787,0.28,SRV,7
alternative,reference,Negative selection,0.182,86.057,SRV,7
alternative,reference,Negative selection,0.263,13.663,SRV,7
alternative,test,Diversifying selection,6.178,0.28,SRV,7
alternative,test,Diversifying selection,12.787,0.28,SRV,7
alternative,test,Negative selection,0.144,13.663,SRV,7
alternative,test,Negative selection,0.296,86.057,SRV,7
alternative,test,Negative selection,0.182,86.057,SRV,7
alternative,test,Negative selection,0.263,13.663,SRV,7
null,reference,Diversifying selection,11.809,0.263,SRV,7
null,reference,Negative selection,0.156,42.993,SRV,7
null,reference,Negative selection,0.225,56.744,SRV,7
null,test,Diversifying selection,11.809,0.263,SRV,7
null,test,Negative selection,0.156,42.993,SRV,7
null,test,Negative selection,0.225,56.744,SRV,7
alternative,reference,Diversifying selection,12.778,0.273,SRV,8
alternative,reference,Negative selection,0.192,77.846,SRV,8
alternative,reference,Negative selection,0.198,21.881,SRV,8
alternative,test,Diversifying selection,7.281,0.273,SRV,8
alternative,test,Diversifying selection,12.778,0.273,SRV,8
alternative,test,Negative selection,0.277,77.846,SRV,8
alternative,test,Negative selection,0.283,21.881,SRV,8
alternative,test,Negative selection,0.192,77.846,SRV,8
alternative,test,Negative selection,0.198,21.881,SRV,8
null,reference,Diversifying selection,12.218,0.245,SRV,8
null,reference,Negative selection,0.203,83.893,SRV,8
null,reference,Negative selection,0.217,15.862,SRV,8
null,test,Diversifying selection,12.218,0.245,SRV,8
null,test,Negative selection,0.203,83.893,SRV,8
null,test,Negative selection,0.217,15.862,SRV,8
alternative,reference,Diversifying selection,12.836,0.272,SRV,9
alternative,reference,Negative selection,0.192,74.396,SRV,9
alternative,reference,Negative selection,0.199,25.332,SRV,9
alternative,test,Diversifying selection,7.309,0.272,SRV,9
alternative,test,Diversifying selection,12.836,0.272,SRV,9
alternative,test,Negative selection,0.276,74.396,SRV,9
alternative,test,Negative selection,0.284,25.332,SRV,9
alternative,test,Negative selection,0.192,74.396,SRV,9
alternative,test,Negative selection,0.199,25.332,SRV,9
null,reference,Diversifying selection,12.334,0.241,SRV,9
null,reference,Negative selection,0.203,82.394,SRV,9
null,reference,Negative selection,0.219,17.366,SRV,9
null,test,Diversifying selection,12.334,0.241,SRV,9
null,test,Negative selection,0.203,82.394,SRV,9
null,test,Negative selection,0.219,17.366,SRV,9
alternative,reference,Diversifying selection,13.315,0.281,SRV,10
alternative,reference,Negative selection,0.187,98.731,SRV,10
alternative,reference,Neutral evolution,1.0,0.988,SRV,10
alternative,test,Diversifying selection,13.315,0.281,SRV,10
alternative,test,Negative selection,0.263,0.281,SRV,10
alternative,test,Negative selection,0.269,98.731,SRV,10
alternative,test,Negative selection,0.187,98.731,SRV,10
alternative,test,Neutral evolution,1.0,0.988,SRV,10
alternative,test,Neutral evolution,1.0,0.988,SRV,10
null,reference,Diversifying selection,15.033,0.23,SRV,10
null,reference,Negative selection,0.201,99.004,SRV,10
null,reference,Neutral evolution,1.0,0.766,SRV,10
null,test,Diversifying selection,15.033,0.23,SRV,10
null,test,Negative selection,0.201,99.004,SRV,10
null,test,Neutral evolution,1.0,0.766,SRV,10
alternative,reference,Diversifying selection,12.827,0.271,SRV+Double,1
alternative,reference,Negative selection,0.183,18.047,SRV+Double,1
alternative,reference,Negative selection,0.196,81.681,SRV+Double,1
alternative,test,Diversifying selection,7.306,0.271,SRV+Double,1
alternative,test,Diversifying selection,12.827,0.271,SRV+Double,1
alternative,test,Negative selection,0.266,18.047,SRV+Double,1
alternative,test,Negative selection,0.281,81.681,SRV+Double,1
alternative,test,Negative selection,0.183,18.047,SRV+Double,1
alternative,test,Negative selection,0.196,81.681,SRV+Double,1
null,reference,Diversifying selection,12.274,0.242,SRV+Double,1
null,reference,Negative selection,0.203,82.184,SRV+Double,1
null,reference,Negative selection,0.219,17.575,SRV+Double,1
null,test,Diversifying selection,12.274,0.242,SRV+Double,1
null,test,Negative selection,0.203,82.184,SRV+Double,1
null,test,Negative selection,0.219,17.575,SRV+Double,1
alternative,reference,Diversifying selection,12.759,0.275,SRV+Double,2
alternative,reference,Negative selection,0.191,82.428,SRV+Double,2
alternative,reference,Negative selection,0.203,17.297,SRV+Double,2
alternative,test,Diversifying selection,7.235,0.275,SRV+Double,2
alternative,test,Diversifying selection,12.759,0.275,SRV+Double,2
alternative,test,Negative selection,0.276,82.428,SRV+Double,2
alternative,test,Negative selection,0.29,17.297,SRV+Double,2
alternative,test,Negative selection,0.191,82.428,SRV+Double,2
alternative,test,Negative selection,0.203,17.297,SRV+Double,2
null,reference,Diversifying selection,12.304,0.24,SRV+Double,2
null,reference,Negative selection,0.201,82.669,SRV+Double,2
null,reference,Negative selection,0.226,17.091,SRV+Double,2
null,test,Diversifying selection,12.304,0.24,SRV+Double,2
null,test,Negative selection,0.201,82.669,SRV+Double,2
null,test,Negative selection,0.226,17.091,SRV+Double,2
alternative,reference,Diversifying selection,12.76,0.273,SRV+Double,3
alternative,reference,Negative selection,0.182,19.025,SRV+Double,3
alternative,reference,Negative selection,0.196,80.702,SRV+Double,3
alternative,test,Diversifying selection,7.269,0.273,SRV+Double,3
alternative,test,Diversifying selection,12.76,0.273,SRV+Double,3
alternative,test,Negative selection,0.265,19.025,SRV+Double,3
alternative,test,Negative selection,0.281,80.702,SRV+Double,3
alternative,test,Negative selection,0.182,19.025,SRV+Double,3
alternative,test,Negative selection,0.196,80.702,SRV+Double,3
null,reference,Diversifying selection,12.261,0.242,SRV+Double,3
null,reference,Negative selection,0.203,81.45,SRV+Double,3
null,reference,Negative selection,0.217,18.308,SRV+Double,3
null,test,Diversifying selection,12.261,0.242,SRV+Double,3
null,test,Negative selection,0.203,81.45,SRV+Double,3
null,test,Negative selection,0.217,18.308,SRV+Double,3
alternative,reference,Diversifying selection,12.823,0.281,SRV+Double,4
alternative,reference,Negative selection,0.179,81.373,SRV+Double,4
alternative,reference,Negative selection,0.255,18.346,SRV+Double,4
alternative,test,Diversifying selection,5.9,0.281,SRV+Double,4
alternative,test,Diversifying selection,12.823,0.281,SRV+Double,4
alternative,test,Negative selection,0.154,18.346,SRV+Double,4
alternative,test,Negative selection,0.303,81.373,SRV+Double,4
alternative,test,Negative selection,0.179,81.373,SRV+Double,4
alternative,test,Negative selection,0.255,18.346,SRV+Double,4
null,reference,Diversifying selection,12.121,0.254,SRV+Double,4
null,reference,Negative selection,0.172,48.891,SRV+Double,4
null,reference,Negative selection,0.218,50.854,SRV+Double,4
null,test,Diversifying selection,12.121,0.254,SRV+Double,4
null,test,Negative selection,0.172,48.891,SRV+Double,4
null,test,Negative selection,0.218,50.854,SRV+Double,4
alternative,reference,Diversifying selection,12.697,0.274,SRV+Double,5
alternative,reference,Negative selection,0.186,8.82,SRV+Double,5
alternative,reference,Negative selection,0.194,90.906,SRV+Double,5
alternative,test,Diversifying selection,7.229,0.274,SRV+Double,5
alternative,test,Diversifying selection,12.697,0.274,SRV+Double,5
alternative,test,Negative selection,0.27,8.82,SRV+Double,5
alternative,test,Negative selection,0.279,90.906,SRV+Double,5
alternative,test,Negative selection,0.186,8.82,SRV+Double,5
alternative,test,Negative selection,0.194,90.906,SRV+Double,5
null,reference,Diversifying selection,12.322,0.241,SRV+Double,5
null,reference,Negative selection,0.204,90.671,SRV+Double,5
null,reference,Negative selection,0.218,9.088,SRV+Double,5
null,test,Diversifying selection,12.322,0.241,SRV+Double,5
null,test,Negative selection,0.204,90.671,SRV+Double,5
null,test,Negative selection,0.218,9.088,SRV+Double,5
alternative,reference,Diversifying selection,12.909,0.27,SRV+Double,6
alternative,reference,Negative selection,0.185,20.324,SRV+Double,6
alternative,reference,Negative selection,0.196,79.406,SRV+Double,6
alternative,test,Diversifying selection,7.328,0.27,SRV+Double,6
alternative,test,Diversifying selection,12.909,0.27,SRV+Double,6
alternative,test,Negative selection,0.268,20.324,SRV+Double,6
alternative,test,Negative selection,0.281,79.406,SRV+Double,6
alternative,test,Negative selection,0.185,20.324,SRV+Double,6
alternative,test,Negative selection,0.196,79.406,SRV+Double,6
null,reference,Diversifying selection,12.311,0.24,SRV+Double,6
null,reference,Negative selection,0.203,80.065,SRV+Double,6
null,reference,Negative selection,0.217,19.695,SRV+Double,6
null,test,Diversifying selection,12.311,0.24,SRV+Double,6
null,test,Negative selection,0.203,80.065,SRV+Double,6
null,test,Negative selection,0.217,19.695,SRV+Double,6
alternative,reference,Diversifying selection,12.634,0.278,SRV+Double,7
alternative,reference,Negative selection,0.191,85.624,SRV+Double,7
alternative,reference,Negative selection,0.206,14.099,SRV+Double,7
alternative,test,Diversifying selection,7.19,0.278,SRV+Double,7
alternative,test,Diversifying selection,12.634,0.278,SRV+Double,7
alternative,test,Negative selection,0.276,85.624,SRV+Double,7
alternative,test,Negative selection,0.293,14.099,SRV+Double,7
alternative,test,Negative selection,0.191,85.624,SRV+Double,7
