model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.1668,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.1674,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.1662,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.1679,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.1675,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.1671,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.2228,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.1678,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.1675,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.1673,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.102,SRV+Double+Triple,1
alternative,reference,3H,0.1541,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.1526,SRV+Double+Triple,1
null,reference,3H,0.1539,SRV+Double+Triple,1
null,test,2H,0.2546,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,3
alternative,reference,3H,0.103,SRV+Double+Triple,3
alternative,reference,3H,0.0875,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0,SRV+Double+Triple,3
null,reference,3H,0.163,SRV+Double+Triple,3
null,reference,3H,0.1542,SRV+Double+Triple,3
null,test,2H,0.1944,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.0,SRV+Double+Triple,4
alternative,reference,3H,0.1035,SRV+Double+Triple,4
alternative,reference,3H,0.1235,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0,SRV+Double+Triple,4
null,reference,3H,0.1628,SRV+Double+Triple,4
null,reference,3H,0.1536,SRV+Double+Triple,4
null,test,2H,0.1951,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.0,SRV+Double+Triple,5
alternative,reference,3H,0.1033,SRV+Double+Triple,5
alternative,reference,3H,0.0881,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0,SRV+Double+Triple,5
null,reference,3H,0.1629,SRV+Double+Triple,5
null,reference,3H,0.1535,SRV+Double+Triple,5
null,test,2H,0.195,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.0,SRV+Double+Triple,6
alternative,reference,3H,0.103,SRV+Double+Triple,6
alternative,reference,3H,0.1249,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0,SRV+Double+Triple,6
null,reference,3H,0.1629,SRV+Double+Triple,6
null,reference,3H,0.1541,SRV+Double+Triple,6
null,test,2H,0.1945,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.0,SRV+Double+Triple,7
alternative,reference,3H,0.1031,SRV+Double+Triple,7
alternative,reference,3H,0.1233,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0,SRV+Double+Triple,7
null,reference,3H,0.1626,SRV+Double+Triple,7
null,reference,3H,0.1536,SRV+Double+Triple,7
null,test,2H,0.1948,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.0,SRV+Double+Triple,8
alternative,reference,3H,0.1032,SRV+Double+Triple,8
alternative,reference,3H,0.1236,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0,SRV+Double+Triple,8
null,reference,3H,0.1628,SRV+Double+Triple,8
null,reference,3H,0.1539,SRV+Double+Triple,8
null,test,2H,0.1947,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.0,SRV+Double+Triple,9
alternative,reference,3H,0.1031,SRV+Double+Triple,9
alternative,reference,3H,0.0884,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0,SRV+Double+Triple,9
null,reference,3H,0.1625,SRV+Double+Triple,9
null,reference,3H,0.1538,SRV+Double+Triple,9
null,test,2H,0.1949,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.0,SRV+Double+Triple,10
alternative,reference,3H,0.1029,SRV+Double+Triple,10
alternative,reference,3H,0.0879,SRV+Double+Triple,10
alternative,test,2H,0.0,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.0,SRV+Double+Triple,10
