run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,6912.583,,0.129
SRV,1,alternative,reference,omega,Negative selection,0.0,,69.541
SRV,1,alternative,reference,omega,Neutral evolution,1.0,,30.33
SRV,1,alternative,test,omega,Diversifying selection,1.0,,0.129
SRV,1,alternative,test,omega,Diversifying selection,6912.583,,0.129
SRV,1,alternative,test,omega,Negative selection,0.0,,69.541
SRV,1,alternative,test,omega,Negative selection,0.0,,69.541
SRV,1,alternative,test,omega,Neutral evolution,1.0,,30.33
SRV,1,alternative,test,omega,Neutral evolution,1.0,,30.33
SRV,1,null,reference,omega,Diversifying selection,7775.85,,0.084
SRV,1,null,reference,omega,Negative selection,0.0,,69.36
SRV,1,null,reference,omega,Neutral evolution,1.0,,30.556
SRV,1,null,test,omega,Diversifying selection,7775.85,,0.084
SRV,1,null,test,omega,Negative selection,0.0,,69.36
SRV,1,null,test,omega,Neutral evolution,1.0,,30.556
SRV,2,alternative,reference,omega,Diversifying selection,17.484,,1.269
SRV,2,alternative,reference,omega,Negative selection,0.0,,73.985
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,24.746
SRV,2,alternative,test,omega,Diversifying selection,1.0,,1.269
SRV,2,alternative,test,omega,Diversifying selection,17.484,,1.269
SRV,2,alternative,test,omega,Negative selection,0.0,,73.985
SRV,2,alternative,test,omega,Negative selection,0.0,,73.985
SRV,2,alternative,test,omega,Neutral evolution,1.0,,24.746
SRV,2,alternative,test,omega,Neutral evolution,1.0,,24.746
SRV,2,null,reference,omega,Negative selection,0.0,,69.024
SRV,2,null,reference,omega,Neutral evolution,1.0,,30.931
SRV,2,null,test,omega,Negative selection,0.0,,69.024
SRV,2,null,test,omega,Neutral evolution,1.0,,30.931
SRV,3,alternative,reference,omega,Diversifying selection,7393.984,,0.128
SRV,3,alternative,reference,omega,Negative selection,0.0,,69.494
SRV,3,alternative,reference,omega,Neutral evolution,1.0,,30.378
SRV,3,alternative,test,omega,Diversifying selection,1.0,,0.128
SRV,3,alternative,test,omega,Diversifying selection,7393.984,,0.128
SRV,3,alternative,test,omega,Negative selection,0.0,,69.494
SRV,3,alternative,test,omega,Negative selection,0.0,,69.494
SRV,3,alternative,test,omega,Neutral evolution,1.0,,30.378
SRV,3,alternative,test,omega,Neutral evolution,1.0,,30.378
SRV,3,null,reference,omega,Diversifying selection,8497.391,,0.084
SRV,3,null,reference,omega,Negative selection,0.0,,69.393
SRV,3,null,reference,omega,Neutral evolution,1.0,,30.524
SRV,3,null,test,omega,Diversifying selection,8497.391,,0.084
SRV,3,null,test,omega,Negative selection,0.0,,69.393
SRV,3,null,test,omega,Neutral evolution,1.0,,30.524
SRV,4,alternative,reference,omega,Diversifying selection,7440.599,,0.128
SRV,4,alternative,reference,omega,Negative selection,0.0,,69.523
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,30.349
SRV,4,alternative,test,omega,Diversifying selection,1.0,,0.128
SRV,4,alternative,test,omega,Diversifying selection,7440.599,,0.128
SRV,4,alternative,test,omega,Negative selection,0.0,,69.523
SRV,4,alternative,test,omega,Negative selection,0.0,,69.523
SRV,4,alternative,test,omega,Neutral evolution,1.0,,30.349
SRV,4,alternative,test,omega,Neutral evolution,1.0,,30.349
SRV,4,null,reference,omega,Diversifying selection,8767.361,,0.084
SRV,4,null,reference,omega,Negative selection,0.0,,69.338
SRV,4,null,reference,omega,Neutral evolution,1.0,,30.578
SRV,4,null,test,omega,Diversifying selection,8767.361,,0.084
SRV,4,null,test,omega,Negative selection,0.0,,69.338
SRV,4,null,test,omega,Neutral evolution,1.0,,30.578
SRV,5,alternative,reference,omega,Diversifying selection,6.093,,4.317
SRV,5,alternative,reference,omega,Negative selection,0.12,,92.45
SRV,5,alternative,reference,omega,Neutral evolution,1.0,,3.233
SRV,5,alternative,test,omega,Diversifying selection,4.65,,4.317
SRV,5,alternative,test,omega,Diversifying selection,6.093,,4.317
SRV,5,alternative,test,omega,Negative selection,0.164,,92.45
SRV,5,alternative,test,omega,Negative selection,0.12,,92.45
SRV,5,alternative,test,omega,Neutral evolution,1.0,,3.233
SRV,5,alternative,test,omega,Neutral evolution,1.0,,3.233
SRV,5,null,reference,omega,Diversifying selection,5.911,,4.131
SRV,5,null,reference,omega,Negative selection,0.127,,92.601
SRV,5,null,reference,omega,Neutral evolution,1.0,,3.268
SRV,5,null,test,omega,Diversifying selection,5.911,,4.131
SRV,5,null,test,omega,Negative selection,0.127,,92.601
SRV,5,null,test,omega,Neutral evolution,1.0,,3.268
SRV,6,alternative,reference,omega,Diversifying selection,14.476,,1.581
SRV,6,alternative,reference,omega,Negative selection,0.0,,74.791
SRV,6,alternative,reference,omega,Neutral evolution,1.0,,23.628
