replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3355,0.0,-4572.99,9210.44,32.0,-4573.45,9209.33,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.8769,0.0,-4574.54,9213.54,32.0,-4573.44,9209.31,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3356,0.0,-4572.99,9210.43,32.0,-4573.45,9209.33,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3354,0.0,-4572.99,9210.43,32.0,-4573.45,9209.33,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.7392,0.85,-4575.53,9215.51,32.0,-4575.58,9213.6,31.0,0.3306,0.1195,Convergence/flat likelihood
6,SRV,1.0,0.0,-4574.56,9213.58,32.0,-4573.44,9209.32,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.7465,0.85,-4575.54,9215.53,32.0,-4575.59,9213.61,31.0,0.3306,0.1195,Convergence/flat likelihood
8,SRV,0.1851,0.0,-4573.96,9212.38,32.0,-4574.84,9212.11,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
9,SRV,1.0,0.0,-4574.54,9213.53,32.0,-4573.45,9209.33,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
10,SRV,1.0,0.0,-4574.55,9213.56,32.0,-4573.44,9209.31,31.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.4102,2.21,-4572.35,9213.22,34.0,-4572.69,9211.87,33.0,0.3306,0.1195,Convergence/flat likelihood
2,SRV+Double,0.4034,2.47,-4572.34,9213.2,34.0,-4572.69,9211.86,33.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3576,36.61,-4572.27,9213.05,34.0,-4572.69,9211.87,33.0,0.3306,0.1195,Convergence/flat likelihood
4,SRV+Double,0.404,2.35,-4572.34,9213.21,34.0,-4572.69,9211.87,33.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.3222,50.0,-4572.18,9212.87,34.0,-4572.67,9211.82,33.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.3223,50.0,-4572.18,9212.87,34.0,-4572.67,9211.82,33.0,0.3306,0.1195,Convergence/flat likelihood
7,SRV+Double,0.4161,2.16,-4572.36,9213.23,34.0,-4572.69,9211.86,33.0,0.3306,0.1195,Convergence/flat likelihood
8,SRV+Double,0.4041,2.41,-4572.34,9213.21,34.0,-4572.69,9211.87,33.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.3325,10.99,-4572.2,9212.92,34.0,-4572.67,9211.83,33.0,0.3306,0.1195,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.4091,2.29,-4572.35,9213.22,34.0,-4572.69,9211.87,33.0,0.3306,0.1195,Convergence/flat likelihood
1,SRV+Double+Triple,,,,,,,,,,,
2,SRV+Double+Triple,,,,,,,,,,,
3,SRV+Double+Triple,,,,,,,,,,,
4,SRV+Double+Triple,,,,,,,,,,,
5,SRV+Double+Triple,,,,,,,,,,,
6,SRV+Double+Triple,,,,,,,,,,,
7,SRV+Double+Triple,,,,,,,,,,,
8,SRV+Double+Triple,,,,,,,,,,,
9,SRV+Double+Triple,,,,,,,,,,,
10,SRV+Double+Triple,,,,,,,,,,,
