model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.048,59.193,SRV,1
null,2,0.197,30.749,SRV,1
null,3,9.055,10.058,SRV,1
null,1,0.061,59.717,SRV,2
null,2,0.152,30.063,SRV,2
null,3,8.98,10.22,SRV,2
null,1,0.071,59.165,SRV,3
null,2,0.128,30.585,SRV,3
null,3,8.968,10.251,SRV,3
null,1,0.034,58.154,SRV,4
null,2,0.222,31.803,SRV,4
null,3,9.058,10.043,SRV,4
null,1,0.036,59.902,SRV,5
null,2,0.226,30.052,SRV,5
null,3,9.065,10.046,SRV,5
null,1,0.06,59.348,SRV,6
null,2,0.16,30.482,SRV,6
null,3,9.004,10.17,SRV,6
null,1,0.064,57.576,SRV,7
null,2,0.147,32.263,SRV,7
null,3,9.011,10.161,SRV,7
null,1,0.0,56.368,SRV,8
null,2,0.296,33.788,SRV,8
null,3,9.143,9.844,SRV,8
null,1,0.039,56.848,SRV,9
null,2,0.208,33.131,SRV,9
null,3,9.071,10.022,SRV,9
null,1,0.061,60.632,SRV,10
null,2,0.148,29.087,SRV,10
null,3,8.951,10.281,SRV,10
