replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.0784,7.44,-7600.87,15286.14,42.0,-7602.42,15287.22,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.0745,7.62,-7600.86,15286.1,42.0,-7602.45,15287.27,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.073,16.46,-7600.79,15285.97,42.0,-7602.4,15287.17,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.0751,7.76,-7600.86,15286.12,42.0,-7602.45,15287.27,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
5,SRV,,,,,,,,,0.2691,0.369,
6,SRV,0.074,27.87,-7600.83,15286.05,42.0,-7602.43,15287.23,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.0755,37.19,-7600.83,15286.05,42.0,-7602.41,15287.19,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.0741,10.33,-7600.84,15286.08,42.0,-7602.44,15287.25,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.0751,7.78,-7600.77,15285.93,42.0,-7602.35,15287.08,41.0,0.2689,0.3696,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.0754,6.83,-7600.77,15285.93,42.0,-7602.35,15287.08,41.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.2239,5.66,-7600.91,15290.24,44.0,-7601.64,15289.7,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.912,2.89,-7602.09,15292.61,44.0,-7601.62,15289.65,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,1.0,5.3,-7601.95,15292.33,44.0,-7601.93,15290.28,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,1.0,3.0,-7602.09,15292.61,44.0,-7601.93,15290.27,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.2215,6.8,-7600.85,15290.13,44.0,-7601.6,15289.61,43.0,0.2689,0.3696,Convergence/flat likelihood
6,SRV+Double,0.2171,5.92,-7600.87,15290.18,44.0,-7601.64,15289.68,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.8669,0.57,-7601.31,15291.05,44.0,-7601.32,15289.05,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.2196,7.29,-7600.86,15290.15,44.0,-7601.62,15289.64,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,1.0,3.56,-7602.04,15292.51,44.0,-7601.84,15290.09,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.1457,10.8,-7600.27,15288.97,44.0,-7601.33,15289.07,43.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.2165,11.56,-7600.74,15293.95,46.0,-7601.51,15293.46,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,1.0,2.79,-7602.09,15296.64,46.0,-7601.92,15294.29,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.2264,7.41,-7600.88,15294.23,46.0,-7601.61,15293.67,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.2244,7.72,-7600.88,15294.22,46.0,-7601.61,15293.68,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.2235,7.51,-7600.87,15294.21,46.0,-7601.61,15293.67,45.0,0.2691,0.369,Convergence/flat likelihood
6,SRV+Double+Triple,0.2155,7.88,-7600.76,15293.99,46.0,-7601.53,15293.5,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.218,7.69,-7600.85,15294.17,46.0,-7601.61,15293.66,45.0,0.2691,0.369,Convergence/flat likelihood
8,SRV+Double+Triple,0.2175,8.19,-7600.85,15294.17,46.0,-7601.61,15293.67,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.2181,7.64,-7600.85,15294.16,46.0,-7601.61,15293.66,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.2177,7.7,-7600.85,15294.17,46.0,-7601.61,15293.67,45.0,0.2691,0.369,Convergence/flat likelihood; Collapsed rate class
