model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.68,56.757,SRV,1
null,2,0.971,35.646,SRV,1
null,3,3.526,7.598,SRV,1
null,1,0.658,51.538,SRV,2
null,2,0.973,41.232,SRV,2
null,3,3.594,7.23,SRV,2
null,1,0.403,13.175,SRV,3
null,2,0.866,79.734,SRV,3
null,3,3.621,7.091,SRV,3
null,1,0.719,71.875,SRV,4
null,2,1.044,20.471,SRV,4
null,3,3.517,7.654,SRV,4
null,1,0.768,90.405,SRV,6
null,2,2.1,1.827,SRV,6
null,3,3.44,7.768,SRV,6
null,1,0.717,67.563,SRV,7
null,2,0.976,24.369,SRV,7
null,3,3.44,8.068,SRV,7
null,1,0.731,77.23,SRV,8
null,2,1.101,15.07,SRV,8
null,3,3.503,7.7,SRV,8
null,1,0.0,3.106,SRV,9
null,2,0.827,89.91,SRV,9
null,3,3.669,6.983,SRV,9
null,1,0.0,3.139,SRV,10
null,2,0.828,89.928,SRV,10
null,3,3.686,6.933,SRV,10
