replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,1.0,0.37,-4573.45,9211.36,32.0,-4573.45,9209.33,31.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
2,SRV,1.0,0.38,-4575.6,9215.66,32.0,-4575.6,9213.64,31.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
3,SRV,1.0,0.76,-4573.45,9211.36,32.0,-4573.45,9209.33,31.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
4,SRV,1.0,0.79,-4573.44,9211.33,32.0,-4573.44,9209.3,31.0,0.3151,0.0,Convergence/flat likelihood
5,SRV,1.0,0.8,-4573.45,9211.35,32.0,-4573.44,9209.32,31.0,0.3151,0.0,Convergence/flat likelihood
6,SRV,1.0,0.67,-4573.43,9211.33,32.0,-4573.43,9209.3,31.0,0.3151,0.0,Convergence/flat likelihood
7,SRV,1.0,0.95,-4573.45,9211.36,32.0,-4573.45,9209.33,31.0,0.3151,0.0,Convergence/flat likelihood
8,SRV,1.0,0.34,-4573.44,9211.33,32.0,-4573.44,9209.3,31.0,0.3151,0.0,Convergence/flat likelihood
9,SRV,1.0,0.25,-4573.44,9211.33,32.0,-4573.44,9209.3,31.0,0.3147,0.0,Convergence/flat likelihood; Collapsed rate class
10,SRV,1.0,0.32,-4573.45,9211.36,32.0,-4573.45,9209.33,31.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,1.0,0.3,-4573.16,9214.84,34.0,-4573.16,9212.8,33.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,1.0,0.32,-4573.14,9214.8,34.0,-4573.14,9212.76,33.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,1.0,0.3,-4573.17,9214.85,34.0,-4573.17,9212.82,33.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,1.0,0.29,-4573.17,9214.85,34.0,-4573.17,9212.82,33.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,1.0,0.29,-4573.14,9214.79,34.0,-4573.14,9212.76,33.0,0.3151,0.0,Convergence/flat likelihood
6,SRV+Double,1.0,0.68,-4573.15,9214.81,34.0,-4573.14,9212.78,33.0,0.3151,0.0,Convergence/flat likelihood
7,SRV+Double,1.0,0.99,-4573.16,9214.84,34.0,-4573.16,9212.81,33.0,0.3151,0.0,Convergence/flat likelihood
8,SRV+Double,1.0,0.29,-4573.18,9214.87,34.0,-4573.17,9212.82,33.0,0.3151,0.0,Convergence/flat likelihood
9,SRV+Double,1.0,0.3,-4573.16,9214.84,34.0,-4573.16,9212.81,33.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,1.0,0.46,-4573.16,9214.84,34.0,-4573.16,9212.81,33.0,0.3151,0.0,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,,,,,,,,,,,
2,SRV+Double+Triple,,,,,,,,,,,
3,SRV+Double+Triple,,,,,,,,,,,
4,SRV+Double+Triple,,,,,,,,,,,
5,SRV+Double+Triple,,,,,,,,,,,
6,SRV+Double+Triple,,,,,,,,,,,
7,SRV+Double+Triple,,,,,,,,,,,
8,SRV+Double+Triple,,,,,,,,,,,
9,SRV+Double+Triple,,,,,,,,,,,
10,SRV+Double+Triple,,,,,,,,,,,
