model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.4485,SRV+Double,1
alternative,reference,2H,0.371,SRV+Double,1
alternative,test,2H,0.1776,SRV+Double,1
null,reference,2H,0.371,SRV+Double,1
null,reference,2H,0.3706,SRV+Double,1
null,reference,2H,0.3704,SRV+Double,1
null,reference,2H,0.3701,SRV+Double,1
null,reference,2H,0.3699,SRV+Double,1
null,reference,2H,0.3695,SRV+Double,1
null,reference,2H,0.3693,SRV+Double,1
null,reference,2H,0.3689,SRV+Double,1
null,reference,2H,0.3688,SRV+Double,1
null,reference,2H,0.3684,SRV+Double,1
null,reference,2H,0.3683,SRV+Double,1
null,reference,2H,0.3682,SRV+Double,1
null,test,2H,0.0965,SRV+Double,1
null,test,2H,0.0318,SRV+Double,1
null,test,2H,0.0191,SRV+Double,1
null,test,2H,0.0392,SRV+Double,1
null,test,2H,0.0232,SRV+Double,1
null,test,2H,0.0085,SRV+Double,1
null,test,2H,0.0053,SRV+Double,1
null,test,2H,0.0048,SRV+Double,1
null,test,2H,0.003,SRV+Double,1
null,test,2H,0.0012,SRV+Double,1
null,test,2H,0.0007,SRV+Double,1
null,test,2H,0.0005,SRV+Double,1
alternative,reference,2H,0.4292,SRV+Double,2
alternative,reference,2H,0.3626,SRV+Double,2
alternative,test,2H,0.0907,SRV+Double,2
null,reference,2H,0.3626,SRV+Double,2
null,reference,2H,0.3621,SRV+Double,2
null,reference,2H,0.3606,SRV+Double,2
null,test,2H,0.0514,SRV+Double,2
null,test,2H,0.0181,SRV+Double,2
null,test,2H,0.0109,SRV+Double,2
null,test,2H,0.0042,SRV+Double,2
null,test,2H,0.0026,SRV+Double,2
null,test,2H,0.001,SRV+Double,2
null,test,2H,0.0007,SRV+Double,2
null,test,2H,0.0003,SRV+Double,2
null,test,2H,0.0002,SRV+Double,2
null,test,2H,0.0001,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.4301,SRV+Double,3
alternative,reference,2H,0.3699,SRV+Double,3
alternative,test,2H,0.0851,SRV+Double,3
null,reference,2H,0.3699,SRV+Double,3
null,reference,2H,0.3695,SRV+Double,3
null,reference,2H,0.3689,SRV+Double,3
null,reference,2H,0.3684,SRV+Double,3
null,reference,2H,0.3679,SRV+Double,3
null,test,2H,0.1376,SRV+Double,3
null,test,2H,0.0755,SRV+Double,3
null,test,2H,0.1215,SRV+Double,3
null,test,2H,0.0391,SRV+Double,3
null,test,2H,0.0231,SRV+Double,3
null,test,2H,0.0084,SRV+Double,3
null,test,2H,0.0052,SRV+Double,3
null,test,2H,0.002,SRV+Double,3
null,test,2H,0.0013,SRV+Double,3
null,test,2H,0.0005,SRV+Double,3
null,test,2H,0.0003,SRV+Double,3
null,test,2H,0.0002,SRV+Double,3
alternative,reference,2H,0.4231,SRV+Double,4
alternative,reference,2H,0.3583,SRV+Double,4
alternative,test,2H,0.0763,SRV+Double,4
null,reference,2H,0.3544,SRV+Double,4
null,reference,2H,0.3543,SRV+Double,4
null,reference,2H,0.3542,SRV+Double,4
null,reference,2H,0.3539,SRV+Double,4
null,reference,2H,0.3537,SRV+Double,4
null,reference,2H,0.3534,SRV+Double,4
null,reference,2H,0.3529,SRV+Double,4
null,reference,2H,0.352,SRV+Double,4
null,reference,2H,0.3516,SRV+Double,4
null,reference,2H,0.3519,SRV+Double,4
null,reference,2H,0.3524,SRV+Double,4
null,test,2H,0.1095,SRV+Double,4
null,test,2H,0.0611,SRV+Double,4
null,test,2H,0.0355,SRV+Double,4
null,test,2H,0.0753,SRV+Double,4
null,test,2H,0.0433,SRV+Double,4
null,test,2H,0.0253,SRV+Double,4
null,test,2H,0.0151,SRV+Double,4
null,test,2H,0.0092,SRV+Double,4
null,test,2H,0.0057,SRV+Double,4
null,test,2H,0.0052,SRV+Double,4
null,test,2H,0.0032,SRV+Double,4
alternative,reference,2H,0.4815,SRV+Double,6
alternative,reference,2H,0.3612,SRV+Double,6
alternative,test,2H,0.0894,SRV+Double,6
null,reference,2H,0.3624,SRV+Double,6
null,reference,2H,0.363,SRV+Double,6
null,reference,2H,0.3625,SRV+Double,6
null,reference,2H,0.362,SRV+Double,6
null,reference,2H,0.3614,SRV+Double,6
null,reference,2H,0.361,SRV+Double,6
null,test,2H,0.0507,SRV+Double,6
null,test,2H,0.0177,SRV+Double,6
null,test,2H,0.0107,SRV+Double,6
null,test,2H,0.0213,SRV+Double,6
null,test,2H,0.0128,SRV+Double,6
null,test,2H,0.0256,SRV+Double,6
null,test,2H,0.0255,SRV+Double,6
null,test,2H,0.0093,SRV+Double,6
null,test,2H,0.0057,SRV+Double,6
null,test,2H,0.0022,SRV+Double,6
