model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,7959.87,0.084,SRV,1
alternative,reference,Negative selection,0.0,69.326,SRV,1
alternative,reference,Neutral evolution,1.0,30.59,SRV,1
alternative,test,Diversifying selection,36.497,0.084,SRV,1
alternative,test,Diversifying selection,7959.87,0.084,SRV,1
alternative,test,Negative selection,0.0,69.326,SRV,1
alternative,test,Negative selection,0.0,69.326,SRV,1
alternative,test,Neutral evolution,1.0,30.59,SRV,1
alternative,test,Neutral evolution,1.0,30.59,SRV,1
null,reference,Diversifying selection,8571.28,0.084,SRV,1
null,reference,Negative selection,0.0,69.326,SRV,1
null,reference,Neutral evolution,1.0,30.59,SRV,1
null,test,Diversifying selection,8571.28,0.084,SRV,1
null,test,Negative selection,0.0,69.326,SRV,1
null,test,Neutral evolution,1.0,30.59,SRV,1
alternative,reference,Diversifying selection,5.318,4.399,SRV,2
alternative,reference,Negative selection,0.101,89.208,SRV,2
alternative,reference,Neutral evolution,1.0,6.393,SRV,2
alternative,test,Diversifying selection,1.702,4.399,SRV,2
alternative,test,Diversifying selection,5.318,4.399,SRV,2
alternative,test,Negative selection,0.482,89.208,SRV,2
alternative,test,Negative selection,0.101,89.208,SRV,2
alternative,test,Neutral evolution,1.0,6.393,SRV,2
alternative,test,Neutral evolution,1.0,6.393,SRV,2
null,reference,Diversifying selection,5.994,3.799,SRV,2
null,reference,Negative selection,0.105,89.135,SRV,2
null,reference,Neutral evolution,1.0,7.066,SRV,2
null,test,Diversifying selection,5.994,3.799,SRV,2
null,test,Negative selection,0.105,89.135,SRV,2
null,test,Neutral evolution,1.0,7.066,SRV,2
alternative,reference,Diversifying selection,4.157,6.697,SRV,3
alternative,reference,Negative selection,0.109,76.552,SRV,3
alternative,reference,Negative selection,0.133,16.751,SRV,3
alternative,test,Diversifying selection,1.739,6.697,SRV,3
alternative,test,Diversifying selection,4.157,6.697,SRV,3
alternative,test,Negative selection,0.423,76.552,SRV,3
alternative,test,Negative selection,0.457,16.751,SRV,3
alternative,test,Negative selection,0.109,76.552,SRV,3
alternative,test,Negative selection,0.133,16.751,SRV,3
null,reference,Diversifying selection,4.178,6.639,SRV,3
null,reference,Negative selection,0.109,76.697,SRV,3
null,reference,Negative selection,0.135,16.663,SRV,3
null,test,Diversifying selection,4.178,6.639,SRV,3
null,test,Negative selection,0.109,76.697,SRV,3
null,test,Negative selection,0.135,16.663,SRV,3
alternative,reference,Diversifying selection,90772.969,0.061,SRV,4
alternative,reference,Negative selection,0.0,68.989,SRV,4
alternative,reference,Neutral evolution,1.0,30.951,SRV,4
alternative,test,Diversifying selection,23846.772,0.061,SRV,4
alternative,test,Diversifying selection,90772.969,0.061,SRV,4
alternative,test,Negative selection,0.0,68.989,SRV,4
alternative,test,Negative selection,0.0,68.989,SRV,4
alternative,test,Neutral evolution,1.0,30.951,SRV,4
alternative,test,Neutral evolution,1.0,30.951,SRV,4
null,reference,Diversifying selection,153380.8,0.06,SRV,4
null,reference,Negative selection,0.0,69.017,SRV,4
