model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.002,8.086,SRV,1
null,2,0.002,40.767,SRV,1
null,3,1.954,51.146,SRV,1
null,1,0.0,34.377,SRV,2
null,2,1.268,57.968,SRV,2
null,3,3.465,7.654,SRV,2
null,1,0.0,36.55,SRV,3
null,2,1.448,61.184,SRV,3
null,3,5.03,2.266,SRV,3
null,1,0.0,35.158,SRV,4
null,2,0.696,33.273,SRV,4
null,3,2.434,31.569,SRV,4
null,1,0.0,33.842,SRV,5
null,2,1.281,60.113,SRV,5
null,3,3.809,6.045,SRV,5
null,1,0.0,0.0,SRV,6
null,2,0.002,48.857,SRV,6
null,3,1.954,51.143,SRV,6
null,1,0.0,33.441,SRV,7
null,2,0.648,34.879,SRV,7
null,3,2.443,31.68,SRV,7
null,1,0.236,56.328,SRV,8
null,2,0.321,8.904,SRV,8
null,3,2.412,34.768,SRV,8
null,1,0.0,26.344,SRV,9
null,2,0.482,40.454,SRV,9
null,3,2.425,33.202,SRV,9
null,1,0.002,4.047,SRV,10
null,2,0.002,44.781,SRV,10
null,3,1.953,51.172,SRV,10
