model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.1109,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.1224,SRV+Double,1
null,test,2H,0.1138,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.1108,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.122,SRV+Double,2
null,test,2H,0.1139,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.1106,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.1216,SRV+Double,3
null,test,2H,0.1139,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.1107,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.1175,SRV+Double,4
null,test,2H,0.1151,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.1106,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.1226,SRV+Double,5
null,test,2H,0.1141,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.1098,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.1214,SRV+Double,6
null,test,2H,0.1139,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.1104,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.1224,SRV+Double,7
null,test,2H,0.1139,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.1107,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.1222,SRV+Double,8
null,test,2H,0.1141,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.1107,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.1223,SRV+Double,9
null,test,2H,0.1142,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.1102,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.1221,SRV+Double,10
null,test,2H,0.1143,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.1033,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.127,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
