replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.7225,0.9,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
2,SRV,,,,,,,,,0.2247,0.2397,
3,SRV,0.7225,0.9,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.7218,0.9,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.7247,0.9,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.7227,0.89,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.7693,0.88,-5858.75,11787.96,35.0,-5858.8,11786.02,34.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.7222,0.9,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.7222,0.9,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.7234,0.9,-5858.76,11785.94,34.0,-5858.82,11784.04,33.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.7623,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.7628,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.7626,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.7937,0.9,-5858.59,11791.7,37.0,-5858.63,11789.74,36.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.7489,0.9,-5858.59,11791.69,37.0,-5858.64,11789.77,36.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.7641,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.7633,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.7631,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.7625,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.7634,0.91,-5858.6,11789.67,36.0,-5858.64,11787.74,35.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,1.0,0.76,-5859.1,11796.76,39.0,-5858.61,11793.75,38.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.7624,0.91,-5858.59,11793.73,38.0,-5858.64,11791.79,37.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.7548,0.9,-5858.56,11795.69,39.0,-5858.61,11793.76,38.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.7625,0.91,-5858.6,11793.73,38.0,-5858.64,11791.79,37.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.7624,0.91,-5858.59,11793.73,38.0,-5858.64,11791.79,37.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.7904,0.86,-5858.59,11795.74,39.0,-5858.62,11793.78,38.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.763,0.91,-5858.6,11793.73,38.0,-5858.64,11791.79,37.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.7624,0.91,-5858.6,11793.73,38.0,-5858.64,11791.79,37.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.7625,0.91,-5858.6,11793.73,38.0,-5858.64,11791.79,37.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.7634,0.91,-5858.6,11793.73,38.0,-5858.64,11791.79,37.0,0.2247,0.2397,Convergence/flat likelihood; Collapsed rate class
