model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.133,19.015,SRV,1
alternative,reference,Negative selection,0.0,30.505,SRV,1
alternative,reference,Negative selection,0.135,50.48,SRV,1
alternative,test,Diversifying selection,7.842,19.015,SRV,1
alternative,test,Diversifying selection,1.133,19.015,SRV,1
alternative,test,Negative selection,0.0,30.505,SRV,1
alternative,test,Negative selection,0.0,50.48,SRV,1
alternative,test,Negative selection,0.0,30.505,SRV,1
alternative,test,Negative selection,0.135,50.48,SRV,1
null,reference,Negative selection,0.0,21.862,SRV,1
null,reference,Negative selection,0.074,53.479,SRV,1
null,reference,Neutral evolution,1.0,24.659,SRV,1
null,test,Negative selection,0.0,21.862,SRV,1
null,test,Negative selection,0.074,53.479,SRV,1
null,test,Neutral evolution,1.0,24.659,SRV,1
alternative,reference,Diversifying selection,1.119,9.641,SRV,2
alternative,reference,Negative selection,0.0,64.366,SRV,2
alternative,reference,Negative selection,0.674,25.994,SRV,2
alternative,test,Diversifying selection,15.952,9.641,SRV,2
alternative,test,Diversifying selection,1.119,9.641,SRV,2
alternative,test,Negative selection,0.0,64.366,SRV,2
alternative,test,Negative selection,0.0,25.994,SRV,2
alternative,test,Negative selection,0.0,64.366,SRV,2
alternative,test,Negative selection,0.674,25.994,SRV,2
null,reference,Negative selection,0.0,64.752,SRV,2
null,reference,Negative selection,0.707,23.184,SRV,2
null,reference,Neutral evolution,1.0,12.064,SRV,2
null,test,Negative selection,0.0,64.752,SRV,2
null,test,Negative selection,0.707,23.184,SRV,2
null,test,Neutral evolution,1.0,12.064,SRV,2
alternative,reference,Diversifying selection,1.063,19.655,SRV,3
alternative,reference,Negative selection,0.0,44.21,SRV,3
alternative,reference,Negative selection,0.201,36.135,SRV,3
alternative,test,Diversifying selection,1.063,19.655,SRV,3
alternative,test,Negative selection,0.0,44.21,SRV,3
alternative,test,Negative selection,0.201,36.135,SRV,3
alternative,test,Neutral evolution,1.0,44.21,SRV,3
alternative,test,Neutral evolution,1.0,36.135,SRV,3
alternative,test,Neutral evolution,1.0,19.655,SRV,3
null,reference,Diversifying selection,1.006,23.447,SRV,3
null,reference,Negative selection,0.0,42.674,SRV,3
null,reference,Negative selection,0.145,33.879,SRV,3
null,test,Diversifying selection,1.006,23.447,SRV,3
null,test,Negative selection,0.0,42.674,SRV,3
null,test,Negative selection,0.145,33.879,SRV,3
alternative,reference,Diversifying selection,1.124,13.97,SRV,4
alternative,reference,Negative selection,0.0,59.309,SRV,4
alternative,reference,Negative selection,0.469,26.72,SRV,4
alternative,test,Diversifying selection,10.458,13.97,SRV,4
alternative,test,Diversifying selection,1.124,13.97,SRV,4
alternative,test,Negative selection,0.0,59.309,SRV,4
alternative,test,Negative selection,0.0,26.72,SRV,4
alternative,test,Negative selection,0.0,59.309,SRV,4
alternative,test,Negative selection,0.469,26.72,SRV,4
null,reference,Negative selection,0.0,61.323,SRV,4
null,reference,Negative selection,0.515,21.254,SRV,4
null,reference,Neutral evolution,1.0,17.423,SRV,4
null,test,Negative selection,0.0,61.323,SRV,4
null,test,Negative selection,0.515,21.254,SRV,4
null,test,Neutral evolution,1.0,17.423,SRV,4
alternative,reference,Diversifying selection,1.123,19.674,SRV,5
alternative,reference,Negative selection,0.0,26.844,SRV,5
