model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Negative selection,0.0,2.369,SRV,1
alternative,reference,Negative selection,0.051,72.785,SRV,1
alternative,reference,Neutral evolution,1.0,24.847,SRV,1
alternative,test,Negative selection,0.0,2.369,SRV,1
alternative,test,Negative selection,0.051,72.785,SRV,1
alternative,test,Neutral evolution,1.0,2.369,SRV,1
alternative,test,Neutral evolution,1.0,72.785,SRV,1
alternative,test,Neutral evolution,1.0,24.847,SRV,1
alternative,test,Neutral evolution,1.0,24.847,SRV,1
null,reference,Negative selection,0.0,2.182,SRV,1
null,reference,Negative selection,0.047,72.51,SRV,1
null,reference,Neutral evolution,1.0,25.309,SRV,1
null,test,Negative selection,0.0,2.182,SRV,1
null,test,Negative selection,0.047,72.51,SRV,1
null,test,Neutral evolution,1.0,25.309,SRV,1
alternative,reference,Diversifying selection,1.005,23.627,SRV,2
alternative,reference,Negative selection,0.0,35.266,SRV,2
alternative,reference,Negative selection,0.114,41.107,SRV,2
alternative,test,Diversifying selection,1.005,23.627,SRV,2
alternative,test,Negative selection,0.0,35.266,SRV,2
alternative,test,Negative selection,0.114,41.107,SRV,2
alternative,test,Neutral evolution,1.0,35.266,SRV,2
alternative,test,Neutral evolution,1.0,41.107,SRV,2
alternative,test,Neutral evolution,1.0,23.627,SRV,2
null,reference,Negative selection,0.0,34.431,SRV,2
null,reference,Negative selection,0.099,40.989,SRV,2
null,reference,Neutral evolution,1.0,24.58,SRV,2
null,test,Negative selection,0.0,34.431,SRV,2
null,test,Negative selection,0.099,40.989,SRV,2
null,test,Neutral evolution,1.0,24.58,SRV,2
alternative,reference,Diversifying selection,1.131,19.631,SRV,3
alternative,reference,Negative selection,0.0,7.515,SRV,3
alternative,reference,Negative selection,0.086,72.854,SRV,3
alternative,test,Diversifying selection,5.615,19.631,SRV,3
alternative,test,Diversifying selection,1.131,19.631,SRV,3
alternative,test,Negative selection,0.0,7.515,SRV,3
alternative,test,Negative selection,0.0,72.854,SRV,3
alternative,test,Negative selection,0.0,7.515,SRV,3
alternative,test,Negative selection,0.086,72.854,SRV,3
null,reference,Negative selection,0.0,0.0,SRV,3
null,reference,Negative selection,0.045,74.653,SRV,3
null,reference,Neutral evolution,1.0,25.347,SRV,3
null,test,Negative selection,0.0,0.0,SRV,3
null,test,Negative selection,0.045,74.653,SRV,3
null,test,Neutral evolution,1.0,25.347,SRV,3
alternative,reference,Diversifying selection,1.134,19.526,SRV,4
alternative,reference,Negative selection,0.0,6.995,SRV,4
alternative,reference,Negative selection,0.086,73.478,SRV,4
alternative,test,Diversifying selection,5.676,19.526,SRV,4
alternative,test,Diversifying selection,1.134,19.526,SRV,4
alternative,test,Negative selection,0.0,6.995,SRV,4
alternative,test,Negative selection,0.0,73.478,SRV,4
alternative,test,Negative selection,0.0,6.995,SRV,4
alternative,test,Negative selection,0.086,73.478,SRV,4
null,reference,Negative selection,0.0,0.001,SRV,4
null,reference,Negative selection,0.046,74.696,SRV,4
null,reference,Neutral evolution,1.0,25.304,SRV,4
null,test,Negative selection,0.0,0.001,SRV,4
null,test,Negative selection,0.046,74.696,SRV,4
null,test,Neutral evolution,1.0,25.304,SRV,4
alternative,reference,Diversifying selection,1.087,18.844,SRV,5
alternative,reference,Negative selection,0.0,54.909,SRV,5
alternative,reference,Negative selection,0.303,26.247,SRV,5
alternative,test,Diversifying selection,5.878,18.844,SRV,5
alternative,test,Diversifying selection,1.087,18.844,SRV,5
alternative,test,Negative selection,0.0,54.909,SRV,5
alternative,test,Negative selection,0.0,26.247,SRV,5
alternative,test,Negative selection,0.0,54.909,SRV,5
alternative,test,Negative selection,0.303,26.247,SRV,5
null,reference,Negative selection,0.0,63.022,SRV,5
null,reference,Negative selection,0.547,18.585,SRV,5
null,reference,Neutral evolution,1.0,18.393,SRV,5
null,test,Negative selection,0.0,63.022,SRV,5
null,test,Negative selection,0.547,18.585,SRV,5
null,test,Neutral evolution,1.0,18.393,SRV,5
alternative,reference,Diversifying selection,1.098,14.323,SRV,6
alternative,reference,Negative selection,0.0,59.785,SRV,6
alternative,reference,Negative selection,0.483,25.893,SRV,6
alternative,test,Diversifying selection,7.671,14.323,SRV,6
alternative,test,Diversifying selection,1.098,14.323,SRV,6
alternative,test,Negative selection,0.0,59.785,SRV,6
alternative,test,Negative selection,0.0,25.893,SRV,6
alternative,test,Negative selection,0.0,59.785,SRV,6
alternative,test,Negative selection,0.483,25.893,SRV,6
null,reference,Diversifying selection,1.01,16.888,SRV,6
null,reference,Negative selection,0.0,60.792,SRV,6
null,reference,Negative selection,0.505,22.32,SRV,6
null,test,Diversifying selection,1.01,16.888,SRV,6
null,test,Negative selection,0.0,60.792,SRV,6
null,test,Negative selection,0.505,22.32,SRV,6
alternative,reference,Diversifying selection,1.092,9.696,SRV,7
alternative,reference,Negative selection,0.0,64.65,SRV,7
alternative,reference,Negative selection,0.693,25.654,SRV,7
alternative,test,Diversifying selection,11.572,9.696,SRV,7
alternative,test,Diversifying selection,1.092,9.696,SRV,7
alternative,test,Negative selection,0.0,64.65,SRV,7
alternative,test,Negative selection,0.0,25.654,SRV,7
alternative,test,Negative selection,0.0,64.65,SRV,7
alternative,test,Negative selection,0.693,25.654,SRV,7
null,reference,Negative selection,0.0,65.217,SRV,7
null,reference,Negative selection,0.766,27.133,SRV,7
null,reference,Neutral evolution,1.0,7.65,SRV,7
null,test,Negative selection,0.0,65.217,SRV,7
null,test,Negative selection,0.766,27.133,SRV,7
null,test,Neutral evolution,1.0,7.65,SRV,7
alternative,reference,Diversifying selection,1.151,19.112,SRV,8
alternative,reference,Negative selection,0.0,10.705,SRV,8
alternative,reference,Negative selection,0.092,70.184,SRV,8
alternative,test,Diversifying selection,5.767,19.112,SRV,8
alternative,test,Diversifying selection,1.151,19.112,SRV,8
alternative,test,Negative selection,0.0,10.705,SRV,8
alternative,test,Negative selection,0.0,70.184,SRV,8
alternative,test,Negative selection,0.0,10.705,SRV,8
alternative,test,Negative selection,0.092,70.184,SRV,8
null,reference,Negative selection,0.0,66.185,SRV,8
null,reference,Negative selection,0.658,14.727,SRV,8
null,reference,Neutral evolution,1.0,19.088,SRV,8
null,test,Negative selection,0.0,66.185,SRV,8
null,test,Negative selection,0.658,14.727,SRV,8
null,test,Neutral evolution,1.0,19.088,SRV,8
alternative,reference,Diversifying selection,1.095,12.376,SRV,9
alternative,reference,Negative selection,0.0,63.821,SRV,9
alternative,reference,Negative selection,0.623,23.804,SRV,9
alternative,test,Diversifying selection,8.866,12.376,SRV,9
alternative,test,Diversifying selection,1.095,12.376,SRV,9
alternative,test,Negative selection,0.0,63.821,SRV,9
alternative,test,Negative selection,0.0,23.804,SRV,9
alternative,test,Negative selection,0.0,63.821,SRV,9
alternative,test,Negative selection,0.623,23.804,SRV,9
null,reference,Negative selection,0.0,65.57,SRV,9
null,reference,Negative selection,0.783,27.482,SRV,9
null,reference,Neutral evolution,1.0,6.948,SRV,9
null,test,Negative selection,0.0,65.57,SRV,9
null,test,Negative selection,0.783,27.482,SRV,9
null,test,Neutral evolution,1.0,6.948,SRV,9
alternative,reference,Diversifying selection,1.155,18.905,SRV,10
alternative,reference,Negative selection,0.0,8.414,SRV,10
alternative,reference,Negative selection,0.092,72.681,SRV,10
alternative,test,Diversifying selection,5.907,18.905,SRV,10
alternative,test,Diversifying selection,1.155,18.905,SRV,10
