replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.2217,0.0,-7601.82,15288.03,42,-7602.56,15287.5,41,0.2693,1.1286,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.2012,0.0,-7601.79,15287.97,42,-7602.61,15287.59,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.2015,14.02,-7601.9,15288.19,42,-7602.56,15287.5,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.2009,13.79,-7601.9,15288.19,42,-7602.56,15287.5,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.2139,21.13,-7601.75,15287.88,42,-7602.45,15287.27,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.1996,21.73,-7601.67,15287.73,42,-7602.46,15287.3,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.2008,27.73,-7601.44,15287.28,42,-7602.16,15286.7,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.2082,12.49,-7601.96,15288.3,42,-7602.2,15286.78,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.2014,23.95,-7601.47,15287.32,42,-7602.16,15286.69,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.2012,12.34,-7601.92,15288.23,42,-7602.56,15287.5,41,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.197,14.41,-7601.58,15291.58,44,-7602.33,15291.07,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.1968,0.0,-7601.49,15291.41,44,-7602.32,15291.05,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.2064,12.67,-7601.92,15292.28,44,-7602.57,15291.56,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.1972,0.0,-7601.6,15291.64,44,-7602.44,15291.28,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.1983,0.0,-7601.51,15291.46,44,-7602.34,15291.09,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.1973,0.0,-7601.6,15291.62,44,-7602.43,15291.27,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.197,19.37,-7601.65,15291.72,44,-7602.32,15291.06,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.1964,0.0,-7601.58,15291.6,44,-7602.42,15291.25,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.1967,0.0,-7601.6,15291.62,44,-7602.43,15291.27,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.1972,0.0,-7601.49,15291.42,44,-7602.33,15291.06,43,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.2037,15.72,-7601.73,15295.92,46,-7602.45,15295.36,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.198,0.0,-7601.72,15295.9,46,-7602.55,15295.54,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.1986,0.0,-7601.62,15295.71,46,-7602.45,15295.34,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.2025,0.0,-7601.74,15295.94,46,-7602.55,15295.54,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.2002,0.0,-7601.81,15296.09,46,-7602.63,15295.71,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2006,0.0,-7601.75,15295.96,46,-7602.56,15295.58,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.1985,0.0,-7601.54,15295.54,46,-7602.36,15295.17,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.1976,0.0,-7601.63,15295.72,46,-7602.46,15295.36,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.2142,0.0,-7601.67,15295.8,46,-7602.44,15295.33,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.2092,0.0,-7601.66,15295.78,46,-7602.45,15295.34,45,0.2691,1.124,Convergence/flat likelihood; Collapsed rate class
