model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,2.648,SRV,1
null,2,0.819,89.923,SRV,1
null,3,3.547,7.43,SRV,1
null,1,0.747,71.771,SRV,2
null,2,0.878,19.321,SRV,2
null,3,3.301,8.908,SRV,2
null,1,0.0,2.681,SRV,3
null,2,0.818,89.799,SRV,3
null,3,3.524,7.52,SRV,3
null,1,0.0,2.692,SRV,4
null,2,0.819,89.862,SRV,4
null,3,3.542,7.446,SRV,4
null,1,0.773,91.099,SRV,5
null,2,2.586,1.28,SRV,5
null,3,3.443,7.622,SRV,5
null,1,0.772,90.988,SRV,6
null,2,2.851,1.196,SRV,6
null,3,3.374,7.816,SRV,6
null,1,0.732,87.227,SRV,7
null,2,2.492,12.293,SRV,7
null,3,11.543,0.48,SRV,7
null,1,0.728,86.63,SRV,8
null,2,2.401,12.839,SRV,8
null,3,11.459,0.53,SRV,8
null,1,0.732,87.308,SRV,9
null,2,2.5,12.219,SRV,9
null,3,11.648,0.473,SRV,9
null,1,0.0,2.695,SRV,10
null,2,0.819,89.836,SRV,10
null,3,3.541,7.468,SRV,10
