model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0831,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.1101,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.0791,SRV+Double,1
null,test,2H,0.11,SRV+Double,1
alternative,reference,2H,0.0832,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.1094,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.0787,SRV+Double,2
null,test,2H,0.1097,SRV+Double,2
alternative,reference,2H,0.0828,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.1094,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.0788,SRV+Double,3
null,test,2H,0.1098,SRV+Double,3
alternative,reference,2H,0.0831,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.1095,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.079,SRV+Double,4
null,test,2H,0.1098,SRV+Double,4
alternative,reference,2H,0.0837,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.1096,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.0788,SRV+Double,5
null,test,2H,0.1096,SRV+Double,5
alternative,reference,2H,0.0832,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.1092,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.0789,SRV+Double,6
null,test,2H,0.1096,SRV+Double,6
alternative,reference,2H,0.0829,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.1102,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.079,SRV+Double,7
null,test,2H,0.1098,SRV+Double,7
alternative,reference,2H,0.0835,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.1099,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.0788,SRV+Double,8
null,test,2H,0.1098,SRV+Double,8
alternative,reference,2H,0.0833,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.1094,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.0788,SRV+Double,9
null,test,2H,0.1099,SRV+Double,9
alternative,reference,2H,0.083,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.1098,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.0789,SRV+Double,10
null,test,2H,0.1095,SRV+Double,10
alternative,reference,2H,0.0735,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.1098,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0791,SRV+Double+Triple,1
null,test,2H,0.1097,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0737,SRV+Double+Triple,2
alternative,reference,2H,0.0,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.1092,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0788,SRV+Double+Triple,2
null,test,2H,0.1097,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.0736,SRV+Double+Triple,3
alternative,reference,2H,0.0,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.1096,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0789,SRV+Double+Triple,3
null,test,2H,0.1094,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.0733,SRV+Double+Triple,4
alternative,reference,2H,0.0,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.1092,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.0788,SRV+Double+Triple,4
null,test,2H,0.1099,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.0731,SRV+Double+Triple,5
alternative,reference,2H,0.0,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.1101,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.0787,SRV+Double+Triple,5
null,test,2H,0.1098,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.0735,SRV+Double+Triple,6
alternative,reference,2H,0.0,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.1098,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0,SRV+Double+Triple,6
null,reference,3H,0.0,SRV+Double+Triple,6
null,test,2H,0.0794,SRV+Double+Triple,6
null,test,2H,0.1092,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.0739,SRV+Double+Triple,7
alternative,reference,2H,0.0,SRV+Double+Triple,7
alternative,reference,3H,0.0,SRV+Double+Triple,7
alternative,test,2H,0.1099,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0,SRV+Double+Triple,7
null,reference,3H,0.0,SRV+Double+Triple,7
null,test,2H,0.0787,SRV+Double+Triple,7
null,test,2H,0.1097,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.0734,SRV+Double+Triple,8
alternative,reference,2H,0.0,SRV+Double+Triple,8
alternative,reference,3H,0.0,SRV+Double+Triple,8
alternative,test,2H,0.1097,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0,SRV+Double+Triple,8
null,reference,3H,0.0,SRV+Double+Triple,8
null,test,2H,0.0786,SRV+Double+Triple,8
null,test,2H,0.1097,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.0739,SRV+Double+Triple,9
alternative,reference,2H,0.0,SRV+Double+Triple,9
alternative,reference,3H,0.0,SRV+Double+Triple,9
alternative,test,2H,0.1092,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0,SRV+Double+Triple,9
null,reference,3H,0.0,SRV+Double+Triple,9
null,test,2H,0.0788,SRV+Double+Triple,9
null,test,2H,0.1095,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
