model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.786,75.815,SRV,1
null,2,0.788,20.457,SRV,1
null,3,6.522,3.728,SRV,1
null,1,0.786,96.245,SRV,2
null,2,0.993,0.0,SRV,2
null,3,6.494,3.755,SRV,2
null,1,0.785,68.607,SRV,3
null,2,0.787,27.659,SRV,3
null,3,6.521,3.734,SRV,3
null,1,0.785,96.239,SRV,4
null,2,1.096,0.0,SRV,4
null,3,6.491,3.761,SRV,4
null,1,0.782,4.136,SRV,5
null,2,0.786,92.116,SRV,5
null,3,6.503,3.749,SRV,5
null,1,0.786,96.244,SRV,6
null,2,1.28,0.0,SRV,6
null,3,6.495,3.756,SRV,6
null,1,0.786,75.581,SRV,7
null,2,0.787,20.697,SRV,7
null,3,6.524,3.722,SRV,7
null,1,0.786,49.366,SRV,8
null,2,0.787,46.905,SRV,8
null,3,6.521,3.728,SRV,8
null,1,0.779,5.828,SRV,9
null,2,0.786,90.415,SRV,9
null,3,6.495,3.757,SRV,9
null,1,0.783,8.749,SRV,10
null,2,0.786,87.503,SRV,10
null,3,6.506,3.748,SRV,10
