model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Negative selection,0.064,15.774,SRV,1
alternative,reference,Negative selection,0.071,61.831,SRV,1
alternative,reference,Neutral evolution,1.0,22.395,SRV,1
alternative,test,Negative selection,0.0,15.774,SRV,1
alternative,test,Negative selection,0.0,61.831,SRV,1
alternative,test,Negative selection,0.064,15.774,SRV,1
alternative,test,Negative selection,0.071,61.831,SRV,1
alternative,test,Neutral evolution,1.0,22.395,SRV,1
alternative,test,Neutral evolution,1.0,22.395,SRV,1
null,reference,Negative selection,0.063,14.739,SRV,1
null,reference,Negative selection,0.066,62.645,SRV,1
null,reference,Neutral evolution,1.0,22.617,SRV,1
null,test,Negative selection,0.063,14.739,SRV,1
null,test,Negative selection,0.066,62.645,SRV,1
null,test,Neutral evolution,1.0,22.617,SRV,1
alternative,reference,Negative selection,0.0,19.194,SRV,2
alternative,reference,Negative selection,0.098,58.849,SRV,2
alternative,reference,Neutral evolution,1.0,21.957,SRV,2
alternative,test,Negative selection,0.0,19.194,SRV,2
alternative,test,Negative selection,0.0,58.849,SRV,2
alternative,test,Negative selection,0.0,19.194,SRV,2
alternative,test,Negative selection,0.098,58.849,SRV,2
alternative,test,Neutral evolution,1.0,21.957,SRV,2
alternative,test,Neutral evolution,1.0,21.957,SRV,2
null,reference,Negative selection,0.0,18.813,SRV,2
null,reference,Negative selection,0.094,59.097,SRV,2
null,reference,Neutral evolution,1.0,22.091,SRV,2
null,test,Negative selection,0.0,18.813,SRV,2
null,test,Negative selection,0.094,59.097,SRV,2
null,test,Neutral evolution,1.0,22.091,SRV,2
alternative,reference,Negative selection,0.069,67.818,SRV,3
alternative,reference,Negative selection,0.074,9.892,SRV,3
alternative,reference,Neutral evolution,1.0,22.289,SRV,3
alternative,test,Negative selection,0.0,67.818,SRV,3
alternative,test,Negative selection,0.0,9.892,SRV,3
alternative,test,Negative selection,0.069,67.818,SRV,3
alternative,test,Negative selection,0.074,9.892,SRV,3
alternative,test,Neutral evolution,1.0,22.289,SRV,3
alternative,test,Neutral evolution,1.0,22.289,SRV,3
null,reference,Negative selection,0.065,69.273,SRV,3
null,reference,Negative selection,0.065,8.043,SRV,3
null,reference,Neutral evolution,1.0,22.684,SRV,3
null,test,Negative selection,0.065,69.273,SRV,3
null,test,Negative selection,0.065,8.043,SRV,3
null,test,Neutral evolution,1.0,22.684,SRV,3
alternative,reference,Negative selection,0.0,62.196,SRV,4
alternative,reference,Negative selection,0.623,26.819,SRV,4
alternative,reference,Neutral evolution,1.0,10.985,SRV,4
alternative,test,Negative selection,0.0,62.196,SRV,4
alternative,test,Negative selection,0.191,26.819,SRV,4
alternative,test,Negative selection,0.0,62.196,SRV,4
alternative,test,Negative selection,0.623,26.819,SRV,4
alternative,test,Neutral evolution,1.0,10.985,SRV,4
alternative,test,Neutral evolution,1.0,10.985,SRV,4
null,reference,Negative selection,0.0,62.437,SRV,4
null,reference,Negative selection,0.623,26.543,SRV,4
null,reference,Neutral evolution,1.0,11.021,SRV,4
null,test,Negative selection,0.0,62.437,SRV,4
null,test,Negative selection,0.623,26.543,SRV,4
null,test,Neutral evolution,1.0,11.021,SRV,4
alternative,reference,Negative selection,0.0,60.229,SRV,5
alternative,reference,Negative selection,0.484,23.27,SRV,5
alternative,reference,Neutral evolution,1.0,16.501,SRV,5
alternative,test,Negative selection,0.0,60.229,SRV,5
alternative,test,Negative selection,0.0,23.27,SRV,5
alternative,test,Negative selection,0.0,60.229,SRV,5
alternative,test,Negative selection,0.484,23.27,SRV,5
alternative,test,Neutral evolution,1.0,16.501,SRV,5
alternative,test,Neutral evolution,1.0,16.501,SRV,5
null,reference,Negative selection,0.0,60.55,SRV,5
null,reference,Negative selection,0.488,23.075,SRV,5
null,reference,Neutral evolution,1.0,16.375,SRV,5
null,test,Negative selection,0.0,60.55,SRV,5
null,test,Negative selection,0.488,23.075,SRV,5
null,test,Neutral evolution,1.0,16.375,SRV,5
alternative,reference,Diversifying selection,1.011,0.0,SRV,6
alternative,reference,Negative selection,0.011,66.313,SRV,6
alternative,reference,Negative selection,0.803,33.687,SRV,6
alternative,test,Diversifying selection,1.006,0.0,SRV,6
alternative,test,Diversifying selection,1.011,0.0,SRV,6
alternative,test,Negative selection,0.078,66.313,SRV,6
alternative,test,Negative selection,0.317,33.687,SRV,6
alternative,test,Negative selection,0.011,66.313,SRV,6
alternative,test,Negative selection,0.803,33.687,SRV,6
null,reference,Diversifying selection,2.267,0.0,SRV,6
null,reference,Negative selection,0.007,65.665,SRV,6
null,reference,Negative selection,0.796,34.335,SRV,6
null,test,Diversifying selection,2.267,0.0,SRV,6
null,test,Negative selection,0.007,65.665,SRV,6
null,test,Negative selection,0.796,34.335,SRV,6
alternative,reference,Negative selection,0.067,58.479,SRV,7
alternative,reference,Negative selection,0.076,19.19,SRV,7
alternative,reference,Neutral evolution,1.0,22.332,SRV,7
alternative,test,Negative selection,0.0,58.479,SRV,7
alternative,test,Negative selection,0.0,19.19,SRV,7
alternative,test,Negative selection,0.067,58.479,SRV,7
alternative,test,Negative selection,0.076,19.19,SRV,7
alternative,test,Neutral evolution,1.0,22.332,SRV,7
alternative,test,Neutral evolution,1.0,22.332,SRV,7
null,reference,Negative selection,0.066,57.939,SRV,7
null,reference,Negative selection,0.067,19.513,SRV,7
null,reference,Neutral evolution,1.0,22.548,SRV,7
null,test,Negative selection,0.066,57.939,SRV,7
null,test,Negative selection,0.067,19.513,SRV,7
null,test,Neutral evolution,1.0,22.548,SRV,7
alternative,reference,Negative selection,0.062,22.895,SRV,8
alternative,reference,Negative selection,0.072,54.733,SRV,8
alternative,reference,Neutral evolution,1.0,22.372,SRV,8
alternative,test,Negative selection,0.0,22.895,SRV,8
alternative,test,Negative selection,0.0,54.733,SRV,8
alternative,test,Negative selection,0.062,22.895,SRV,8
alternative,test,Negative selection,0.072,54.733,SRV,8
alternative,test,Neutral evolution,1.0,22.372,SRV,8
alternative,test,Neutral evolution,1.0,22.372,SRV,8
null,reference,Negative selection,0.051,23.359,SRV,8
null,reference,Negative selection,0.072,54.031,SRV,8
null,reference,Neutral evolution,1.0,22.61,SRV,8
null,test,Negative selection,0.051,23.359,SRV,8
null,test,Negative selection,0.072,54.031,SRV,8
null,test,Neutral evolution,1.0,22.61,SRV,8
alternative,reference,Negative selection,0.0,23.541,SRV,9
alternative,reference,Negative selection,0.108,54.659,SRV,9
alternative,reference,Neutral evolution,1.0,21.8,SRV,9
alternative,test,Negative selection,0.0,23.541,SRV,9
alternative,test,Negative selection,0.0,54.659,SRV,9
alternative,test,Negative selection,0.0,23.541,SRV,9
alternative,test,Negative selection,0.108,54.659,SRV,9
alternative,test,Neutral evolution,1.0,21.8,SRV,9
alternative,test,Neutral evolution,1.0,21.8,SRV,9
null,reference,Negative selection,0.0,24.53,SRV,9
null,reference,Negative selection,0.102,53.211,SRV,9
null,reference,Neutral evolution,1.0,22.26,SRV,9
null,test,Negative selection,0.0,24.53,SRV,9
null,test,Negative selection,0.102,53.211,SRV,9
null,test,Neutral evolution,1.0,22.26,SRV,9
alternative,reference,Diversifying selection,1.006,0.0,SRV,10
alternative,reference,Negative selection,0.0,63.868,SRV,10
alternative,reference,Negative selection,0.767,36.132,SRV,10
alternative,test,Diversifying selection,1.019,0.0,SRV,10
alternative,test,Diversifying selection,1.006,0.0,SRV,10
alternative,test,Negative selection,0.0,63.868,SRV,10
alternative,test,Negative selection,0.441,36.132,SRV,10
alternative,test,Negative selection,0.0,63.868,SRV,10
alternative,test,Negative selection,0.767,36.132,SRV,10
null,reference,Diversifying selection,1.676,0.0,SRV,10
null,reference,Negative selection,0.0,63.816,SRV,10
null,reference,Negative selection,0.76,36.184,SRV,10
null,test,Diversifying selection,1.676,0.0,SRV,10
null,test,Negative selection,0.0,63.816,SRV,10
null,test,Negative selection,0.76,36.184,SRV,10
alternative,reference,Diversifying selection,1.006,0.0,SRV+Double,1
alternative,reference,Negative selection,0.0,63.717,SRV+Double,1
alternative,reference,Negative selection,0.762,36.283,SRV+Double,1
alternative,test,Diversifying selection,1.018,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.006,0.0,SRV+Double,1
alternative,test,Negative selection,0.0,63.717,SRV+Double,1
alternative,test,Negative selection,0.436,36.283,SRV+Double,1
alternative,test,Negative selection,0.0,63.717,SRV+Double,1
alternative,test,Negative selection,0.762,36.283,SRV+Double,1
null,reference,Diversifying selection,1.726,0.0,SRV+Double,1
null,reference,Negative selection,0.0,63.379,SRV+Double,1
null,reference,Negative selection,0.748,36.621,SRV+Double,1
null,test,Diversifying selection,1.726,0.0,SRV+Double,1
null,test,Negative selection,0.0,63.379,SRV+Double,1
null,test,Negative selection,0.748,36.621,SRV+Double,1
alternative,reference,Negative selection,0.0,61.66,SRV+Double,2
alternative,reference,Negative selection,0.549,23.312,SRV+Double,2
alternative,reference,Neutral evolution,1.0,15.028,SRV+Double,2
