model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.647,43.849,SRV,1
null,2,0.683,27.043,SRV,1
null,3,1.826,29.109,SRV,1
null,1,0.657,44.713,SRV,2
null,2,0.667,26.151,SRV,2
null,3,1.825,29.136,SRV,2
null,1,0.646,38.23,SRV,3
null,2,0.678,32.585,SRV,3
null,3,1.823,29.185,SRV,3
null,1,0.659,43.217,SRV,4
null,2,0.677,28.607,SRV,4
null,3,1.851,28.176,SRV,4
null,1,0.644,32.566,SRV,5
null,2,0.685,39.125,SRV,5
null,3,1.845,28.308,SRV,5
null,1,0.662,32.012,SRV,6
null,2,0.668,39.52,SRV,6
null,3,1.842,28.468,SRV,6
null,1,0.656,44.67,SRV,7
null,2,0.667,26.151,SRV,7
null,3,1.825,29.18,SRV,7
null,1,0.65,44.865,SRV,8
null,2,0.681,26.057,SRV,8
null,3,1.826,29.078,SRV,8
null,1,0.638,22.676,SRV,9
null,2,0.672,48.226,SRV,9
null,3,1.826,29.097,SRV,9
null,1,0.661,46.629,SRV,10
null,2,0.677,25.296,SRV,10
null,3,1.854,28.075,SRV,10
