model,class_id,syn_rate,proportion_percent,run_type,replicate
alternative,1,0.042,57.25,SRV,1
alternative,2,0.197,32.664,SRV,1
alternative,3,9.037,10.086,SRV,1
null,1,0.0,53.107,SRV,1
null,2,0.264,37.006,SRV,1
null,3,9.128,9.886,SRV,1
alternative,1,0.015,56.539,SRV,2
alternative,2,0.278,33.692,SRV,2
alternative,3,9.192,9.769,SRV,2
null,1,0.0,53.817,SRV,2
null,2,0.286,36.473,SRV,2
null,3,9.223,9.71,SRV,2
alternative,1,0.038,58.042,SRV,3
alternative,2,0.217,31.947,SRV,3
alternative,3,9.073,10.011,SRV,3
null,1,0.006,54.573,SRV,3
null,2,0.257,35.507,SRV,3
null,3,9.128,9.92,SRV,3
alternative,1,0.049,59.158,SRV,4
alternative,2,0.211,30.891,SRV,4
alternative,3,9.105,9.951,SRV,4
null,1,0.016,56.919,SRV,4
null,2,0.249,33.105,SRV,4
null,3,9.102,9.976,SRV,4
alternative,1,0.034,58.983,SRV,5
alternative,2,0.231,31.0,SRV,5
alternative,3,9.069,10.016,SRV,5
null,1,0.0,54.42,SRV,5
null,2,0.268,35.675,SRV,5
null,3,9.13,9.906,SRV,5
alternative,1,0.058,60.132,SRV,6
alternative,2,0.166,29.666,SRV,6
alternative,3,8.978,10.202,SRV,6
null,1,0.031,58.148,SRV,6
null,2,0.24,31.909,SRV,6
null,3,9.104,9.943,SRV,6
alternative,1,0.038,57.57,SRV,7
alternative,2,0.223,32.468,SRV,7
alternative,3,9.095,9.962,SRV,7
null,1,0.015,54.023,SRV,7
null,2,0.228,35.967,SRV,7
null,3,9.087,10.009,SRV,7
alternative,1,0.048,58.863,SRV,8
alternative,2,0.216,31.222,SRV,8
alternative,3,9.12,9.915,SRV,8
null,1,0.008,55.195,SRV,8
null,2,0.267,34.952,SRV,8
null,3,9.161,9.853,SRV,8
alternative,1,0.043,59.801,SRV,9
alternative,2,0.21,30.125,SRV,9
alternative,3,9.042,10.073,SRV,9
null,1,0.033,57.452,SRV,9
null,2,0.208,32.442,SRV,9
null,3,9.039,10.106,SRV,9
alternative,1,0.0,32.023,SRV,10
alternative,2,0.212,58.716,SRV,10
alternative,3,9.454,9.261,SRV,10
null,1,0.0,30.535,SRV,10
null,2,0.167,59.665,SRV,10
null,3,9.188,9.8,SRV,10
