model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,2.962,SRV,1
null,2,0.825,90.027,SRV,1
null,3,3.664,7.011,SRV,1
null,1,0.0,2.644,SRV,2
null,2,0.819,89.871,SRV,2
null,3,3.531,7.485,SRV,2
null,1,0.772,90.904,SRV,3
null,2,3.276,8.079,SRV,3
null,3,3.297,1.017,SRV,3
null,1,0.737,74.813,SRV,4
null,2,0.983,16.89,SRV,4
null,3,3.409,8.297,SRV,4
null,1,0.732,68.073,SRV,5
null,2,0.923,23.584,SRV,5
null,3,3.409,8.344,SRV,5
null,1,0.74,71.886,SRV,6
null,2,0.924,19.707,SRV,6
null,3,3.404,8.407,SRV,6
null,1,0.767,89.969,SRV,7
null,2,1.794,2.3,SRV,7
null,3,3.479,7.731,SRV,7
null,1,0.733,73.465,SRV,8
null,2,0.987,18.314,SRV,8
null,3,3.42,8.221,SRV,8
null,1,0.743,77.9,SRV,9
null,2,0.995,13.731,SRV,9
null,3,3.398,8.369,SRV,9
null,1,0.749,78.365,SRV,10
null,2,0.96,13.229,SRV,10
null,3,3.403,8.406,SRV,10
