model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0858,SRV+Double,1
alternative,reference,2H,0.0469,SRV+Double,1
alternative,test,2H,0.1334,SRV+Double,1
null,reference,2H,0.0472,SRV+Double,1
null,reference,2H,0.0493,SRV+Double,1
null,test,2H,0.1182,SRV+Double,1
null,test,2H,0.0926,SRV+Double,1
alternative,reference,2H,0.0904,SRV+Double,2
alternative,reference,2H,0.0459,SRV+Double,2
alternative,test,2H,0.1298,SRV+Double,2
null,reference,2H,0.0468,SRV+Double,2
null,reference,2H,0.0479,SRV+Double,2
null,test,2H,0.1171,SRV+Double,2
null,test,2H,0.0946,SRV+Double,2
alternative,reference,2H,0.0886,SRV+Double,3
alternative,reference,2H,0.0468,SRV+Double,3
alternative,test,2H,0.1331,SRV+Double,3
null,reference,2H,0.047,SRV+Double,3
null,reference,2H,0.0474,SRV+Double,3
null,test,2H,0.1176,SRV+Double,3
null,test,2H,0.0925,SRV+Double,3
alternative,reference,2H,0.0874,SRV+Double,4
alternative,reference,2H,0.0463,SRV+Double,4
alternative,test,2H,0.1312,SRV+Double,4
null,reference,2H,0.0471,SRV+Double,4
null,reference,2H,0.0497,SRV+Double,4
null,test,2H,0.1183,SRV+Double,4
null,test,2H,0.0951,SRV+Double,4
alternative,reference,2H,0.0904,SRV+Double,5
alternative,reference,2H,0.0473,SRV+Double,5
alternative,test,2H,0.1338,SRV+Double,5
null,reference,2H,0.0472,SRV+Double,5
null,reference,2H,0.0495,SRV+Double,5
null,test,2H,0.118,SRV+Double,5
null,test,2H,0.0925,SRV+Double,5
alternative,reference,2H,0.0882,SRV+Double,6
alternative,reference,2H,0.0462,SRV+Double,6
alternative,test,2H,0.1307,SRV+Double,6
null,reference,2H,0.0467,SRV+Double,6
null,reference,2H,0.0482,SRV+Double,6
null,test,2H,0.1179,SRV+Double,6
null,test,2H,0.0919,SRV+Double,6
alternative,reference,2H,0.088,SRV+Double,7
alternative,reference,2H,0.0467,SRV+Double,7
alternative,test,2H,0.1318,SRV+Double,7
null,reference,2H,0.0471,SRV+Double,7
null,reference,2H,0.0476,SRV+Double,7
null,test,2H,0.1177,SRV+Double,7
null,test,2H,0.0992,SRV+Double,7
alternative,reference,2H,0.0878,SRV+Double,8
alternative,reference,2H,0.0462,SRV+Double,8
alternative,test,2H,0.1309,SRV+Double,8
null,reference,2H,0.0468,SRV+Double,8
null,reference,2H,0.05,SRV+Double,8
null,test,2H,0.1169,SRV+Double,8
null,test,2H,0.0922,SRV+Double,8
alternative,reference,2H,0.0882,SRV+Double,9
alternative,reference,2H,0.046,SRV+Double,9
alternative,test,2H,0.1302,SRV+Double,9
null,reference,2H,0.047,SRV+Double,9
null,reference,2H,0.0475,SRV+Double,9
null,test,2H,0.1174,SRV+Double,9
null,test,2H,0.0969,SRV+Double,9
alternative,reference,2H,0.088,SRV+Double,10
alternative,reference,2H,0.046,SRV+Double,10
alternative,test,2H,0.1303,SRV+Double,10
null,reference,2H,0.0466,SRV+Double,10
null,reference,2H,0.0483,SRV+Double,10
null,test,2H,0.1169,SRV+Double,10
null,test,2H,0.101,SRV+Double,10
alternative,reference,2H,0.1039,SRV+Double+Triple,1
