replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.7009,1.05,-12275.21,24642.81,46,-12275.29,24640.94,45,0.2384,0.2268,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.6986,1.05,-12275.21,24642.81,46,-12275.29,24640.94,45,0.2384,0.2267,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.6987,1.05,-12275.21,24642.81,46,-12275.29,24640.94,45,0.2386,0.2271,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.6992,1.05,-12275.21,24642.81,46,-12275.29,24640.94,45,0.2386,0.2271,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.7055,1.04,-12275.21,24642.82,46,-12275.29,24640.95,45,0.2386,0.2271,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.7009,1.05,-12275.21,24642.81,46,-12275.29,24640.94,45,0.2378,0.2266,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.7011,1.05,-12275.21,24642.81,46,-12275.28,24640.94,45,0.2383,0.2266,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.6998,1.05,-12275.21,24642.81,46,-12275.29,24640.94,45,0.2383,0.2268,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.7016,1.05,-12275.21,24642.82,46,-12275.29,24640.95,45,0.2383,0.2269,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.7014,1.05,-12275.21,24642.81,46,-12275.28,24640.94,45,0.2384,0.2266,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.6346,1.06,-12274.11,24644.65,48,-12274.23,24642.86,47,0.2383,0.2269,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.6364,1.06,-12274.12,24644.66,48,-12274.23,24642.86,47,0.2383,0.2266,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.6394,1.06,-12274.11,24644.65,48,-12274.22,24642.86,47,0.2384,0.227,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.6369,1.06,-12274.12,24644.66,48,-12274.23,24642.87,47,0.2384,0.2266,Convergence/flat likelihood
5,SRV+Double,0.6372,1.06,-12274.11,24644.65,48,-12274.22,24642.85,47,0.2386,0.2273,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.6388,1.06,-12274.12,24644.66,48,-12274.23,24642.86,47,0.2386,0.2272,Convergence/flat likelihood
7,SRV+Double,0.6364,1.06,-12274.11,24644.65,48,-12274.22,24642.85,47,0.2387,0.227,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.6344,1.06,-12274.11,24644.65,48,-12274.22,24642.86,47,0.2378,0.2266,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.6364,1.06,-12274.12,24644.66,48,-12274.23,24642.87,47,0.2384,0.2268,Convergence/flat likelihood
10,SRV+Double,0.6378,1.06,-12274.12,24644.65,48,-12274.23,24642.86,47,0.2378,0.2266,Convergence/flat likelihood
1,SRV+Double+Triple,0.6191,1.06,-12273.02,24646.51,50,-12273.15,24644.74,49,0.2385,0.2267,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.617,1.06,-12273.02,24646.5,50,-12273.15,24644.73,49,0.2384,0.2268,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.6213,1.06,-12273.03,24646.51,50,-12273.15,24644.74,49,0.2386,0.2272,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.624,1.07,-12273.03,24646.51,50,-12273.15,24644.73,49,0.2387,0.2273,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.6206,1.06,-12273.02,24646.51,50,-12273.15,24644.73,49,0.2386,0.2268,Convergence/flat likelihood
6,SRV+Double+Triple,0.6196,1.07,-12273.02,24646.51,50,-12273.15,24644.73,49,0.2383,0.2268,Convergence/flat likelihood
7,SRV+Double+Triple,1.0,1.06,-12273.95,24648.35,50,-12273.15,24644.75,49,0.2384,0.2266,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.6329,1.06,-12273.03,24646.52,50,-12273.15,24644.73,49,0.2383,0.2265,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.6181,1.06,-12273.02,24646.5,50,-12273.15,24644.73,49,0.2384,0.2268,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.6191,1.06,-12273.02,24646.5,50,-12273.14,24644.73,49,0.2386,0.2272,Convergence/flat likelihood
