model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.116,8.264,SRV,1
null,2,0.862,82.647,SRV,1
null,3,3.055,9.089,SRV,1
null,1,0.118,8.342,SRV,2
null,2,0.863,82.583,SRV,2
null,3,3.058,9.075,SRV,2
null,1,0.11,8.04,SRV,3
null,2,0.86,82.822,SRV,3
null,3,3.048,9.138,SRV,3
null,1,0.119,8.394,SRV,4
null,2,0.863,82.531,SRV,4
null,3,3.059,9.075,SRV,4
null,1,0.114,8.187,SRV,5
null,2,0.862,82.708,SRV,5
null,3,3.053,9.105,SRV,5
null,1,0.12,8.423,SRV,6
null,2,0.863,82.5,SRV,6
null,3,3.059,9.077,SRV,6
null,1,0.117,8.336,SRV,7
null,2,0.863,82.587,SRV,7
null,3,3.057,9.077,SRV,7
null,1,0.119,8.376,SRV,8
null,2,0.863,82.568,SRV,8
null,3,3.062,9.056,SRV,8
null,1,0.114,8.207,SRV,9
null,2,0.862,82.681,SRV,9
null,3,3.052,9.111,SRV,9
null,1,0.12,8.438,SRV,10
null,2,0.864,82.509,SRV,10
null,3,3.061,9.053,SRV,10
