replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.362,0.76,-6839.79,13759.98,40,-6840.21,13758.79,39,0.172,0.2507,Convergence/flat likelihood
2,SRV,0.8073,0.65,-6839.79,13761.99,41,-6839.82,13760.03,40,0.1721,0.2511,Convergence/flat likelihood
3,SRV,0.3619,0.77,-6839.8,13759.99,40,-6840.21,13758.8,39,0.1721,0.2511,Convergence/flat likelihood
4,SRV,0.362,0.77,-6839.79,13759.98,40,-6840.21,13758.79,39,0.1721,0.2511,Convergence/flat likelihood
5,SRV,0.3608,0.77,-6839.8,13759.98,40,-6840.21,13758.8,39,0.1721,0.2511,Convergence/flat likelihood
6,SRV,0.362,0.77,-6839.8,13759.99,40,-6840.21,13758.8,39,0.1721,0.2511,Convergence/flat likelihood
7,SRV,0.3619,0.77,-6839.8,13759.98,40,-6840.21,13758.8,39,0.1721,0.2511,Convergence/flat likelihood
8,SRV,0.3639,0.76,-6839.79,13759.98,40,-6840.21,13758.79,39,0.1721,0.2511,Convergence/flat likelihood
9,SRV,0.3619,0.77,-6839.79,13759.98,40,-6840.21,13758.8,39,0.1721,0.2511,Convergence/flat likelihood
10,SRV,0.3613,0.77,-6839.8,13759.99,40,-6840.21,13758.8,39,0.1721,0.2511,Convergence/flat likelihood
1,SRV+Double,0.3533,0.78,-6839.76,13763.95,42,-6840.19,13762.79,41,0.1721,0.2511,Convergence/flat likelihood
2,SRV+Double,0.358,0.77,-6839.77,13763.98,42,-6840.2,13762.81,41,0.1721,0.2511,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.363,0.76,-6839.79,13764.02,42,-6840.21,13762.83,41,0.1721,0.2511,Convergence/flat likelihood
4,SRV+Double,0.875,0.74,-6839.77,13765.99,43,-6839.78,13763.99,42,0.1721,0.2511,Convergence/flat likelihood
5,SRV+Double,0.3539,0.78,-6839.76,13763.95,42,-6840.19,13762.79,41,0.1721,0.2511,Convergence/flat likelihood
6,SRV+Double,0.3534,0.78,-6839.76,13763.95,42,-6840.19,13762.79,41,0.1721,0.2511,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.3549,0.77,-6839.76,13763.96,42,-6840.19,13762.79,41,0.172,0.2506,Convergence/flat likelihood
8,SRV+Double,0.3607,0.76,-6839.78,13764.0,42,-6840.2,13762.81,41,0.1721,0.2511,Convergence/flat likelihood
9,SRV+Double,0.3555,0.77,-6839.76,13763.96,42,-6840.19,13762.8,41,0.1721,0.2511,Convergence/flat likelihood
10,SRV+Double,0.3545,0.77,-6839.76,13763.96,42,-6840.19,13762.79,41,0.1721,0.2511,Convergence/flat likelihood
1,SRV+Double+Triple,0.3586,0.77,-6839.77,13768.02,44,-6840.19,13766.84,43,0.1721,0.2511,Convergence/flat likelihood
2,SRV+Double+Triple,0.3586,0.77,-6839.77,13768.03,44,-6840.2,13766.85,43,0.1721,0.2511,Convergence/flat likelihood
3,SRV+Double+Triple,0.3605,0.76,-6839.78,13768.04,44,-6840.2,13766.85,43,0.1721,0.2511,Convergence/flat likelihood
4,SRV+Double+Triple,1.0,0.68,-6839.79,13770.08,45,-6839.78,13768.04,44,0.1721,0.2511,Convergence/flat likelihood
5,SRV+Double+Triple,0.359,0.76,-6839.78,13768.03,44,-6840.2,13766.85,43,0.1721,0.2511,Convergence/flat likelihood
6,SRV+Double+Triple,0.3584,0.77,-6839.77,13768.02,44,-6840.19,13766.84,43,0.1721,0.2511,Convergence/flat likelihood
7,SRV+Double+Triple,0.3567,0.77,-6839.77,13768.01,44,-6840.19,13766.84,43,0.1721,0.2511,Convergence/flat likelihood
8,SRV+Double+Triple,0.3577,0.77,-6839.77,13768.02,44,-6840.19,13766.84,43,0.1721,0.2511,Convergence/flat likelihood
9,SRV+Double+Triple,0.3592,0.76,-6839.78,13768.03,44,-6840.2,13766.85,43,0.1721,0.2511,Convergence/flat likelihood
10,SRV+Double+Triple,0.3537,0.78,-6839.76,13768.0,44,-6840.19,13766.84,43,0.1721,0.2511,Convergence/flat likelihood
