model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1354,SRV+Double,1
alternative,reference,2H,0.0834,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0794,SRV+Double,1
null,reference,2H,0.0953,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.1288,SRV+Double,2
alternative,reference,2H,0.0834,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0833,SRV+Double,2
null,reference,2H,0.085,SRV+Double,2
null,reference,2H,0.0832,SRV+Double,2
null,reference,2H,0.0916,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.133,SRV+Double,3
alternative,reference,2H,0.0869,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0819,SRV+Double,3
null,reference,2H,0.0941,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.1071,SRV+Double,4
alternative,reference,2H,0.0831,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0798,SRV+Double,4
null,reference,2H,0.0959,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.1331,SRV+Double,5
alternative,reference,2H,0.0821,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0793,SRV+Double,5
null,reference,2H,0.0956,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.1321,SRV+Double,6
alternative,reference,2H,0.0817,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0813,SRV+Double,6
null,reference,2H,0.0837,SRV+Double,6
null,reference,2H,0.0814,SRV+Double,6
null,reference,2H,0.1028,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.1271,SRV+Double,7
alternative,reference,2H,0.0839,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.081,SRV+Double,7
null,reference,2H,0.0993,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.127,SRV+Double,8
alternative,reference,2H,0.083,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0802,SRV+Double,8
null,reference,2H,0.0969,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.1389,SRV+Double,9
alternative,reference,2H,0.0836,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0812,SRV+Double,9
null,reference,2H,0.1027,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.1269,SRV+Double,10
alternative,reference,2H,0.0842,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0826,SRV+Double,10
null,reference,2H,0.0913,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1653,SRV+Double+Triple,1
alternative,reference,2H,0.0836,SRV+Double+Triple,1
alternative,reference,3H,0.0065,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0796,SRV+Double+Triple,1
null,reference,2H,0.0958,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1295,SRV+Double+Triple,2
alternative,reference,2H,0.0825,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0791,SRV+Double+Triple,2
null,reference,2H,0.0941,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1275,SRV+Double+Triple,3
alternative,reference,2H,0.0832,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0796,SRV+Double+Triple,3
null,reference,2H,0.0964,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.1279,SRV+Double+Triple,4
alternative,reference,2H,0.0822,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0789,SRV+Double+Triple,4
null,reference,2H,0.0946,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1347,SRV+Double+Triple,5
alternative,reference,2H,0.0833,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0811,SRV+Double+Triple,5
null,reference,2H,0.1025,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.1362,SRV+Double+Triple,6
alternative,reference,2H,0.0853,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0826,SRV+Double+Triple,6
null,reference,2H,0.1032,SRV+Double+Triple,6
null,reference,3H,0.0,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.1375,SRV+Double+Triple,7
alternative,reference,2H,0.0837,SRV+Double+Triple,7
alternative,reference,3H,0.0,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0818,SRV+Double+Triple,7
null,reference,2H,0.1019,SRV+Double+Triple,7
null,reference,3H,0.0,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.1255,SRV+Double+Triple,8
alternative,reference,2H,0.0832,SRV+Double+Triple,8
alternative,reference,3H,0.0,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0802,SRV+Double+Triple,8
null,reference,2H,0.0995,SRV+Double+Triple,8
null,reference,3H,0.0,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.1284,SRV+Double+Triple,9
alternative,reference,2H,0.0834,SRV+Double+Triple,9
alternative,reference,3H,0.0,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0792,SRV+Double+Triple,9
null,reference,2H,0.0958,SRV+Double+Triple,9
null,reference,3H,0.0,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
