model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Negative selection,0.0,11.796,SRV,1
alternative,reference,Negative selection,0.097,76.122,SRV,1
alternative,reference,Neutral evolution,1.0,12.082,SRV,1
alternative,test,Negative selection,0.0,11.796,SRV,1
alternative,test,Negative selection,0.122,76.122,SRV,1
alternative,test,Negative selection,0.0,11.796,SRV,1
alternative,test,Negative selection,0.097,76.122,SRV,1
alternative,test,Neutral evolution,1.0,12.082,SRV,1
alternative,test,Neutral evolution,1.0,12.082,SRV,1
null,reference,Negative selection,0.0,11.853,SRV,1
null,reference,Negative selection,0.102,76.178,SRV,1
null,reference,Neutral evolution,1.0,11.97,SRV,1
null,test,Negative selection,0.0,11.853,SRV,1
null,test,Negative selection,0.102,76.178,SRV,1
null,test,Neutral evolution,1.0,11.97,SRV,1
alternative,reference,Diversifying selection,1.006,0.0,SRV,2
alternative,reference,Negative selection,0.0,66.422,SRV,2
alternative,reference,Negative selection,0.573,33.578,SRV,2
alternative,test,Diversifying selection,1.005,0.0,SRV,2
alternative,test,Diversifying selection,1.006,0.0,SRV,2
alternative,test,Negative selection,0.0,66.422,SRV,2
alternative,test,Negative selection,0.647,33.578,SRV,2
alternative,test,Negative selection,0.0,66.422,SRV,2
alternative,test,Negative selection,0.573,33.578,SRV,2
null,reference,Diversifying selection,1.771,0.0,SRV,2
null,reference,Negative selection,0.0,66.072,SRV,2
null,reference,Negative selection,0.576,33.928,SRV,2
null,test,Diversifying selection,1.771,0.0,SRV,2
null,test,Negative selection,0.0,66.072,SRV,2
null,test,Negative selection,0.576,33.928,SRV,2
alternative,reference,Diversifying selection,1.009,0.0,SRV,3
alternative,reference,Negative selection,0.0,66.297,SRV,3
alternative,reference,Negative selection,0.571,33.703,SRV,3
alternative,test,Diversifying selection,1.007,0.0,SRV,3
alternative,test,Diversifying selection,1.009,0.0,SRV,3
alternative,test,Negative selection,0.0,66.297,SRV,3
alternative,test,Negative selection,0.646,33.703,SRV,3
alternative,test,Negative selection,0.0,66.297,SRV,3
alternative,test,Negative selection,0.571,33.703,SRV,3
null,reference,Diversifying selection,1.772,0.0,SRV,3
null,reference,Negative selection,0.0,65.758,SRV,3
null,reference,Negative selection,0.572,34.242,SRV,3
null,test,Diversifying selection,1.772,0.0,SRV,3
null,test,Negative selection,0.0,65.758,SRV,3
null,test,Negative selection,0.572,34.242,SRV,3
alternative,reference,Negative selection,0.0,7.347,SRV,4
alternative,reference,Negative selection,0.09,80.441,SRV,4
