replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.6339,0.9,-7155.34,14387.08,38,-7155.45,14385.28,37,0.1953,0.2149,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.6087,0.78,-7155.09,14386.58,38,-7155.22,14384.82,37,0.1952,0.215,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.6139,0.78,-7155.06,14386.53,38,-7155.19,14384.76,37,0.1953,0.2149,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.6368,0.9,-7155.34,14387.09,38,-7155.45,14385.29,37,0.1953,0.2149,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.9013,0.9,-7155.35,14387.1,38,-7155.36,14385.09,37,0.1953,0.2149,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.6305,0.89,-7155.34,14387.07,38,-7155.45,14385.29,37,0.1953,0.2149,Convergence/flat likelihood; Collapsed rate class
7,SRV,1.0,0.9,-7155.35,14387.1,38,-7155.2,14384.77,37,0.1953,0.2149,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.6338,0.9,-7155.34,14387.08,38,-7155.45,14385.29,37,0.1952,0.215,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.682,0.89,-7155.21,14386.82,38,-7155.29,14384.96,37,0.1953,0.2149,Convergence/flat likelihood
10,SRV,0.6242,0.88,-7155.41,14387.23,38,-7155.53,14385.45,37,0.1953,0.2149,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.5241,0.82,-7153.94,14388.32,40,-7154.14,14386.7,39,0.1953,0.2149,Convergence/flat likelihood
2,SRV+Double,1.0,0.93,-7154.68,14389.79,40,-7154.4,14387.22,39,0.1953,0.2149,Convergence/flat likelihood
3,SRV+Double,0.5262,0.83,-7153.95,14388.35,40,-7154.15,14386.73,39,0.1953,0.2149,Convergence/flat likelihood
4,SRV+Double,0.5224,0.82,-7153.93,14388.3,40,-7154.13,14386.69,39,0.1953,0.2149,Convergence/flat likelihood
5,SRV+Double,0.5246,0.82,-7153.93,14388.31,40,-7154.14,14386.69,39,0.1953,0.2148,Convergence/flat likelihood
6,SRV+Double,1.0,0.93,-7154.67,14389.79,40,-7154.35,14387.12,39,0.1953,0.2149,Convergence/flat likelihood
7,SRV+Double,0.6395,0.89,-7154.21,14388.86,40,-7154.32,14387.06,39,0.1953,0.2149,Convergence/flat likelihood
8,SRV+Double,0.6189,0.85,-7154.08,14388.6,40,-7154.2,14386.82,39,0.1953,0.2149,Convergence/flat likelihood
9,SRV+Double,0.6118,0.9,-7154.25,14388.94,40,-7154.38,14387.18,39,0.1953,0.2149,Convergence/flat likelihood
10,SRV+Double,0.6283,0.92,-7154.29,14389.02,40,-7154.41,14387.23,39,0.1953,0.2149,Convergence/flat likelihood
1,SRV+Double+Triple,0.5245,0.82,-7153.94,14392.37,42,-7154.14,14390.75,41,0.1953,0.2149,Convergence/flat likelihood
2,SRV+Double+Triple,0.5238,0.82,-7153.93,14392.35,42,-7154.13,14390.74,41,0.1953,0.2149,Convergence/flat likelihood
3,SRV+Double+Triple,0.5513,0.85,-7154.05,14392.59,42,-7154.23,14390.92,41,0.1953,0.2149,Convergence/flat likelihood
4,SRV+Double+Triple,0.5242,0.81,-7153.94,14392.37,42,-7154.14,14390.75,41,0.1953,0.2149,Convergence/flat likelihood
5,SRV+Double+Triple,0.6091,0.9,-7154.24,14392.96,42,-7154.37,14391.2,41,0.1953,0.2149,Convergence/flat likelihood
6,SRV+Double+Triple,0.6349,0.92,-7154.31,14393.12,42,-7154.43,14391.32,41,0.1953,0.2149,Convergence/flat likelihood
7,SRV+Double+Triple,0.6213,0.92,-7154.29,14393.06,42,-7154.41,14391.28,41,0.1953,0.2149,Convergence/flat likelihood
8,SRV+Double+Triple,0.5926,0.88,-7154.19,14392.86,42,-7154.33,14391.13,41,0.1953,0.2149,Convergence/flat likelihood
9,SRV+Double+Triple,0.5842,0.84,-7154.04,14392.58,42,-7154.19,14390.85,41,0.1953,0.2149,Convergence/flat likelihood
10,SRV+Double+Triple,0.6083,0.9,-7154.12,14392.72,42,-7154.25,14390.96,41,0.1953,0.2149,Convergence/flat likelihood
