model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,20.731,SRV,1
null,2,0.815,48.852,SRV,1
null,3,1.979,30.417,SRV,1
null,1,0.049,24.961,SRV,2
null,2,0.904,46.976,SRV,2
null,3,2.007,28.063,SRV,2
null,1,0.0,20.764,SRV,3
null,2,0.817,48.983,SRV,3
null,3,1.982,30.254,SRV,3
null,1,0.0,20.757,SRV,4
null,2,0.826,50.114,SRV,4
null,3,2.011,29.129,SRV,4
null,1,0.016,22.233,SRV,5
null,2,0.854,48.748,SRV,5
null,3,1.999,29.019,SRV,5
null,1,0.0,20.723,SRV,6
null,2,0.814,48.812,SRV,6
null,3,1.978,30.465,SRV,6
null,1,0.0,20.912,SRV,7
null,2,0.827,49.331,SRV,7
null,3,1.99,29.757,SRV,7
null,1,0.0,21.026,SRV,8
null,2,0.827,48.697,SRV,8
null,3,1.973,30.277,SRV,8
null,1,0.058,26.454,SRV,9
null,2,0.98,49.766,SRV,9
null,3,2.089,23.78,SRV,9
null,1,0.014,22.127,SRV,10
null,2,0.855,49.044,SRV,10
null,3,2.003,28.828,SRV,10
