replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.4694,1.18,-6839.96,13760.31,40,-6840.22,13758.81,39,0.1779,0.1307,Convergence/flat likelihood
2,SRV,0.4706,1.18,-6839.95,13760.29,40,-6840.21,13758.8,39,0.1779,0.1307,Convergence/flat likelihood
3,SRV,0.4715,1.18,-6839.95,13760.3,40,-6840.21,13758.8,39,0.1779,0.1307,Convergence/flat likelihood
4,SRV,1.0,0.98,-6839.93,13762.27,41,-6839.92,13760.24,40,0.1779,0.1307,Convergence/flat likelihood
5,SRV,0.9235,1.05,-6839.93,13762.27,41,-6839.93,13760.25,40,0.1779,0.1307,Convergence/flat likelihood
6,SRV,0.4701,1.18,-6839.95,13760.29,40,-6840.21,13758.79,39,0.1779,0.1307,Convergence/flat likelihood
7,SRV,0.4686,1.18,-6839.95,13760.29,40,-6840.21,13758.79,39,0.1779,0.1307,Convergence/flat likelihood
8,SRV,1.0,0.97,-6839.93,13762.27,41,-6839.92,13760.24,40,0.1779,0.1307,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.4705,1.17,-6839.95,13760.29,40,-6840.21,13758.8,39,0.1779,0.1307,Convergence/flat likelihood
10,SRV,0.4757,1.18,-6839.96,13760.31,40,-6840.21,13758.8,39,0.1779,0.1308,Convergence/flat likelihood
1,SRV+Double,0.477,1.17,-6839.93,13764.29,42,-6840.18,13762.77,41,0.1779,0.1307,Convergence/flat likelihood
2,SRV+Double,0.478,1.17,-6839.93,13764.3,42,-6840.18,13762.78,41,0.1779,0.1306,Convergence/flat likelihood
3,SRV+Double,0.9178,1.06,-6839.93,13766.31,43,-6839.93,13764.3,42,0.1779,0.1307,Convergence/flat likelihood
4,SRV+Double,0.4767,1.17,-6839.93,13764.3,42,-6840.18,13762.78,41,0.1779,0.1307,Convergence/flat likelihood
5,SRV+Double,0.4767,1.17,-6839.94,13764.31,42,-6840.19,13762.79,41,0.1779,0.1307,Convergence/flat likelihood
6,SRV+Double,0.4771,1.17,-6839.93,13764.29,42,-6840.18,13762.78,41,0.1779,0.1307,Convergence/flat likelihood
7,SRV+Double,0.4768,1.17,-6839.93,13764.29,42,-6840.18,13762.78,41,0.1779,0.1307,Convergence/flat likelihood
8,SRV+Double,0.4678,1.19,-6839.94,13764.31,42,-6840.2,13762.82,41,0.1779,0.1307,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.4775,1.17,-6839.93,13764.29,42,-6840.18,13762.77,41,0.1779,0.1307,Convergence/flat likelihood
10,SRV+Double,0.4723,1.18,-6839.93,13764.29,42,-6840.19,13762.79,41,0.1779,0.1307,Convergence/flat likelihood
1,SRV+Double+Triple,0.4694,1.18,-6839.93,13768.33,44,-6840.19,13766.83,43,0.1779,0.1307,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.4766,1.17,-6839.93,13768.33,44,-6840.18,13766.81,43,0.1779,0.1307,Convergence/flat likelihood
3,SRV+Double+Triple,0.4733,1.17,-6839.93,13768.33,44,-6840.18,13766.82,43,0.1779,0.1307,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.4663,1.2,-6839.94,13768.35,44,-6840.2,13766.86,43,0.1779,0.1307,Convergence/flat likelihood
5,SRV+Double+Triple,0.4667,1.21,-6839.94,13768.35,44,-6840.2,13766.86,43,0.1779,0.1305,Convergence/flat likelihood
6,SRV+Double+Triple,0.476,1.17,-6839.93,13768.33,44,-6840.18,13766.82,43,0.1779,0.1307,Convergence/flat likelihood
7,SRV+Double+Triple,0.4792,1.17,-6839.93,13768.33,44,-6840.18,13766.81,43,0.1779,0.1307,Convergence/flat likelihood
8,SRV+Double+Triple,0.4765,1.17,-6839.93,13768.33,44,-6840.18,13766.81,43,0.1779,0.1307,Convergence/flat likelihood
9,SRV+Double+Triple,0.4775,1.17,-6839.93,13768.33,44,-6840.18,13766.81,43,0.1779,0.1307,Convergence/flat likelihood
10,SRV+Double+Triple,0.4776,1.16,-6839.93,13768.33,44,-6840.18,13766.81,43,0.1779,0.1307,Convergence/flat likelihood
