model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.564,0.661,SRV,1
alternative,reference,Negative selection,0.039,5.078,SRV,1
alternative,reference,Negative selection,0.159,94.261,SRV,1
alternative,test,Diversifying selection,1.434,0.661,SRV,1
alternative,test,Diversifying selection,1.564,0.661,SRV,1
alternative,test,Negative selection,0.073,5.078,SRV,1
alternative,test,Negative selection,0.227,94.261,SRV,1
alternative,test,Negative selection,0.039,5.078,SRV,1
alternative,test,Negative selection,0.159,94.261,SRV,1
null,reference,Diversifying selection,1.071,0.924,SRV,1
null,reference,Negative selection,0.064,6.958,SRV,1
null,reference,Negative selection,0.168,92.118,SRV,1
null,test,Diversifying selection,1.071,0.924,SRV,1
null,test,Negative selection,0.064,6.958,SRV,1
null,test,Negative selection,0.168,92.118,SRV,1
alternative,reference,Negative selection,0.143,96.495,SRV,2
alternative,reference,Negative selection,0.544,2.352,SRV,2
alternative,reference,Neutral evolution,1.0,1.152,SRV,2
alternative,test,Negative selection,0.209,96.495,SRV,2
alternative,test,Negative selection,0.612,2.352,SRV,2
alternative,test,Negative selection,0.143,96.495,SRV,2
alternative,test,Negative selection,0.544,2.352,SRV,2
alternative,test,Neutral evolution,1.0,1.152,SRV,2
alternative,test,Neutral evolution,1.0,1.152,SRV,2
null,reference,Negative selection,0.15,95.697,SRV,2
null,reference,Negative selection,0.553,4.13,SRV,2
null,reference,Neutral evolution,1.0,0.173,SRV,2
null,test,Negative selection,0.15,95.697,SRV,2
null,test,Negative selection,0.553,4.13,SRV,2
null,test,Neutral evolution,1.0,0.173,SRV,2
alternative,reference,Diversifying selection,2.914,0.069,SRV,3
alternative,reference,Negative selection,0.031,26.718,SRV,3
alternative,reference,Negative selection,0.208,73.214,SRV,3
alternative,test,Diversifying selection,2.348,0.069,SRV,3
alternative,test,Diversifying selection,2.914,0.069,SRV,3
alternative,test,Negative selection,0.062,26.718,SRV,3
alternative,test,Negative selection,0.285,73.214,SRV,3
alternative,test,Negative selection,0.031,26.718,SRV,3
