replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.2174,0.81,-6839.45,13759.3,40,-6840.21,13758.8,39,0.1677,0.2321,Convergence/flat likelihood
2,SRV,0.2181,0.8,-6839.45,13759.3,40,-6840.21,13758.79,39,0.1677,0.2321,Convergence/flat likelihood
3,SRV,0.2259,0.8,-6839.47,13759.34,40,-6840.21,13758.79,39,0.1677,0.2321,Convergence/flat likelihood
4,SRV,0.2192,0.8,-6839.45,13759.3,40,-6840.21,13758.79,39,0.1678,0.2316,Convergence/flat likelihood
5,SRV,0.217,0.81,-6839.45,13759.29,40,-6840.21,13758.8,39,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.2193,0.8,-6839.45,13759.3,40,-6840.21,13758.79,39,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.2197,0.81,-6839.46,13759.31,40,-6840.21,13758.8,39,0.1677,0.2321,Convergence/flat likelihood
8,SRV,0.2171,0.81,-6839.45,13759.3,40,-6840.21,13758.8,39,0.1677,0.2321,Convergence/flat likelihood
9,SRV,0.2214,0.8,-6839.46,13759.32,40,-6840.21,13758.79,39,0.1677,0.2321,Convergence/flat likelihood
10,SRV,0.2169,0.81,-6839.45,13759.29,40,-6840.21,13758.8,39,0.1678,0.232,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.6798,0.74,-6839.39,13765.23,43,-6839.47,13763.37,42,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.2235,0.81,-6839.44,13763.32,42,-6840.18,13762.78,41,0.1677,0.2321,Convergence/flat likelihood
3,SRV+Double,0.2238,0.81,-6839.44,13763.32,42,-6840.18,13762.78,41,0.1678,0.2318,Convergence/flat likelihood
4,SRV+Double,0.921,0.75,-6839.39,13765.23,43,-6839.39,13763.21,42,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.2248,0.81,-6839.45,13763.33,42,-6840.19,13762.79,41,0.1677,0.2321,Convergence/flat likelihood
6,SRV+Double,0.9116,0.75,-6839.38,13765.22,43,-6839.39,13763.22,42,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.2208,0.8,-6839.46,13763.35,42,-6840.21,13762.83,41,0.1677,0.2321,Convergence/flat likelihood
8,SRV+Double,0.2248,0.81,-6839.45,13763.33,42,-6840.18,13762.78,41,0.1677,0.2321,Convergence/flat likelihood
9,SRV+Double,0.8135,0.76,-6839.39,13765.23,43,-6839.41,13763.26,42,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.2251,0.81,-6839.45,13763.33,42,-6840.19,13762.79,41,0.1677,0.2321,Convergence/flat likelihood
1,SRV+Double+Triple,0.2234,0.81,-6839.44,13767.36,44,-6840.18,13766.82,43,0.1677,0.2321,Convergence/flat likelihood
2,SRV+Double+Triple,0.2238,0.81,-6839.44,13767.36,44,-6840.18,13766.82,43,0.1679,0.2319,Convergence/flat likelihood
3,SRV+Double+Triple,0.2238,0.81,-6839.44,13767.36,44,-6840.18,13766.82,43,0.1677,0.2321,Convergence/flat likelihood
4,SRV+Double+Triple,0.2235,0.82,-6839.44,13767.36,44,-6840.18,13766.82,43,0.1677,0.2321,Convergence/flat likelihood
5,SRV+Double+Triple,0.2234,0.8,-6839.45,13767.38,44,-6840.19,13766.84,43,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2257,0.8,-6839.46,13767.39,44,-6840.19,13766.84,43,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.2061,0.78,-6839.39,13769.27,45,-6840.19,13768.85,44,0.1677,0.2321,Convergence/flat likelihood
8,SRV+Double+Triple,0.2364,0.8,-6839.49,13767.45,44,-6840.19,13766.83,43,0.1677,0.2321,Convergence/flat likelihood
9,SRV+Double+Triple,0.2268,0.8,-6839.48,13767.44,44,-6840.21,13766.88,43,0.1677,0.2321,Convergence/flat likelihood
10,SRV+Double+Triple,0.8649,0.75,-6839.39,13769.27,45,-6839.4,13767.28,44,0.1677,0.2321,Convergence/flat likelihood; Collapsed rate class
