run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,6.27,,0.46
SRV,1,alternative,reference,omega,Negative selection,0.209,,98.088
SRV,1,alternative,reference,omega,Negative selection,0.216,,1.451
SRV,1,alternative,test,omega,Diversifying selection,6.204,,0.46
SRV,1,alternative,test,omega,Diversifying selection,6.27,,0.46
SRV,1,alternative,test,omega,Negative selection,0.211,,98.088
SRV,1,alternative,test,omega,Negative selection,0.218,,1.451
SRV,1,alternative,test,omega,Negative selection,0.209,,98.088
SRV,1,alternative,test,omega,Negative selection,0.216,,1.451
SRV,1,null,reference,omega,Diversifying selection,6.27,,0.461
SRV,1,null,reference,omega,Negative selection,0.209,,98.087
SRV,1,null,reference,omega,Negative selection,0.217,,1.452
SRV,1,null,test,omega,Diversifying selection,6.27,,0.461
SRV,1,null,test,omega,Negative selection,0.209,,98.087
SRV,1,null,test,omega,Negative selection,0.217,,1.452
SRV,2,alternative,reference,omega,Diversifying selection,35200.16,,0.022
SRV,2,alternative,reference,omega,Negative selection,0.131,,72.463
SRV,2,alternative,reference,omega,Negative selection,0.474,,27.516
SRV,2,alternative,test,omega,Diversifying selection,2650.005,,0.022
SRV,2,alternative,test,omega,Diversifying selection,35200.16,,0.022
SRV,2,alternative,test,omega,Negative selection,0.217,,72.463
SRV,2,alternative,test,omega,Negative selection,0.222,,27.516
SRV,2,alternative,test,omega,Negative selection,0.131,,72.463
SRV,2,alternative,test,omega,Negative selection,0.474,,27.516
SRV,2,null,reference,omega,Diversifying selection,6.548,,0.436
SRV,2,null,reference,omega,Negative selection,0.199,,65.191
SRV,2,null,reference,omega,Negative selection,0.23,,34.373
SRV,2,null,test,omega,Diversifying selection,6.548,,0.436
SRV,2,null,test,omega,Negative selection,0.199,,65.191
SRV,2,null,test,omega,Negative selection,0.23,,34.373
SRV,3,alternative,reference,omega,Diversifying selection,95.267,,0.038
SRV,3,alternative,reference,omega,Negative selection,0.079,,45.49
SRV,3,alternative,reference,omega,Negative selection,0.346,,54.472
SRV,3,alternative,test,omega,Diversifying selection,153.686,,0.038
SRV,3,alternative,test,omega,Diversifying selection,95.267,,0.038
SRV,3,alternative,test,omega,Negative selection,0.061,,45.49
SRV,3,alternative,test,omega,Negative selection,0.309,,54.472
SRV,3,alternative,test,omega,Negative selection,0.079,,45.49
SRV,3,alternative,test,omega,Negative selection,0.346,,54.472
SRV,3,null,reference,omega,Diversifying selection,95.751,,0.036
SRV,3,null,reference,omega,Negative selection,0.079,,45.574
SRV,3,null,reference,omega,Negative selection,0.345,,54.39
SRV,3,null,test,omega,Diversifying selection,95.751,,0.036
SRV,3,null,test,omega,Negative selection,0.079,,45.574
SRV,3,null,test,omega,Negative selection,0.345,,54.39
SRV,4,alternative,reference,omega,Diversifying selection,6.183,,0.469
SRV,4,alternative,reference,omega,Negative selection,0.208,,97.703
SRV,4,alternative,reference,omega,Negative selection,0.232,,1.828
SRV,4,alternative,test,omega,Diversifying selection,6.115,,0.469
SRV,4,alternative,test,omega,Diversifying selection,6.183,,0.469
SRV,4,alternative,test,omega,Negative selection,0.21,,97.703
SRV,4,alternative,test,omega,Negative selection,0.234,,1.828
SRV,4,alternative,test,omega,Negative selection,0.208,,97.703
SRV,4,alternative,test,omega,Negative selection,0.232,,1.828
SRV,4,null,reference,omega,Diversifying selection,6.209,,0.468
SRV,4,null,reference,omega,Negative selection,0.208,,97.704
SRV,4,null,reference,omega,Negative selection,0.231,,1.828
SRV,4,null,test,omega,Diversifying selection,6.209,,0.468
SRV,4,null,test,omega,Negative selection,0.208,,97.704
SRV,4,null,test,omega,Negative selection,0.231,,1.828
SRV,5,alternative,reference,omega,Diversifying selection,6.16,,0.471
SRV,5,alternative,reference,omega,Negative selection,0.208,,96.29
SRV,5,alternative,reference,omega,Negative selection,0.231,,3.239
SRV,5,alternative,test,omega,Diversifying selection,6.082,,0.471
SRV,5,alternative,test,omega,Diversifying selection,6.16,,0.471
SRV,5,alternative,test,omega,Negative selection,0.21,,96.29
SRV,5,alternative,test,omega,Negative selection,0.233,,3.239
SRV,5,alternative,test,omega,Negative selection,0.208,,96.29
SRV,5,alternative,test,omega,Negative selection,0.231,,3.239
SRV,5,null,reference,omega,Diversifying selection,6.189,,0.467
SRV,5,null,reference,omega,Negative selection,0.208,,96.29
SRV,5,null,reference,omega,Negative selection,0.23,,3.243
SRV,5,null,test,omega,Diversifying selection,6.189,,0.467
SRV,5,null,test,omega,Negative selection,0.208,,96.29
SRV,5,null,test,omega,Negative selection,0.23,,3.243
SRV,6,alternative,reference,omega,Diversifying selection,94.35,,0.038
SRV,6,alternative,reference,omega,Negative selection,0.023,,28.615
SRV,6,alternative,reference,omega,Negative selection,0.305,,71.347
SRV,6,alternative,test,omega,Diversifying selection,156.518,,0.038
SRV,6,alternative,test,omega,Diversifying selection,94.35,,0.038
SRV,6,alternative,test,omega,Negative selection,0.015,,28.615
SRV,6,alternative,test,omega,Negative selection,0.267,,71.347
SRV,6,alternative,test,omega,Negative selection,0.023,,28.615
SRV,6,alternative,test,omega,Negative selection,0.305,,71.347
SRV,6,null,reference,omega,Diversifying selection,89.827,,0.037
SRV,6,null,reference,omega,Negative selection,0.025,,28.877
SRV,6,null,reference,omega,Negative selection,0.304,,71.086
SRV,6,null,test,omega,Diversifying selection,89.827,,0.037
SRV,6,null,test,omega,Negative selection,0.025,,28.877
SRV,6,null,test,omega,Negative selection,0.304,,71.086
SRV,7,alternative,reference,omega,Diversifying selection,6.595,,0.427
SRV,7,alternative,reference,omega,Negative selection,0.21,,99.573
SRV,7,alternative,reference,omega,Negative selection,0.244,,0.0
SRV,7,alternative,test,omega,Diversifying selection,6.499,,0.427
SRV,7,alternative,test,omega,Diversifying selection,6.595,,0.427
SRV,7,alternative,test,omega,Negative selection,0.212,,99.573
SRV,7,alternative,test,omega,Negative selection,0.247,,0.0
SRV,7,alternative,test,omega,Negative selection,0.21,,99.573
SRV,7,alternative,test,omega,Negative selection,0.244,,0.0
SRV,7,null,reference,omega,Diversifying selection,6.606,,0.431
SRV,7,null,reference,omega,Negative selection,0.195,,0.0
SRV,7,null,reference,omega,Negative selection,0.21,,99.569
SRV,7,null,test,omega,Diversifying selection,6.606,,0.431
SRV,7,null,test,omega,Negative selection,0.195,,0.0
SRV,7,null,test,omega,Negative selection,0.21,,99.569
SRV,8,alternative,reference,omega,Diversifying selection,11.073,,0.198
SRV,8,alternative,reference,omega,Negative selection,0.0,,5.276
SRV,8,alternative,reference,omega,Negative selection,0.228,,94.526
SRV,8,alternative,test,omega,Diversifying selection,10.958,,0.198
