model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0839,SRV+Double,1
alternative,reference,2H,0.0485,SRV+Double,1
alternative,test,2H,0.09,SRV+Double,1
null,reference,2H,0.0484,SRV+Double,1
null,reference,2H,0.0461,SRV+Double,1
null,test,2H,0.0909,SRV+Double,1
null,test,2H,0.0918,SRV+Double,1
alternative,reference,2H,0.0905,SRV+Double,2
alternative,reference,2H,0.0477,SRV+Double,2
alternative,test,2H,0.0906,SRV+Double,2
null,reference,2H,0.0478,SRV+Double,2
null,reference,2H,0.0479,SRV+Double,2
null,reference,2H,0.048,SRV+Double,2
null,reference,2H,0.0463,SRV+Double,2
null,test,2H,0.0906,SRV+Double,2
null,test,2H,0.0905,SRV+Double,2
null,test,2H,0.0919,SRV+Double,2
alternative,reference,2H,0.0889,SRV+Double,3
alternative,reference,2H,0.0478,SRV+Double,3
alternative,test,2H,0.0907,SRV+Double,3
null,reference,2H,0.0477,SRV+Double,3
null,reference,2H,0.048,SRV+Double,3
null,reference,2H,0.0481,SRV+Double,3
null,reference,2H,0.0461,SRV+Double,3
null,test,2H,0.0907,SRV+Double,3
null,test,2H,0.0905,SRV+Double,3
null,test,2H,0.0904,SRV+Double,3
null,test,2H,0.0899,SRV+Double,3
null,test,2H,0.0903,SRV+Double,3
null,test,2H,0.0919,SRV+Double,3
alternative,reference,2H,0.0905,SRV+Double,4
alternative,reference,2H,0.048,SRV+Double,4
alternative,test,2H,0.0901,SRV+Double,4
null,reference,2H,0.048,SRV+Double,4
null,reference,2H,0.0464,SRV+Double,4
null,test,2H,0.0904,SRV+Double,4
null,test,2H,0.0913,SRV+Double,4
alternative,reference,2H,0.0869,SRV+Double,5
alternative,reference,2H,0.0479,SRV+Double,5
alternative,test,2H,0.0906,SRV+Double,5
null,reference,2H,0.0479,SRV+Double,5
null,reference,2H,0.048,SRV+Double,5
null,reference,2H,0.0481,SRV+Double,5
null,reference,2H,0.046,SRV+Double,5
null,test,2H,0.0906,SRV+Double,5
null,test,2H,0.0903,SRV+Double,5
null,test,2H,0.0905,SRV+Double,5
null,test,2H,0.092,SRV+Double,5
alternative,reference,2H,0.0874,SRV+Double,6
alternative,reference,2H,0.0476,SRV+Double,6
alternative,test,2H,0.0906,SRV+Double,6
null,reference,2H,0.0477,SRV+Double,6
null,reference,2H,0.0478,SRV+Double,6
null,reference,2H,0.0479,SRV+Double,6
null,reference,2H,0.048,SRV+Double,6
null,reference,2H,0.0481,SRV+Double,6
null,reference,2H,0.0464,SRV+Double,6
null,test,2H,0.0906,SRV+Double,6
null,test,2H,0.0903,SRV+Double,6
null,test,2H,0.0905,SRV+Double,6
null,test,2H,0.0919,SRV+Double,6
alternative,reference,2H,0.0904,SRV+Double,7
alternative,reference,2H,0.0478,SRV+Double,7
alternative,test,2H,0.0906,SRV+Double,7
null,reference,2H,0.0477,SRV+Double,7
null,reference,2H,0.0479,SRV+Double,7
null,reference,2H,0.048,SRV+Double,7
null,reference,2H,0.0481,SRV+Double,7
null,reference,2H,0.046,SRV+Double,7
null,test,2H,0.0906,SRV+Double,7
null,test,2H,0.0904,SRV+Double,7
null,test,2H,0.0898,SRV+Double,7
null,test,2H,0.0902,SRV+Double,7
null,test,2H,0.0918,SRV+Double,7
alternative,reference,2H,0.0873,SRV+Double,8
alternative,reference,2H,0.0483,SRV+Double,8
alternative,test,2H,0.0905,SRV+Double,8
null,reference,2H,0.0483,SRV+Double,8
null,reference,2H,0.0484,SRV+Double,8
null,reference,2H,0.0464,SRV+Double,8
null,test,2H,0.0905,SRV+Double,8
null,test,2H,0.0902,SRV+Double,8
null,test,2H,0.0903,SRV+Double,8
null,test,2H,0.0898,SRV+Double,8
null,test,2H,0.0901,SRV+Double,8
null,test,2H,0.0917,SRV+Double,8
alternative,reference,2H,0.0859,SRV+Double,9
alternative,reference,2H,0.048,SRV+Double,9
alternative,test,2H,0.0904,SRV+Double,9
null,reference,2H,0.048,SRV+Double,9
null,reference,2H,0.0481,SRV+Double,9
null,reference,2H,0.0464,SRV+Double,9
null,test,2H,0.0904,SRV+Double,9
null,test,2H,0.0898,SRV+Double,9
null,test,2H,0.0903,SRV+Double,9
null,test,2H,0.0919,SRV+Double,9
alternative,reference,2H,0.0887,SRV+Double,10
alternative,reference,2H,0.0477,SRV+Double,10
alternative,test,2H,0.0906,SRV+Double,10
null,reference,2H,0.0478,SRV+Double,10
null,reference,2H,0.0479,SRV+Double,10
null,reference,2H,0.048,SRV+Double,10
null,reference,2H,0.0462,SRV+Double,10
null,test,2H,0.0906,SRV+Double,10
null,test,2H,0.0905,SRV+Double,10
null,test,2H,0.0913,SRV+Double,10
alternative,reference,2H,0.0974,SRV+Double+Triple,1
alternative,reference,2H,0.0515,SRV+Double+Triple,1
alternative,reference,3H,0.1516,SRV+Double+Triple,1
