replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.9831,0.99,-12275.28,24642.96,46,-12275.28,24640.94,45,0.2376,0.2225,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.7029,0.75,-12275.92,24646.24,47,-12275.29,24642.96,46,0.2375,0.2232,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.7328,1.1,-12275.83,24644.04,46,-12275.88,24642.14,45,0.2376,0.2225,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.9918,0.99,-12275.29,24642.96,46,-12275.29,24640.94,45,0.2376,0.2225,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.9908,0.99,-12275.29,24642.96,46,-12275.29,24640.94,45,0.2376,0.2225,Convergence/flat likelihood
6,SRV,0.7231,1.11,-12275.85,24644.09,46,-12275.91,24642.2,45,0.2376,0.2225,Convergence/flat likelihood; Collapsed rate class
7,SRV,1.0,0.99,-12275.29,24642.96,46,-12275.29,24640.95,45,0.2376,0.2225,Convergence/flat likelihood
8,SRV,1.0,1.0,-12275.52,24643.44,46,-12275.29,24640.95,45,0.2378,0.223,Convergence/flat likelihood
9,SRV,1.0,0.99,-12275.29,24642.96,46,-12275.29,24640.94,45,0.2376,0.2225,Convergence/flat likelihood
10,SRV,0.9844,0.99,-12275.29,24642.96,46,-12275.29,24640.95,45,0.2376,0.2225,Convergence/flat likelihood
1,SRV+Double,0.9901,0.99,-12274.38,24645.18,48,-12274.38,24643.16,47,0.2376,0.2225,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,1.0,1.0,-12274.38,24645.19,48,-12274.38,24643.17,47,0.2375,0.2232,Convergence/flat likelihood
3,SRV+Double,1.0,1.0,-12274.39,24645.2,48,-12274.39,24643.18,47,0.2378,0.223,Convergence/flat likelihood
4,SRV+Double,0.998,0.99,-12274.38,24645.18,48,-12274.38,24643.16,47,0.2376,0.2225,Convergence/flat likelihood
5,SRV+Double,1.0,1.0,-12274.38,24645.19,48,-12274.38,24643.17,47,0.2377,0.223,Convergence/flat likelihood
6,SRV+Double,1.0,1.0,-12274.39,24645.2,48,-12274.39,24643.18,47,0.2375,0.2225,Convergence/flat likelihood
7,SRV+Double,1.0,1.0,-12274.38,24645.19,48,-12274.38,24643.17,47,0.2377,0.223,Convergence/flat likelihood
8,SRV+Double,1.0,1.0,-12274.38,24645.19,48,-12274.38,24643.17,47,0.2377,0.223,Convergence/flat likelihood
9,SRV+Double,1.0,1.0,-12274.38,24645.19,48,-12274.38,24643.17,47,0.2376,0.2224,Convergence/flat likelihood
10,SRV+Double,1.0,1.0,-12274.38,24645.19,48,-12274.38,24643.17,47,0.2376,0.2225,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.9863,0.99,-12273.31,24647.07,50,-12273.31,24645.05,49,0.2376,0.2225,Convergence/flat likelihood
2,SRV+Double+Triple,1.0,0.99,-12273.31,24647.08,50,-12273.31,24645.06,49,0.2378,0.2232,Convergence/flat likelihood
3,SRV+Double+Triple,0.9942,1.0,-12273.31,24647.07,50,-12273.31,24645.06,49,0.2377,0.223,Convergence/flat likelihood
4,SRV+Double+Triple,0.9889,0.99,-12273.31,24647.07,50,-12273.31,24645.06,49,0.2378,0.223,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,1.0,0.99,-12273.31,24647.09,50,-12273.31,24645.06,49,0.2376,0.2225,Convergence/flat likelihood
6,SRV+Double+Triple,1.0,1.0,-12273.31,24647.08,50,-12273.31,24645.06,49,0.2378,0.223,Convergence/flat likelihood
7,SRV+Double+Triple,1.0,1.0,-12273.31,24647.09,50,-12273.31,24645.06,49,0.2376,0.2225,Convergence/flat likelihood
8,SRV+Double+Triple,1.0,1.0,-12273.31,24647.08,50,-12273.31,24645.06,49,0.2376,0.2225,Convergence/flat likelihood
9,SRV+Double+Triple,1.0,1.0,-12273.31,24647.08,50,-12273.31,24645.06,49,0.2376,0.2225,Convergence/flat likelihood
10,SRV+Double+Triple,1.0,1.0,-12273.32,24647.09,50,-12273.31,24645.06,49,0.2376,0.2225,Convergence/flat likelihood
