replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.612,0.84,-12275.77,24643.92,46,-12275.89,24642.16,45,0.2371,0.2638,Convergence/flat likelihood
2,SRV,0.6585,0.87,-12275.19,24642.77,46,-12275.29,24640.94,45,0.237,0.2629,Convergence/flat likelihood
3,SRV,0.6483,0.86,-12275.18,24642.75,46,-12275.28,24640.94,45,0.2369,0.2638,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.6482,0.87,-12275.18,24642.75,46,-12275.28,24640.94,45,0.2371,0.2639,Convergence/flat likelihood
5,SRV,0.6477,0.87,-12275.18,24642.75,46,-12275.28,24640.94,45,0.237,0.2631,Convergence/flat likelihood
6,SRV,0.6487,0.86,-12275.18,24642.75,46,-12275.28,24640.94,45,0.237,0.2635,Convergence/flat likelihood; Collapsed rate class
7,SRV,1.0,0.85,-12275.71,24643.81,46,-12275.29,24640.95,45,0.2372,0.2638,Convergence/flat likelihood
8,SRV,0.6473,0.87,-12275.18,24642.75,46,-12275.29,24640.94,45,0.2368,0.2628,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.6486,0.87,-12275.18,24642.75,46,-12275.28,24640.94,45,0.237,0.2633,Convergence/flat likelihood
10,SRV,0.6479,0.87,-12275.18,24642.75,46,-12275.29,24640.94,45,0.237,0.2639,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.6451,0.87,-12274.07,24644.56,48,-12274.18,24642.76,47,0.237,0.2636,Convergence/flat likelihood
2,SRV+Double,0.645,0.87,-12274.07,24644.57,48,-12274.18,24642.76,47,0.237,0.2631,Convergence/flat likelihood
3,SRV+Double,0.6459,0.87,-12274.07,24644.57,48,-12274.18,24642.76,47,0.2371,0.2639,Convergence/flat likelihood
4,SRV+Double,0.6435,0.87,-12274.07,24644.57,48,-12274.18,24642.76,47,0.2369,0.2629,Convergence/flat likelihood
5,SRV+Double,0.6444,0.87,-12274.07,24644.56,48,-12274.17,24642.76,47,0.237,0.2633,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.6525,0.87,-12274.08,24644.57,48,-12274.18,24642.76,47,0.237,0.2639,Convergence/flat likelihood
7,SRV+Double,0.6579,0.87,-12274.08,24644.58,48,-12274.18,24642.76,47,0.237,0.2629,Convergence/flat likelihood
8,SRV+Double,1.0,0.87,-12275.18,24646.79,48,-12274.18,24642.76,47,0.2369,0.2627,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.657,0.87,-12274.08,24644.58,48,-12274.18,24642.76,47,0.2371,0.2639,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.6454,0.87,-12274.07,24644.57,48,-12274.18,24642.76,47,0.2371,0.2639,Convergence/flat likelihood
1,SRV+Double+Triple,0.65,0.87,-12273.02,24646.49,50,-12273.12,24644.68,49,0.2371,0.2638,Convergence/flat likelihood
2,SRV+Double+Triple,0.6488,0.87,-12273.02,24646.49,50,-12273.12,24644.68,49,0.237,0.2639,Convergence/flat likelihood
3,SRV+Double+Triple,0.6481,0.87,-12273.01,24646.49,50,-12273.12,24644.68,49,0.2371,0.2639,Convergence/flat likelihood
4,SRV+Double+Triple,0.6477,0.87,-12273.01,24646.49,50,-12273.12,24644.68,49,0.2371,0.2639,Convergence/flat likelihood
5,SRV+Double+Triple,0.6476,0.87,-12273.01,24646.49,50,-12273.12,24644.68,49,0.237,0.2639,Convergence/flat likelihood
6,SRV+Double+Triple,0.6481,0.87,-12273.02,24646.49,50,-12273.12,24644.68,49,0.2372,0.2638,Convergence/flat likelihood
7,SRV+Double+Triple,0.6579,0.87,-12273.02,24646.5,50,-12273.12,24644.68,49,0.237,0.2628,Convergence/flat likelihood
8,SRV+Double+Triple,0.6471,0.87,-12273.02,24646.49,50,-12273.12,24644.68,49,0.237,0.2636,Convergence/flat likelihood
9,SRV+Double+Triple,0.6492,0.87,-12273.02,24646.49,50,-12273.12,24644.68,49,0.2368,0.2634,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.6511,0.87,-12273.02,24646.5,50,-12273.12,24644.68,49,0.237,0.2629,Convergence/flat likelihood
