model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.163,10.183,SRV,1
null,2,0.876,80.688,SRV,1
null,3,3.031,9.129,SRV,1
null,1,0.115,8.224,SRV,2
null,2,0.862,82.675,SRV,2
null,3,3.053,9.1,SRV,2
null,1,0.12,8.422,SRV,3
null,2,0.863,82.518,SRV,3
null,3,3.061,9.06,SRV,3
null,1,0.118,8.338,SRV,4
null,2,0.863,82.576,SRV,4
null,3,3.057,9.086,SRV,4
null,1,0.118,8.341,SRV,5
null,2,0.863,82.579,SRV,5
null,3,3.058,9.079,SRV,5
null,1,0.118,8.348,SRV,6
null,2,0.863,82.578,SRV,6
null,3,3.059,9.074,SRV,6
null,1,0.124,8.499,SRV,7
null,2,0.864,82.426,SRV,7
null,3,3.056,9.076,SRV,7
null,1,0.122,8.484,SRV,8
null,2,0.864,82.455,SRV,8
null,3,3.06,9.062,SRV,8
null,1,0.118,8.325,SRV,9
null,2,0.863,82.589,SRV,9
null,3,3.056,9.085,SRV,9
null,1,0.108,7.96,SRV,10
null,2,0.86,82.902,SRV,10
null,3,3.05,9.139,SRV,10
