model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0904,SRV+Double,1
alternative,reference,2H,0.055,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0558,SRV+Double,1
null,reference,2H,0.0531,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0898,SRV+Double,2
alternative,reference,2H,0.055,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.056,SRV+Double,2
null,reference,2H,0.0531,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0868,SRV+Double,3
alternative,reference,2H,0.0548,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0563,SRV+Double,3
null,reference,2H,0.0531,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0856,SRV+Double,4
alternative,reference,2H,0.0545,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0554,SRV+Double,4
null,reference,2H,0.053,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0907,SRV+Double,5
alternative,reference,2H,0.0552,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0555,SRV+Double,5
null,reference,2H,0.0531,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0906,SRV+Double,6
alternative,reference,2H,0.0549,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0559,SRV+Double,6
null,reference,2H,0.0533,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0904,SRV+Double,7
alternative,reference,2H,0.0564,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0574,SRV+Double,7
null,reference,2H,0.0532,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0904,SRV+Double,8
alternative,reference,2H,0.0548,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0562,SRV+Double,8
null,reference,2H,0.0531,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0869,SRV+Double,9
alternative,reference,2H,0.0545,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0554,SRV+Double,9
null,reference,2H,0.0531,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0872,SRV+Double,10
alternative,reference,2H,0.0546,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0557,SRV+Double,10
null,reference,2H,0.0532,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1029,SRV+Double+Triple,1
alternative,reference,2H,0.055,SRV+Double+Triple,1
alternative,reference,3H,0.1725,SRV+Double+Triple,1
alternative,reference,3H,0.1061,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0557,SRV+Double+Triple,1
null,reference,2H,0.0554,SRV+Double+Triple,1
null,reference,3H,0.107,SRV+Double+Triple,1
null,reference,3H,0.1064,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1093,SRV+Double+Triple,2
alternative,reference,2H,0.0552,SRV+Double+Triple,2
alternative,reference,3H,0.1833,SRV+Double+Triple,2
alternative,reference,3H,0.1063,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0558,SRV+Double+Triple,2
null,reference,2H,0.0552,SRV+Double+Triple,2
null,reference,3H,0.1068,SRV+Double+Triple,2
null,reference,3H,0.1066,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1048,SRV+Double+Triple,3
alternative,reference,2H,0.0552,SRV+Double+Triple,3
alternative,reference,3H,0.1658,SRV+Double+Triple,3
alternative,reference,3H,0.1068,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0557,SRV+Double+Triple,3
null,reference,2H,0.0551,SRV+Double+Triple,3
null,reference,3H,0.1068,SRV+Double+Triple,3
null,reference,3H,0.1064,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.1035,SRV+Double+Triple,4
alternative,reference,2H,0.0551,SRV+Double+Triple,4
alternative,reference,3H,0.1737,SRV+Double+Triple,4
alternative,reference,3H,0.1064,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0557,SRV+Double+Triple,4
null,reference,2H,0.0553,SRV+Double+Triple,4
null,reference,3H,0.1071,SRV+Double+Triple,4
null,reference,3H,0.1066,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1045,SRV+Double+Triple,5
alternative,reference,2H,0.0551,SRV+Double+Triple,5
alternative,reference,3H,0.1775,SRV+Double+Triple,5
alternative,reference,3H,0.1066,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0557,SRV+Double+Triple,5
null,reference,2H,0.0552,SRV+Double+Triple,5
null,reference,3H,0.107,SRV+Double+Triple,5
null,reference,3H,0.1066,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.1043,SRV+Double+Triple,6
alternative,reference,2H,0.0551,SRV+Double+Triple,6
alternative,reference,3H,0.1755,SRV+Double+Triple,6
alternative,reference,3H,0.1062,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0557,SRV+Double+Triple,6
null,reference,2H,0.0552,SRV+Double+Triple,6
null,reference,3H,0.1068,SRV+Double+Triple,6
null,reference,3H,0.1065,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.1071,SRV+Double+Triple,7
alternative,reference,2H,0.0552,SRV+Double+Triple,7
alternative,reference,3H,0.1858,SRV+Double+Triple,7
alternative,reference,3H,0.1062,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0557,SRV+Double+Triple,7
null,reference,2H,0.0552,SRV+Double+Triple,7
null,reference,3H,0.1071,SRV+Double+Triple,7
null,reference,3H,0.1067,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.108,SRV+Double+Triple,8
alternative,reference,2H,0.0552,SRV+Double+Triple,8
alternative,reference,3H,0.1807,SRV+Double+Triple,8
alternative,reference,3H,0.1064,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0558,SRV+Double+Triple,8
null,reference,2H,0.0553,SRV+Double+Triple,8
null,reference,3H,0.1068,SRV+Double+Triple,8
null,reference,3H,0.1066,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.1083,SRV+Double+Triple,9
alternative,reference,2H,0.0553,SRV+Double+Triple,9
alternative,reference,3H,0.1818,SRV+Double+Triple,9
alternative,reference,3H,0.1063,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0557,SRV+Double+Triple,9
null,reference,2H,0.0552,SRV+Double+Triple,9
null,reference,3H,0.1068,SRV+Double+Triple,9
null,reference,3H,0.1065,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.1017,SRV+Double+Triple,10
alternative,reference,2H,0.0553,SRV+Double+Triple,10
alternative,reference,3H,0.1676,SRV+Double+Triple,10
alternative,reference,3H,0.1063,SRV+Double+Triple,10
alternative,test,2H,0.0,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.0558,SRV+Double+Triple,10
null,reference,2H,0.0554,SRV+Double+Triple,10
null,reference,3H,0.1068,SRV+Double+Triple,10
null,reference,3H,0.1064,SRV+Double+Triple,10
null,test,2H,0.0,SRV+Double+Triple,10
null,test,3H,0.0,SRV+Double+Triple,10
