model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.119,8.409,SRV,1
null,2,0.864,82.536,SRV,1
null,3,3.061,9.054,SRV,1
null,1,0.119,8.375,SRV,2
null,2,0.863,82.547,SRV,2
null,3,3.058,9.078,SRV,2
null,1,0.117,8.314,SRV,3
null,2,0.863,82.616,SRV,3
null,3,3.057,9.07,SRV,3
null,1,0.122,8.496,SRV,4
null,2,0.864,82.481,SRV,4
null,3,3.066,9.022,SRV,4
null,1,0.12,8.434,SRV,5
null,2,0.864,82.498,SRV,5
null,3,3.06,9.068,SRV,5
null,1,0.11,8.013,SRV,6
null,2,0.86,82.839,SRV,6
null,3,3.048,9.147,SRV,6
null,1,0.118,8.351,SRV,7
null,2,0.863,82.575,SRV,7
null,3,3.056,9.074,SRV,7
null,1,0.119,8.408,SRV,8
null,2,0.863,82.517,SRV,8
null,3,3.06,9.075,SRV,8
null,1,0.119,8.382,SRV,9
null,2,0.863,82.557,SRV,9
null,3,3.06,9.061,SRV,9
null,1,0.12,8.427,SRV,10
null,2,0.864,82.517,SRV,10
null,3,3.061,9.055,SRV,10
