run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,6.47,,0.475
SRV,1,alternative,reference,omega,Negative selection,0.204,,97.342
SRV,1,alternative,reference,omega,Negative selection,0.233,,2.183
SRV,1,alternative,test,omega,Diversifying selection,4.367,,0.475
SRV,1,alternative,test,omega,Diversifying selection,6.47,,0.475
SRV,1,alternative,test,omega,Negative selection,0.285,,97.342
SRV,1,alternative,test,omega,Negative selection,0.316,,2.183
SRV,1,alternative,test,omega,Negative selection,0.204,,97.342
SRV,1,alternative,test,omega,Negative selection,0.233,,2.183
SRV,1,null,reference,omega,Diversifying selection,6.431,,0.447
SRV,1,null,reference,omega,Negative selection,0.209,,97.496
SRV,1,null,reference,omega,Negative selection,0.22,,2.057
SRV,1,null,test,omega,Diversifying selection,6.431,,0.447
SRV,1,null,test,omega,Negative selection,0.209,,97.496
SRV,1,null,test,omega,Negative selection,0.22,,2.057
SRV,2,alternative,reference,omega,Diversifying selection,6.45,,0.476
SRV,2,alternative,reference,omega,Negative selection,0.204,,97.615
SRV,2,alternative,reference,omega,Negative selection,0.221,,1.909
SRV,2,alternative,test,omega,Diversifying selection,4.37,,0.476
SRV,2,alternative,test,omega,Diversifying selection,6.45,,0.476
SRV,2,alternative,test,omega,Negative selection,0.285,,97.615
SRV,2,alternative,test,omega,Negative selection,0.303,,1.909
SRV,2,alternative,test,omega,Negative selection,0.204,,97.615
SRV,2,alternative,test,omega,Negative selection,0.221,,1.909
SRV,2,null,reference,omega,Diversifying selection,6.379,,0.451
SRV,2,null,reference,omega,Negative selection,0.207,,1.802
SRV,2,null,reference,omega,Negative selection,0.209,,97.747
SRV,2,null,test,omega,Diversifying selection,6.379,,0.451
SRV,2,null,test,omega,Negative selection,0.207,,1.802
SRV,2,null,test,omega,Negative selection,0.209,,97.747
SRV,3,alternative,reference,omega,Diversifying selection,6.476,,0.475
SRV,3,alternative,reference,omega,Negative selection,0.204,,97.699
SRV,3,alternative,reference,omega,Negative selection,0.231,,1.826
SRV,3,alternative,test,omega,Diversifying selection,4.363,,0.475
SRV,3,alternative,test,omega,Diversifying selection,6.476,,0.475
SRV,3,alternative,test,omega,Negative selection,0.286,,97.699
SRV,3,alternative,test,omega,Negative selection,0.315,,1.826
SRV,3,alternative,test,omega,Negative selection,0.204,,97.699
SRV,3,alternative,test,omega,Negative selection,0.231,,1.826
SRV,3,null,reference,omega,Diversifying selection,6.441,,0.448
SRV,3,null,reference,omega,Negative selection,0.209,,97.83
SRV,3,null,reference,omega,Negative selection,0.214,,1.723
SRV,3,null,test,omega,Diversifying selection,6.441,,0.448
SRV,3,null,test,omega,Negative selection,0.209,,97.83
SRV,3,null,test,omega,Negative selection,0.214,,1.723
SRV,4,alternative,reference,omega,Diversifying selection,6.49,,0.472
SRV,4,alternative,reference,omega,Negative selection,0.205,,98.372
SRV,4,alternative,reference,omega,Negative selection,0.214,,1.156
SRV,4,alternative,test,omega,Diversifying selection,4.393,,0.472
SRV,4,alternative,test,omega,Diversifying selection,6.49,,0.472
SRV,4,alternative,test,omega,Negative selection,0.285,,98.372
SRV,4,alternative,test,omega,Negative selection,0.295,,1.156
SRV,4,alternative,test,omega,Negative selection,0.205,,98.372
SRV,4,alternative,test,omega,Negative selection,0.214,,1.156
SRV,4,null,reference,omega,Diversifying selection,6.373,,0.452
SRV,4,null,reference,omega,Negative selection,0.209,,98.212
SRV,4,null,reference,omega,Negative selection,0.219,,1.336
SRV,4,null,test,omega,Diversifying selection,6.373,,0.452
SRV,4,null,test,omega,Negative selection,0.209,,98.212
SRV,4,null,test,omega,Negative selection,0.219,,1.336
SRV,5,alternative,reference,omega,Diversifying selection,6.413,,0.48
SRV,5,alternative,reference,omega,Negative selection,0.199,,82.378
SRV,5,alternative,reference,omega,Negative selection,0.231,,17.142
SRV,5,alternative,test,omega,Diversifying selection,4.333,,0.48
SRV,5,alternative,test,omega,Diversifying selection,6.413,,0.48
SRV,5,alternative,test,omega,Negative selection,0.28,,82.378
SRV,5,alternative,test,omega,Negative selection,0.315,,17.142
SRV,5,alternative,test,omega,Negative selection,0.199,,82.378
SRV,5,alternative,test,omega,Negative selection,0.231,,17.142
SRV,5,null,reference,omega,Diversifying selection,6.379,,0.451
SRV,5,null,reference,omega,Negative selection,0.204,,81.746
SRV,5,null,reference,omega,Negative selection,0.23,,17.802
SRV,5,null,test,omega,Diversifying selection,6.379,,0.451
SRV,5,null,test,omega,Negative selection,0.204,,81.746
SRV,5,null,test,omega,Negative selection,0.23,,17.802
SRV,6,alternative,reference,omega,Diversifying selection,6.726,,0.454
SRV,6,alternative,reference,omega,Negative selection,0.2,,71.482
SRV,6,alternative,reference,omega,Negative selection,0.219,,28.064
SRV,6,alternative,test,omega,Diversifying selection,4.508,,0.454
SRV,6,alternative,test,omega,Diversifying selection,6.726,,0.454
SRV,6,alternative,test,omega,Negative selection,0.281,,71.482
