model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0867,SRV+Double,1
alternative,reference,2H,0.066,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0671,SRV+Double,1
null,reference,2H,0.0614,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0878,SRV+Double,2
alternative,reference,2H,0.0661,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0669,SRV+Double,2
null,reference,2H,0.0615,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0878,SRV+Double,3
alternative,reference,2H,0.0657,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0672,SRV+Double,3
null,reference,2H,0.0614,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0873,SRV+Double,4
alternative,reference,2H,0.0664,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0675,SRV+Double,4
null,reference,2H,0.0617,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0899,SRV+Double,5
alternative,reference,2H,0.0658,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0671,SRV+Double,5
null,reference,2H,0.0614,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0905,SRV+Double,6
alternative,reference,2H,0.0662,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0678,SRV+Double,6
null,reference,2H,0.0618,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0868,SRV+Double,7
alternative,reference,2H,0.0658,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0671,SRV+Double,7
null,reference,2H,0.0616,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0884,SRV+Double,8
alternative,reference,2H,0.066,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.067,SRV+Double,8
null,reference,2H,0.0615,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0891,SRV+Double,9
alternative,reference,2H,0.0668,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0675,SRV+Double,9
null,reference,2H,0.0617,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0875,SRV+Double,10
alternative,reference,2H,0.0662,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0674,SRV+Double,10
null,reference,2H,0.0614,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1064,SRV+Double+Triple,1
alternative,reference,2H,0.0636,SRV+Double+Triple,1
alternative,reference,3H,0.1756,SRV+Double+Triple,1
alternative,reference,3H,0.1149,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0618,SRV+Double+Triple,1
null,reference,2H,0.0636,SRV+Double+Triple,1
null,reference,3H,0.1137,SRV+Double+Triple,1
null,reference,3H,0.115,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.105,SRV+Double+Triple,2
alternative,reference,2H,0.0635,SRV+Double+Triple,2
alternative,reference,3H,0.1753,SRV+Double+Triple,2
alternative,reference,3H,0.1146,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0617,SRV+Double+Triple,2
null,reference,2H,0.0636,SRV+Double+Triple,2
null,reference,3H,0.1136,SRV+Double+Triple,2
null,reference,3H,0.1149,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1059,SRV+Double+Triple,3
alternative,reference,2H,0.0636,SRV+Double+Triple,3
alternative,reference,3H,0.1814,SRV+Double+Triple,3
alternative,reference,3H,0.1149,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0617,SRV+Double+Triple,3
null,reference,2H,0.0636,SRV+Double+Triple,3
null,reference,3H,0.1138,SRV+Double+Triple,3
null,reference,3H,0.115,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.1033,SRV+Double+Triple,4
alternative,reference,2H,0.0636,SRV+Double+Triple,4
alternative,reference,3H,0.1778,SRV+Double+Triple,4
alternative,reference,3H,0.1147,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0617,SRV+Double+Triple,4
null,reference,2H,0.0636,SRV+Double+Triple,4
null,reference,3H,0.1134,SRV+Double+Triple,4
null,reference,3H,0.1151,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1051,SRV+Double+Triple,5
alternative,reference,2H,0.0636,SRV+Double+Triple,5
alternative,reference,3H,0.1776,SRV+Double+Triple,5
alternative,reference,3H,0.115,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0617,SRV+Double+Triple,5
null,reference,2H,0.0635,SRV+Double+Triple,5
null,reference,3H,0.1136,SRV+Double+Triple,5
null,reference,3H,0.1149,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.1071,SRV+Double+Triple,6
alternative,reference,2H,0.0635,SRV+Double+Triple,6
alternative,reference,3H,0.1757,SRV+Double+Triple,6
alternative,reference,3H,0.115,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0617,SRV+Double+Triple,6
null,reference,2H,0.0637,SRV+Double+Triple,6
null,reference,3H,0.1135,SRV+Double+Triple,6
null,reference,3H,0.115,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.1005,SRV+Double+Triple,7
alternative,reference,2H,0.0636,SRV+Double+Triple,7
alternative,reference,3H,0.1734,SRV+Double+Triple,7
alternative,reference,3H,0.1144,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0618,SRV+Double+Triple,7
null,reference,2H,0.0636,SRV+Double+Triple,7
null,reference,3H,0.1135,SRV+Double+Triple,7
null,reference,3H,0.1151,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.1047,SRV+Double+Triple,8
alternative,reference,2H,0.0635,SRV+Double+Triple,8
alternative,reference,3H,0.1777,SRV+Double+Triple,8
alternative,reference,3H,0.115,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0618,SRV+Double+Triple,8
null,reference,2H,0.0636,SRV+Double+Triple,8
null,reference,3H,0.1136,SRV+Double+Triple,8
null,reference,3H,0.115,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.1048,SRV+Double+Triple,9
alternative,reference,2H,0.0635,SRV+Double+Triple,9
alternative,reference,3H,0.1778,SRV+Double+Triple,9
alternative,reference,3H,0.1149,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0618,SRV+Double+Triple,9
null,reference,2H,0.0635,SRV+Double+Triple,9
null,reference,3H,0.1135,SRV+Double+Triple,9
null,reference,3H,0.1152,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.1063,SRV+Double+Triple,10
alternative,reference,2H,0.0686,SRV+Double+Triple,10
alternative,reference,3H,0.1686,SRV+Double+Triple,10
alternative,reference,3H,0.1146,SRV+Double+Triple,10
alternative,test,2H,0.0,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.0667,SRV+Double+Triple,10
null,reference,2H,0.0686,SRV+Double+Triple,10
null,reference,3H,0.1127,SRV+Double+Triple,10
null,reference,3H,0.1149,SRV+Double+Triple,10
null,test,2H,0.0,SRV+Double+Triple,10
null,test,3H,0.0,SRV+Double+Triple,10
