model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.113,8.161,SRV,1
null,2,0.861,82.733,SRV,1
null,3,3.058,9.106,SRV,1
null,1,0.116,8.259,SRV,2
null,2,0.862,82.653,SRV,2
null,3,3.06,9.087,SRV,2
null,1,0.112,8.128,SRV,3
null,2,0.861,82.767,SRV,3
null,3,3.058,9.105,SRV,3
null,1,0.118,8.35,SRV,4
null,2,0.863,82.599,SRV,4
null,3,3.063,9.051,SRV,4
null,1,0.11,8.06,SRV,5
null,2,0.86,82.834,SRV,5
null,3,3.06,9.107,SRV,5
null,1,0.107,7.898,SRV,6
null,2,0.858,82.938,SRV,6
null,3,3.051,9.165,SRV,6
null,1,0.111,8.064,SRV,7
null,2,0.86,82.82,SRV,7
null,3,3.056,9.115,SRV,7
null,1,0.112,8.118,SRV,8
null,2,0.861,82.753,SRV,8
null,3,3.054,9.128,SRV,8
null,1,0.114,8.201,SRV,9
null,2,0.862,82.708,SRV,9
null,3,3.059,9.09,SRV,9
null,1,0.111,8.082,SRV,10
null,2,0.86,82.806,SRV,10
null,3,3.059,9.112,SRV,10
