model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1091,SRV+Double,1
alternative,reference,2H,0.0563,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0594,SRV+Double,1
null,reference,2H,0.0504,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.1359,SRV+Double,2
alternative,reference,2H,0.104,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.1059,SRV+Double,2
null,reference,2H,0.0964,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.161,SRV+Double,3
alternative,reference,2H,0.0974,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0996,SRV+Double,3
null,reference,2H,0.0936,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.1296,SRV+Double,4
alternative,reference,2H,0.0991,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.1018,SRV+Double,4
null,reference,2H,0.0942,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.1239,SRV+Double,5
alternative,reference,2H,0.1061,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.1082,SRV+Double,5
null,reference,2H,0.095,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.1367,SRV+Double,6
alternative,reference,2H,0.1059,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.1058,SRV+Double,6
null,reference,2H,0.096,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.1283,SRV+Double,7
alternative,reference,2H,0.0983,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0998,SRV+Double,7
null,reference,2H,0.0907,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.1257,SRV+Double,8
alternative,reference,2H,0.1074,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.1095,SRV+Double,8
null,reference,2H,0.0967,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.1281,SRV+Double,9
alternative,reference,2H,0.0989,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.1015,SRV+Double,9
null,reference,2H,0.0932,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.1257,SRV+Double,10
alternative,reference,2H,0.1072,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.1099,SRV+Double,10
null,reference,2H,0.0969,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1361,SRV+Double+Triple,1
alternative,reference,2H,0.1087,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.1117,SRV+Double+Triple,1
null,reference,2H,0.0972,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1274,SRV+Double+Triple,2
alternative,reference,2H,0.1008,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.1038,SRV+Double+Triple,2
null,reference,2H,0.095,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1357,SRV+Double+Triple,3
alternative,reference,2H,0.1052,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.1066,SRV+Double+Triple,3
null,reference,2H,0.0955,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
