model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,6.915,0.397,SRV,1
alternative,reference,Negative selection,0.18,48.821,SRV,1
alternative,reference,Negative selection,0.231,50.781,SRV,1
alternative,test,Diversifying selection,6.904,0.397,SRV,1
alternative,test,Diversifying selection,6.915,0.397,SRV,1
alternative,test,Negative selection,0.18,48.821,SRV,1
alternative,test,Negative selection,0.421,50.781,SRV,1
alternative,test,Negative selection,0.18,48.821,SRV,1
alternative,test,Negative selection,0.231,50.781,SRV,1
null,reference,Diversifying selection,6.915,0.397,SRV,1
null,reference,Negative selection,0.181,49.1,SRV,1
null,reference,Negative selection,0.23,50.503,SRV,1
null,test,Diversifying selection,6.915,0.397,SRV,1
null,test,Negative selection,0.181,49.1,SRV,1
null,test,Negative selection,0.23,50.503,SRV,1
alternative,reference,Diversifying selection,6.932,0.412,SRV,2
alternative,reference,Negative selection,0.205,98.494,SRV,2
alternative,reference,Negative selection,0.229,1.094,SRV,2
alternative,test,Diversifying selection,4.385,0.412,SRV,2
alternative,test,Diversifying selection,6.932,0.412,SRV,2
alternative,test,Negative selection,0.298,98.494,SRV,2
alternative,test,Negative selection,0.325,1.094,SRV,2
alternative,test,Negative selection,0.205,98.494,SRV,2
alternative,test,Negative selection,0.229,1.094,SRV,2
null,reference,Diversifying selection,6.413,0.448,SRV,2
null,reference,Negative selection,0.209,98.12,SRV,2
null,reference,Negative selection,0.21,1.431,SRV,2
null,test,Diversifying selection,6.413,0.448,SRV,2
null,test,Negative selection,0.209,98.12,SRV,2
null,test,Negative selection,0.21,1.431,SRV,2
alternative,reference,Diversifying selection,7.084,0.402,SRV,3
alternative,reference,Negative selection,0.205,98.491,SRV,3
alternative,reference,Negative selection,0.223,1.107,SRV,3
alternative,test,Diversifying selection,4.451,0.402,SRV,3
alternative,test,Diversifying selection,7.084,0.402,SRV,3
alternative,test,Negative selection,0.299,98.491,SRV,3
alternative,test,Negative selection,0.318,1.107,SRV,3
alternative,test,Negative selection,0.205,98.491,SRV,3
alternative,test,Negative selection,0.223,1.107,SRV,3
null,reference,Diversifying selection,6.438,0.447,SRV,3
null,reference,Negative selection,0.209,98.027,SRV,3
null,reference,Negative selection,0.21,1.527,SRV,3
null,test,Diversifying selection,6.438,0.447,SRV,3
null,test,Negative selection,0.209,98.027,SRV,3
null,test,Negative selection,0.21,1.527,SRV,3
alternative,reference,Diversifying selection,6.971,0.41,SRV,4
alternative,reference,Negative selection,0.205,97.667,SRV,4
alternative,reference,Negative selection,0.237,1.923,SRV,4
alternative,test,Diversifying selection,4.392,0.41,SRV,4
alternative,test,Diversifying selection,6.971,0.41,SRV,4
alternative,test,Negative selection,0.298,97.667,SRV,4
alternative,test,Negative selection,0.334,1.923,SRV,4
alternative,test,Negative selection,0.205,97.667,SRV,4
alternative,test,Negative selection,0.237,1.923,SRV,4
null,reference,Diversifying selection,6.481,0.442,SRV,4
null,reference,Negative selection,0.197,1.949,SRV,4
null,reference,Negative selection,0.209,97.61,SRV,4
null,test,Diversifying selection,6.481,0.442,SRV,4
null,test,Negative selection,0.197,1.949,SRV,4
null,test,Negative selection,0.209,97.61,SRV,4
alternative,reference,Diversifying selection,6.959,0.41,SRV,5
alternative,reference,Negative selection,0.205,97.5,SRV,5
alternative,reference,Negative selection,0.224,2.09,SRV,5
alternative,test,Diversifying selection,4.394,0.41,SRV,5
alternative,test,Diversifying selection,6.959,0.41,SRV,5
alternative,test,Negative selection,0.298,97.5,SRV,5
alternative,test,Negative selection,0.319,2.09,SRV,5
alternative,test,Negative selection,0.205,97.5,SRV,5
alternative,test,Negative selection,0.224,2.09,SRV,5
null,reference,Diversifying selection,6.401,0.449,SRV,5
null,reference,Negative selection,0.194,2.585,SRV,5
null,reference,Negative selection,0.209,96.966,SRV,5
null,test,Diversifying selection,6.401,0.449,SRV,5
null,test,Negative selection,0.194,2.585,SRV,5
null,test,Negative selection,0.209,96.966,SRV,5
alternative,reference,Diversifying selection,7.775,0.354,SRV,6
alternative,reference,Negative selection,0.207,99.646,SRV,6
alternative,reference,Negative selection,0.227,0.0,SRV,6
alternative,test,Diversifying selection,4.782,0.354,SRV,6
alternative,test,Diversifying selection,7.775,0.354,SRV,6
alternative,test,Negative selection,0.3,99.646,SRV,6
alternative,test,Negative selection,0.322,0.0,SRV,6
alternative,test,Negative selection,0.207,99.646,SRV,6
alternative,test,Negative selection,0.227,0.0,SRV,6
null,reference,Diversifying selection,7.151,0.384,SRV,6
null,reference,Negative selection,0.21,99.616,SRV,6
