model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.13,8.87,SRV,1
null,2,0.869,82.242,SRV,1
null,3,3.084,8.889,SRV,1
null,1,0.124,8.621,SRV,2
null,2,0.866,82.383,SRV,2
null,3,3.07,8.996,SRV,2
null,1,0.123,8.544,SRV,3
null,2,0.865,82.448,SRV,3
null,3,3.066,9.008,SRV,3
null,1,0.123,8.54,SRV,4
null,2,0.865,82.413,SRV,4
null,3,3.062,9.048,SRV,4
null,1,0.125,8.646,SRV,5
null,2,0.866,82.33,SRV,5
null,3,3.065,9.024,SRV,5
null,1,0.12,8.431,SRV,6
null,2,0.863,82.493,SRV,6
null,3,3.063,9.076,SRV,6
null,1,0.167,10.524,SRV,7
null,2,0.881,80.672,SRV,7
null,3,3.087,8.804,SRV,7
null,1,0.125,8.645,SRV,8
null,2,0.866,82.335,SRV,8
null,3,3.065,9.019,SRV,8
null,1,0.123,8.52,SRV,9
null,2,0.864,82.431,SRV,9
null,3,3.063,9.049,SRV,9
null,1,0.129,8.777,SRV,10
null,2,0.867,82.233,SRV,10
null,3,3.069,8.989,SRV,10
