run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,110.598,,0.061
SRV,1,alternative,reference,omega,Negative selection,0.218,,95.636
SRV,1,alternative,reference,omega,Negative selection,0.221,,4.303
SRV,1,alternative,test,omega,Diversifying selection,410.727,,0.061
SRV,1,alternative,test,omega,Diversifying selection,110.598,,0.061
SRV,1,alternative,test,omega,Negative selection,0.142,,95.636
SRV,1,alternative,test,omega,Negative selection,0.145,,4.303
SRV,1,alternative,test,omega,Negative selection,0.218,,95.636
SRV,1,alternative,test,omega,Negative selection,0.221,,4.303
SRV,1,null,reference,omega,Diversifying selection,99.951,,0.067
SRV,1,null,reference,omega,Negative selection,0.211,,95.34
SRV,1,null,reference,omega,Negative selection,0.214,,4.594
SRV,1,null,test,omega,Diversifying selection,99.951,,0.067
SRV,1,null,test,omega,Negative selection,0.211,,95.34
SRV,1,null,test,omega,Negative selection,0.214,,4.594
SRV,2,alternative,reference,omega,Diversifying selection,111.132,,0.06
SRV,2,alternative,reference,omega,Negative selection,0.217,,0.188
SRV,2,alternative,reference,omega,Negative selection,0.218,,99.752
SRV,2,alternative,test,omega,Diversifying selection,420.857,,0.06
SRV,2,alternative,test,omega,Diversifying selection,111.132,,0.06
SRV,2,alternative,test,omega,Negative selection,0.141,,0.188
SRV,2,alternative,test,omega,Negative selection,0.142,,99.752
SRV,2,alternative,test,omega,Negative selection,0.217,,0.188
SRV,2,alternative,test,omega,Negative selection,0.218,,99.752
SRV,2,null,reference,omega,Diversifying selection,100.756,,0.066
SRV,2,null,reference,omega,Negative selection,0.209,,0.348
SRV,2,null,reference,omega,Negative selection,0.211,,99.586
SRV,2,null,test,omega,Diversifying selection,100.756,,0.066
SRV,2,null,test,omega,Negative selection,0.209,,0.348
SRV,2,null,test,omega,Negative selection,0.211,,99.586
SRV,3,alternative,reference,omega,Diversifying selection,111.523,,0.06
SRV,3,alternative,reference,omega,Negative selection,0.219,,99.157
SRV,3,alternative,reference,omega,Negative selection,0.22,,0.783
SRV,3,alternative,test,omega,Diversifying selection,430.916,,0.06
SRV,3,alternative,test,omega,Diversifying selection,111.523,,0.06
SRV,3,alternative,test,omega,Negative selection,0.141,,99.157
SRV,3,alternative,test,omega,Negative selection,0.142,,0.783
SRV,3,alternative,test,omega,Negative selection,0.219,,99.157
SRV,3,alternative,test,omega,Negative selection,0.22,,0.783
SRV,3,null,reference,omega,Diversifying selection,101.46,,0.066
SRV,3,null,reference,omega,Negative selection,0.211,,99.058
SRV,3,null,reference,omega,Negative selection,0.212,,0.876
SRV,3,null,test,omega,Diversifying selection,101.46,,0.066
SRV,3,null,test,omega,Negative selection,0.211,,99.058
SRV,3,null,test,omega,Negative selection,0.212,,0.876
SRV,4,alternative,reference,omega,Diversifying selection,111.96,,0.06
SRV,4,alternative,reference,omega,Negative selection,0.212,,4.483
SRV,4,alternative,reference,omega,Negative selection,0.218,,95.456
SRV,4,alternative,test,omega,Diversifying selection,424.54,,0.06
SRV,4,alternative,test,omega,Diversifying selection,111.96,,0.06
SRV,4,alternative,test,omega,Negative selection,0.137,,4.483
SRV,4,alternative,test,omega,Negative selection,0.142,,95.456
SRV,4,alternative,test,omega,Negative selection,0.212,,4.483
SRV,4,alternative,test,omega,Negative selection,0.218,,95.456
SRV,4,null,reference,omega,Diversifying selection,101.046,,0.067
SRV,4,null,reference,omega,Negative selection,0.211,,95.248
SRV,4,null,reference,omega,Negative selection,0.212,,4.685
SRV,4,null,test,omega,Diversifying selection,101.046,,0.067
SRV,4,null,test,omega,Negative selection,0.211,,95.248
SRV,4,null,test,omega,Negative selection,0.212,,4.685
SRV,5,alternative,reference,omega,Diversifying selection,111.066,,0.061
SRV,5,alternative,reference,omega,Negative selection,0.218,,99.838
SRV,5,alternative,reference,omega,Negative selection,0.222,,0.101
SRV,5,alternative,test,omega,Diversifying selection,414.894,,0.061
SRV,5,alternative,test,omega,Diversifying selection,111.066,,0.061
SRV,5,alternative,test,omega,Negative selection,0.143,,99.838
SRV,5,alternative,test,omega,Negative selection,0.146,,0.101
SRV,5,alternative,test,omega,Negative selection,0.218,,99.838
SRV,5,alternative,test,omega,Negative selection,0.222,,0.101
SRV,5,null,reference,omega,Diversifying selection,99.799,,0.067
SRV,5,null,reference,omega,Negative selection,0.211,,99.826
SRV,5,null,reference,omega,Negative selection,0.212,,0.107
SRV,5,null,test,omega,Diversifying selection,99.799,,0.067
SRV,5,null,test,omega,Negative selection,0.211,,99.826
SRV,5,null,test,omega,Negative selection,0.212,,0.107
SRV,6,alternative,reference,omega,Diversifying selection,110.319,,0.061
SRV,6,alternative,reference,omega,Negative selection,0.203,,0.29
SRV,6,alternative,reference,omega,Negative selection,0.218,,99.65
SRV,6,alternative,test,omega,Diversifying selection,414.036,,0.061
SRV,6,alternative,test,omega,Diversifying selection,110.319,,0.061
SRV,6,alternative,test,omega,Negative selection,0.13,,0.29
SRV,6,alternative,test,omega,Negative selection,0.142,,99.65
SRV,6,alternative,test,omega,Negative selection,0.203,,0.29
SRV,6,alternative,test,omega,Negative selection,0.218,,99.65
SRV,6,null,reference,omega,Diversifying selection,100.583,,0.067
SRV,6,null,reference,omega,Negative selection,0.209,,0.392
SRV,6,null,reference,omega,Negative selection,0.211,,99.541
SRV,6,null,test,omega,Diversifying selection,100.583,,0.067
SRV,6,null,test,omega,Negative selection,0.209,,0.392
SRV,6,null,test,omega,Negative selection,0.211,,99.541
SRV,7,alternative,reference,omega,Diversifying selection,111.919,,0.06
SRV,7,alternative,reference,omega,Negative selection,0.215,,3.927
SRV,7,alternative,reference,omega,Negative selection,0.218,,96.013
SRV,7,alternative,test,omega,Diversifying selection,425.984,,0.06
SRV,7,alternative,test,omega,Diversifying selection,111.919,,0.06
SRV,7,alternative,test,omega,Negative selection,0.139,,3.927
SRV,7,alternative,test,omega,Negative selection,0.142,,96.013
SRV,7,alternative,test,omega,Negative selection,0.215,,3.927
SRV,7,alternative,test,omega,Negative selection,0.218,,96.013
SRV,7,null,reference,omega,Diversifying selection,101.018,,0.067
SRV,7,null,reference,omega,Negative selection,0.211,,95.808
SRV,7,null,reference,omega,Negative selection,0.212,,4.125
SRV,7,null,test,omega,Diversifying selection,101.018,,0.067
SRV,7,null,test,omega,Negative selection,0.211,,95.808
SRV,7,null,test,omega,Negative selection,0.212,,4.125
SRV,8,alternative,reference,omega,Diversifying selection,110.947,,0.061
SRV,8,alternative,reference,omega,Negative selection,0.218,,98.411
SRV,8,alternative,reference,omega,Negative selection,0.221,,1.529
SRV,8,alternative,test,omega,Diversifying selection,411.327,,0.061
SRV,8,alternative,test,omega,Diversifying selection,110.947,,0.061
SRV,8,alternative,test,omega,Negative selection,0.143,,98.411
SRV,8,alternative,test,omega,Negative selection,0.145,,1.529
SRV,8,alternative,test,omega,Negative selection,0.218,,98.411
SRV,8,alternative,test,omega,Negative selection,0.221,,1.529
SRV,8,null,reference,omega,Diversifying selection,100.389,,0.067
SRV,8,null,reference,omega,Negative selection,0.21,,1.571
SRV,8,null,reference,omega,Negative selection,0.211,,98.362
SRV,8,null,test,omega,Diversifying selection,100.389,,0.067
SRV,8,null,test,omega,Negative selection,0.21,,1.571
SRV,8,null,test,omega,Negative selection,0.211,,98.362
SRV,9,alternative,reference,omega,Diversifying selection,112.008,,0.06
SRV,9,alternative,reference,omega,Negative selection,0.216,,1.431
SRV,9,alternative,reference,omega,Negative selection,0.219,,98.509
SRV,9,alternative,test,omega,Diversifying selection,430.875,,0.06
SRV,9,alternative,test,omega,Diversifying selection,112.008,,0.06
SRV,9,alternative,test,omega,Negative selection,0.139,,1.431
SRV,9,alternative,test,omega,Negative selection,0.142,,98.509
SRV,9,alternative,test,omega,Negative selection,0.216,,1.431
SRV,9,alternative,test,omega,Negative selection,0.219,,98.509
SRV,9,null,reference,omega,Diversifying selection,101.205,,0.067
SRV,9,null,reference,omega,Negative selection,0.211,,98.43
SRV,9,null,reference,omega,Negative selection,0.212,,1.503
SRV,9,null,test,omega,Diversifying selection,101.205,,0.067
SRV,9,null,test,omega,Negative selection,0.211,,98.43
SRV,9,null,test,omega,Negative selection,0.212,,1.503
SRV,10,alternative,reference,omega,Diversifying selection,110.8,,0.061
SRV,10,alternative,reference,omega,Negative selection,0.212,,1.496
SRV,10,alternative,reference,omega,Negative selection,0.218,,98.443
SRV,10,alternative,test,omega,Diversifying selection,419.65,,0.061
SRV,10,alternative,test,omega,Diversifying selection,110.8,,0.061
SRV,10,alternative,test,omega,Negative selection,0.136,,1.496
SRV,10,alternative,test,omega,Negative selection,0.142,,98.443
SRV,10,alternative,test,omega,Negative selection,0.212,,1.496
SRV,10,alternative,test,omega,Negative selection,0.218,,98.443
SRV,10,null,reference,omega,Diversifying selection,100.226,,0.067
SRV,10,null,reference,omega,Negative selection,0.211,,98.394
SRV,10,null,reference,omega,Negative selection,0.211,,1.539
SRV,10,null,test,omega,Diversifying selection,100.226,,0.067
SRV,10,null,test,omega,Negative selection,0.211,,98.394
SRV,10,null,test,omega,Negative selection,0.211,,1.539
SRV+Double,1,alternative,reference,omega,Diversifying selection,2.348,,0.0
SRV+Double,1,alternative,reference,omega,Negative selection,0.21,,52.873
SRV+Double,1,alternative,reference,omega,Negative selection,0.237,,47.127
SRV+Double,1,alternative,test,omega,Diversifying selection,3.031,,0.0
SRV+Double,1,alternative,test,omega,Diversifying selection,2.348,,0.0
SRV+Double,1,alternative,test,omega,Negative selection,0.132,,52.873
SRV+Double,1,alternative,test,omega,Negative selection,0.154,,47.127
SRV+Double,1,alternative,test,omega,Negative selection,0.21,,52.873
SRV+Double,1,alternative,test,omega,Negative selection,0.237,,47.127
SRV+Double,1,null,reference,omega,Diversifying selection,99.38,,0.067
SRV+Double,1,null,reference,omega,Negative selection,0.21,,73.298
SRV+Double,1,null,reference,omega,Negative selection,0.212,,26.635
SRV+Double,1,null,test,omega,Diversifying selection,99.38,,0.067
SRV+Double,1,null,test,omega,Negative selection,0.21,,73.298
SRV+Double,1,null,test,omega,Negative selection,0.212,,26.635
SRV+Double,2,alternative,reference,omega,Diversifying selection,1.054,,0.0
SRV+Double,2,alternative,reference,omega,Negative selection,0.219,,87.688
SRV+Double,2,alternative,reference,omega,Negative selection,0.248,,12.312
SRV+Double,2,alternative,test,omega,Diversifying selection,1.071,,0.0
SRV+Double,2,alternative,test,omega,Diversifying selection,1.054,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.139,,87.688
SRV+Double,2,alternative,test,omega,Negative selection,0.163,,12.312
SRV+Double,2,alternative,test,omega,Negative selection,0.219,,87.688
SRV+Double,2,alternative,test,omega,Negative selection,0.248,,12.312
SRV+Double,2,null,reference,omega,Diversifying selection,1.968,,0.0
SRV+Double,2,null,reference,omega,Negative selection,0.215,,100.0
SRV+Double,2,null,reference,omega,Negative selection,0.216,,0.0
SRV+Double,2,null,test,omega,Diversifying selection,1.968,,0.0
SRV+Double,2,null,test,omega,Negative selection,0.215,,100.0
SRV+Double,2,null,test,omega,Negative selection,0.216,,0.0
SRV+Double,3,alternative,reference,omega,Diversifying selection,2.628,,0.0
SRV+Double,3,alternative,reference,omega,Negative selection,0.211,,50.694
SRV+Double,3,alternative,reference,omega,Negative selection,0.235,,49.306
SRV+Double,3,alternative,test,omega,Diversifying selection,3.511,,0.0
SRV+Double,3,alternative,test,omega,Diversifying selection,2.628,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.132,,50.694
SRV+Double,3,alternative,test,omega,Negative selection,0.152,,49.306
SRV+Double,3,alternative,test,omega,Negative selection,0.211,,50.694
SRV+Double,3,alternative,test,omega,Negative selection,0.235,,49.306
SRV+Double,3,null,reference,omega,Diversifying selection,99.591,,0.067
SRV+Double,3,null,reference,omega,Negative selection,0.21,,61.919
SRV+Double,3,null,reference,omega,Negative selection,0.212,,38.014
SRV+Double,3,null,test,omega,Diversifying selection,99.591,,0.067
SRV+Double,3,null,test,omega,Negative selection,0.21,,61.919
SRV+Double,3,null,test,omega,Negative selection,0.212,,38.014
SRV+Double,4,alternative,reference,omega,Diversifying selection,2.391,,0.0
SRV+Double,4,alternative,reference,omega,Negative selection,0.213,,62.647
SRV+Double,4,alternative,reference,omega,Negative selection,0.239,,37.353
SRV+Double,4,alternative,test,omega,Diversifying selection,3.1,,0.0
SRV+Double,4,alternative,test,omega,Diversifying selection,2.391,,0.0
SRV+Double,4,alternative,test,omega,Negative selection,0.134,,62.647
SRV+Double,4,alternative,test,omega,Negative selection,0.156,,37.353
SRV+Double,4,alternative,test,omega,Negative selection,0.213,,62.647
SRV+Double,4,alternative,test,omega,Negative selection,0.239,,37.353
SRV+Double,4,null,reference,omega,Diversifying selection,99.672,,0.067
SRV+Double,4,null,reference,omega,Negative selection,0.209,,41.555
SRV+Double,4,null,reference,omega,Negative selection,0.211,,58.378
SRV+Double,4,null,test,omega,Diversifying selection,99.672,,0.067
SRV+Double,4,null,test,omega,Negative selection,0.209,,41.555
SRV+Double,4,null,test,omega,Negative selection,0.211,,58.378
SRV+Double,5,alternative,reference,omega,Diversifying selection,111.998,,0.061
SRV+Double,5,alternative,reference,omega,Negative selection,0.206,,15.282
SRV+Double,5,alternative,reference,omega,Negative selection,0.221,,84.657
SRV+Double,5,alternative,test,omega,Diversifying selection,421.25,,0.061
SRV+Double,5,alternative,test,omega,Diversifying selection,111.998,,0.061
SRV+Double,5,alternative,test,omega,Negative selection,0.132,,15.282
SRV+Double,5,alternative,test,omega,Negative selection,0.145,,84.657
SRV+Double,5,alternative,test,omega,Negative selection,0.206,,15.282
SRV+Double,5,alternative,test,omega,Negative selection,0.221,,84.657
SRV+Double,5,null,reference,omega,Diversifying selection,99.945,,0.067
SRV+Double,5,null,reference,omega,Negative selection,0.203,,12.795
SRV+Double,5,null,reference,omega,Negative selection,0.212,,87.138
SRV+Double,5,null,test,omega,Diversifying selection,99.945,,0.067
SRV+Double,5,null,test,omega,Negative selection,0.203,,12.795
SRV+Double,5,null,test,omega,Negative selection,0.212,,87.138
SRV+Double,6,alternative,reference,omega,Diversifying selection,107.77,,0.061
SRV+Double,6,alternative,reference,omega,Negative selection,0.212,,63.46
SRV+Double,6,alternative,reference,omega,Negative selection,0.225,,36.479
SRV+Double,6,alternative,test,omega,Diversifying selection,387.525,,0.061
SRV+Double,6,alternative,test,omega,Diversifying selection,107.77,,0.061
SRV+Double,6,alternative,test,omega,Negative selection,0.139,,63.46
SRV+Double,6,alternative,test,omega,Negative selection,0.15,,36.479
SRV+Double,6,alternative,test,omega,Negative selection,0.212,,63.46
SRV+Double,6,alternative,test,omega,Negative selection,0.225,,36.479
SRV+Double,6,null,reference,omega,Diversifying selection,101.315,,0.067
SRV+Double,6,null,reference,omega,Negative selection,0.21,,69.128
SRV+Double,6,null,reference,omega,Negative selection,0.212,,30.805
SRV+Double,6,null,test,omega,Diversifying selection,101.315,,0.067
SRV+Double,6,null,test,omega,Negative selection,0.21,,69.128
SRV+Double,6,null,test,omega,Negative selection,0.212,,30.805
SRV+Double,7,alternative,reference,omega,Diversifying selection,2.322,,0.0
SRV+Double,7,alternative,reference,omega,Negative selection,0.208,,31.255
SRV+Double,7,alternative,reference,omega,Negative selection,0.229,,68.745
SRV+Double,7,alternative,test,omega,Diversifying selection,2.98,,0.0
SRV+Double,7,alternative,test,omega,Diversifying selection,2.322,,0.0
SRV+Double,7,alternative,test,omega,Negative selection,0.131,,31.255
SRV+Double,7,alternative,test,omega,Negative selection,0.148,,68.745
SRV+Double,7,alternative,test,omega,Negative selection,0.208,,31.255
SRV+Double,7,alternative,test,omega,Negative selection,0.229,,68.745
SRV+Double,7,null,reference,omega,Diversifying selection,99.077,,0.067
SRV+Double,7,null,reference,omega,Negative selection,0.209,,28.541
SRV+Double,7,null,reference,omega,Negative selection,0.211,,71.392
SRV+Double,7,null,test,omega,Diversifying selection,99.077,,0.067
SRV+Double,7,null,test,omega,Negative selection,0.209,,28.541
SRV+Double,7,null,test,omega,Negative selection,0.211,,71.392
SRV+Double,8,alternative,reference,omega,Diversifying selection,2.402,,0.0
