run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,6.427,,0.449
SRV,1,alternative,reference,omega,Negative selection,0.204,,87.998
SRV,1,alternative,reference,omega,Negative selection,0.236,,11.553
SRV,1,alternative,test,omega,Diversifying selection,3.9,,0.449
SRV,1,alternative,test,omega,Diversifying selection,6.427,,0.449
SRV,1,alternative,test,omega,Negative selection,0.312,,87.998
SRV,1,alternative,test,omega,Negative selection,0.348,,11.553
SRV,1,alternative,test,omega,Negative selection,0.204,,87.998
SRV,1,alternative,test,omega,Negative selection,0.236,,11.553
SRV,1,null,reference,omega,Diversifying selection,6.489,,0.442
SRV,1,null,reference,omega,Negative selection,0.207,,87.516
SRV,1,null,reference,omega,Negative selection,0.223,,12.043
SRV,1,null,test,omega,Diversifying selection,6.489,,0.442
SRV,1,null,test,omega,Negative selection,0.207,,87.516
SRV,1,null,test,omega,Negative selection,0.223,,12.043
SRV,2,alternative,reference,omega,Diversifying selection,6.412,,0.449
SRV,2,alternative,reference,omega,Negative selection,0.206,,94.548
SRV,2,alternative,reference,omega,Negative selection,0.242,,5.003
SRV,2,alternative,test,omega,Diversifying selection,3.895,,0.449
SRV,2,alternative,test,omega,Diversifying selection,6.412,,0.449
SRV,2,alternative,test,omega,Negative selection,0.314,,94.548
SRV,2,alternative,test,omega,Negative selection,0.354,,5.003
SRV,2,alternative,test,omega,Negative selection,0.206,,94.548
SRV,2,alternative,test,omega,Negative selection,0.242,,5.003
SRV,2,null,reference,omega,Diversifying selection,6.411,,0.448
SRV,2,null,reference,omega,Negative selection,0.209,,94.171
SRV,2,null,reference,omega,Negative selection,0.21,,5.381
SRV,2,null,test,omega,Diversifying selection,6.411,,0.448
SRV,2,null,test,omega,Negative selection,0.209,,94.171
SRV,2,null,test,omega,Negative selection,0.21,,5.381
SRV,3,alternative,reference,omega,Diversifying selection,6.406,,0.45
SRV,3,alternative,reference,omega,Negative selection,0.206,,94.881
SRV,3,alternative,reference,omega,Negative selection,0.235,,4.67
SRV,3,alternative,test,omega,Diversifying selection,3.896,,0.45
SRV,3,alternative,test,omega,Diversifying selection,6.406,,0.45
SRV,3,alternative,test,omega,Negative selection,0.314,,94.881
SRV,3,alternative,test,omega,Negative selection,0.346,,4.67
SRV,3,alternative,test,omega,Negative selection,0.206,,94.881
SRV,3,alternative,test,omega,Negative selection,0.235,,4.67
SRV,3,null,reference,omega,Diversifying selection,6.56,,0.434
SRV,3,null,reference,omega,Negative selection,0.204,,5.028
SRV,3,null,reference,omega,Negative selection,0.209,,94.538
SRV,3,null,test,omega,Diversifying selection,6.56,,0.434
SRV,3,null,test,omega,Negative selection,0.204,,5.028
SRV,3,null,test,omega,Negative selection,0.209,,94.538
SRV,4,alternative,reference,omega,Diversifying selection,6.508,,0.44
SRV,4,alternative,reference,omega,Negative selection,0.208,,98.174
SRV,4,alternative,reference,omega,Negative selection,0.215,,1.386
SRV,4,alternative,test,omega,Diversifying selection,3.95,,0.44
SRV,4,alternative,test,omega,Diversifying selection,6.508,,0.44
SRV,4,alternative,test,omega,Negative selection,0.316,,98.174
SRV,4,alternative,test,omega,Negative selection,0.323,,1.386
SRV,4,alternative,test,omega,Negative selection,0.208,,98.174
SRV,4,alternative,test,omega,Negative selection,0.215,,1.386
SRV,4,null,reference,omega,Diversifying selection,6.517,,0.439
SRV,4,null,reference,omega,Negative selection,0.191,,1.344
SRV,4,null,reference,omega,Negative selection,0.209,,98.218
SRV,4,null,test,omega,Diversifying selection,6.517,,0.439
SRV,4,null,test,omega,Negative selection,0.191,,1.344
SRV,4,null,test,omega,Negative selection,0.209,,98.218
SRV,5,alternative,reference,omega,Diversifying selection,6.329,,0.456
SRV,5,alternative,reference,omega,Negative selection,0.206,,96.721
SRV,5,alternative,reference,omega,Negative selection,0.241,,2.823
