replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3432,0.73,-12274.84,24642.06,46,-12275.29,24640.94,45,0.2362,0.3058,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.3431,0.73,-12274.83,24642.06,46,-12275.28,24640.94,45,0.2364,0.3058,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3423,0.73,-12274.84,24642.06,46,-12275.29,24640.94,45,0.2364,0.3058,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3424,0.73,-12274.83,24642.06,46,-12275.28,24640.94,45,0.2366,0.3054,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.3435,0.73,-12274.84,24642.06,46,-12275.28,24640.94,45,0.2365,0.3056,Convergence/flat likelihood
6,SRV,0.3427,0.73,-12274.84,24642.06,46,-12275.29,24640.94,45,0.2366,0.3054,Convergence/flat likelihood
7,SRV,0.3423,0.73,-12274.83,24642.06,46,-12275.28,24640.94,45,0.2362,0.3049,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.3426,0.73,-12274.83,24642.06,46,-12275.28,24640.94,45,0.2362,0.3049,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.343,0.73,-12274.84,24642.06,46,-12275.28,24640.94,45,0.2365,0.3056,Convergence/flat likelihood
10,SRV,0.3426,0.73,-12274.83,24642.06,46,-12275.28,24640.94,45,0.2365,0.3056,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.3913,0.75,-12273.53,24643.48,48,-12273.89,24642.19,47,0.2362,0.3058,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.3915,0.75,-12273.52,24643.47,48,-12273.89,24642.18,47,0.2362,0.3058,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3907,0.75,-12273.52,24643.47,48,-12273.89,24642.19,47,0.2364,0.3058,Convergence/flat likelihood
4,SRV+Double,0.3919,0.75,-12273.53,24643.49,48,-12273.9,24642.2,47,0.2362,0.3058,Convergence/flat likelihood
5,SRV+Double,0.3913,0.75,-12273.52,24643.47,48,-12273.89,24642.19,47,0.2364,0.3058,Convergence/flat likelihood
6,SRV+Double,0.3916,0.75,-12273.53,24643.48,48,-12273.89,24642.19,47,0.2363,0.3047,Convergence/flat likelihood
7,SRV+Double,0.3908,0.75,-12273.52,24643.47,48,-12273.89,24642.19,47,0.2362,0.3058,Convergence/flat likelihood
8,SRV+Double,0.3906,0.75,-12273.52,24643.47,48,-12273.89,24642.19,47,0.2366,0.3054,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.3911,0.75,-12273.52,24643.47,48,-12273.89,24642.19,47,0.2366,0.3054,Convergence/flat likelihood
10,SRV+Double,0.3924,0.75,-12273.53,24643.48,48,-12273.9,24642.2,47,0.2365,0.3056,Convergence/flat likelihood
1,SRV+Double+Triple,0.3952,0.76,-12272.48,24645.43,50,-12272.84,24644.13,49,0.2362,0.3058,Convergence/flat likelihood
2,SRV+Double+Triple,0.3959,0.76,-12272.49,24645.43,50,-12272.85,24644.13,49,0.2363,0.3047,Convergence/flat likelihood
3,SRV+Double+Triple,0.3964,0.76,-12272.49,24645.43,50,-12272.85,24644.13,49,0.2362,0.3049,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.3953,0.76,-12272.48,24645.43,50,-12272.85,24644.13,49,0.2363,0.3047,Convergence/flat likelihood
5,SRV+Double+Triple,0.3963,0.76,-12272.49,24645.43,50,-12272.85,24644.13,49,0.2366,0.3054,Convergence/flat likelihood
6,SRV+Double+Triple,0.3997,0.76,-12272.5,24645.45,50,-12272.85,24644.14,49,0.2362,0.3058,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.3952,0.76,-12272.48,24645.43,50,-12272.85,24644.13,49,0.2362,0.3058,Convergence/flat likelihood
8,SRV+Double+Triple,0.3956,0.76,-12272.49,24645.43,50,-12272.85,24644.13,49,0.2362,0.3058,Convergence/flat likelihood
9,SRV+Double+Triple,0.3961,0.76,-12272.49,24645.43,50,-12272.85,24644.13,49,0.2364,0.3058,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.3952,0.76,-12272.48,24645.43,50,-12272.85,24644.13,49,0.2365,0.3056,Convergence/flat likelihood
