replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.4469,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2424,0.0996,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4467,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2423,0.0995,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.4468,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2426,0.0996,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.4469,1.68,-4878.19,9824.8,34,-4878.48,9823.36,33,0.2428,0.0995,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.4468,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2425,0.0996,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.4467,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2427,0.0996,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.4468,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2427,0.0996,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.4466,1.68,-4878.18,9824.8,34,-4878.47,9823.35,33,0.2428,0.0996,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.4467,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2428,0.0996,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.447,1.68,-4878.19,9824.8,34,-4878.47,9823.35,33,0.2424,0.0995,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.4468,1.69,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2427,0.0996,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.4467,1.68,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2425,0.0996,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.4468,1.68,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2425,0.0995,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.447,1.67,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2427,0.0995,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.4475,1.67,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2425,0.0996,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.4467,1.69,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2426,0.0996,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.4467,1.69,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2425,0.0995,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.4468,1.69,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2422,0.0998,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.4464,1.69,-4878.19,9828.85,36,-4878.48,9827.41,35,0.2426,0.0994,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.4471,1.68,-4878.19,9828.85,36,-4878.47,9827.4,35,0.2425,0.0996,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,1.0,1.52,-4879.81,9836.15,38,-4878.47,9831.46,37,0.2424,0.0996,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,1.0,1.52,-4879.8,9836.14,38,-4878.47,9831.46,37,0.2428,0.0995,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.4467,1.67,-4878.18,9832.91,38,-4878.47,9831.46,37,0.2424,0.0995,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,1.0,1.52,-4879.8,9836.15,38,-4878.47,9831.46,37,0.2426,0.0994,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.4606,1.52,-4879.8,9836.14,38,-4880.08,9834.66,37,0.2425,0.0996,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,1.0,1.52,-4879.81,9836.15,38,-4878.47,9831.46,37,0.2427,0.0995,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,1.0,1.52,-4879.8,9836.14,38,-4878.47,9831.46,37,0.2426,0.0994,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.4465,1.69,-4878.19,9832.91,38,-4878.47,9831.46,37,0.2428,0.0997,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.4611,1.51,-4879.8,9836.14,38,-4880.08,9834.66,37,0.2424,0.0995,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.4467,1.69,-4878.19,9832.91,38,-4878.47,9831.46,37,0.2427,0.0996,Convergence/flat likelihood; Collapsed rate class
