model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,105.3,0.063,SRV,1
alternative,reference,Negative selection,0.218,99.704,SRV,1
alternative,reference,Negative selection,0.22,0.233,SRV,1
alternative,test,Diversifying selection,179.105,0.063,SRV,1
alternative,test,Diversifying selection,105.3,0.063,SRV,1
alternative,test,Negative selection,0.183,99.704,SRV,1
alternative,test,Negative selection,0.185,0.233,SRV,1
alternative,test,Negative selection,0.218,99.704,SRV,1
alternative,test,Negative selection,0.22,0.233,SRV,1
null,reference,Diversifying selection,100.33,0.067,SRV,1
null,reference,Negative selection,0.209,0.294,SRV,1
null,reference,Negative selection,0.211,99.639,SRV,1
null,test,Diversifying selection,100.33,0.067,SRV,1
null,test,Negative selection,0.209,0.294,SRV,1
null,test,Negative selection,0.211,99.639,SRV,1
alternative,reference,Diversifying selection,105.259,0.063,SRV,2
alternative,reference,Negative selection,0.21,6.253,SRV,2
alternative,reference,Negative selection,0.218,93.684,SRV,2
alternative,test,Diversifying selection,182.643,0.063,SRV,2
alternative,test,Diversifying selection,105.259,0.063,SRV,2
alternative,test,Negative selection,0.175,6.253,SRV,2
alternative,test,Negative selection,0.182,93.684,SRV,2
alternative,test,Negative selection,0.21,6.253,SRV,2
alternative,test,Negative selection,0.218,93.684,SRV,2
null,reference,Diversifying selection,100.839,0.067,SRV,2
null,reference,Negative selection,0.211,6.456,SRV,2
null,reference,Negative selection,0.211,93.477,SRV,2
null,test,Diversifying selection,100.839,0.067,SRV,2
null,test,Negative selection,0.211,6.456,SRV,2
null,test,Negative selection,0.211,93.477,SRV,2
alternative,reference,Diversifying selection,103.34,0.063,SRV,3
alternative,reference,Negative selection,0.218,99.704,SRV,3
alternative,reference,Negative selection,0.219,0.232,SRV,3
alternative,test,Diversifying selection,176.321,0.063,SRV,3
alternative,test,Diversifying selection,103.34,0.063,SRV,3
alternative,test,Negative selection,0.183,99.704,SRV,3
alternative,test,Negative selection,0.184,0.232,SRV,3
alternative,test,Negative selection,0.218,99.704,SRV,3
alternative,test,Negative selection,0.219,0.232,SRV,3
null,reference,Diversifying selection,100.237,0.067,SRV,3
null,reference,Negative selection,0.211,99.633,SRV,3
null,reference,Negative selection,0.211,0.3,SRV,3
null,test,Diversifying selection,100.237,0.067,SRV,3
null,test,Negative selection,0.211,99.633,SRV,3
null,test,Negative selection,0.211,0.3,SRV,3
alternative,reference,Diversifying selection,105.365,0.063,SRV,4
alternative,reference,Negative selection,0.215,0.63,SRV,4
alternative,reference,Negative selection,0.218,99.308,SRV,4
alternative,test,Diversifying selection,182.616,0.063,SRV,4
alternative,test,Diversifying selection,105.365,0.063,SRV,4
alternative,test,Negative selection,0.179,0.63,SRV,4
alternative,test,Negative selection,0.182,99.308,SRV,4
alternative,test,Negative selection,0.215,0.63,SRV,4
alternative,test,Negative selection,0.218,99.308,SRV,4
null,reference,Diversifying selection,100.7,0.067,SRV,4
null,reference,Negative selection,0.211,99.265,SRV,4
null,reference,Negative selection,0.212,0.668,SRV,4
null,test,Diversifying selection,100.7,0.067,SRV,4
null,test,Negative selection,0.211,99.265,SRV,4
null,test,Negative selection,0.212,0.668,SRV,4
alternative,reference,Diversifying selection,104.738,0.063,SRV,5
alternative,reference,Negative selection,0.218,99.729,SRV,5
alternative,reference,Negative selection,0.229,0.208,SRV,5
alternative,test,Diversifying selection,179.706,0.063,SRV,5
alternative,test,Diversifying selection,104.738,0.063,SRV,5
alternative,test,Negative selection,0.182,99.729,SRV,5
alternative,test,Negative selection,0.193,0.208,SRV,5
alternative,test,Negative selection,0.218,99.729,SRV,5
alternative,test,Negative selection,0.229,0.208,SRV,5
null,reference,Diversifying selection,100.664,0.067,SRV,5
null,reference,Negative selection,0.211,99.613,SRV,5
null,reference,Negative selection,0.212,0.32,SRV,5
null,test,Diversifying selection,100.664,0.067,SRV,5
null,test,Negative selection,0.211,99.613,SRV,5
null,test,Negative selection,0.212,0.32,SRV,5
alternative,reference,Diversifying selection,105.086,0.062,SRV,6
alternative,reference,Negative selection,0.213,0.846,SRV,6
alternative,reference,Negative selection,0.218,99.092,SRV,6
alternative,test,Diversifying selection,183.187,0.062,SRV,6
alternative,test,Diversifying selection,105.086,0.062,SRV,6
alternative,test,Negative selection,0.177,0.846,SRV,6
alternative,test,Negative selection,0.182,99.092,SRV,6
alternative,test,Negative selection,0.213,0.846,SRV,6
alternative,test,Negative selection,0.218,99.092,SRV,6
null,reference,Diversifying selection,100.862,0.067,SRV,6
null,reference,Negative selection,0.21,0.877,SRV,6
null,reference,Negative selection,0.211,99.057,SRV,6
null,test,Diversifying selection,100.862,0.067,SRV,6
null,test,Negative selection,0.21,0.877,SRV,6
null,test,Negative selection,0.211,99.057,SRV,6
alternative,reference,Diversifying selection,106.28,0.062,SRV,7
alternative,reference,Negative selection,0.218,99.659,SRV,7
alternative,reference,Negative selection,0.219,0.278,SRV,7
alternative,test,Diversifying selection,185.159,0.062,SRV,7
alternative,test,Diversifying selection,106.28,0.062,SRV,7
alternative,test,Negative selection,0.182,99.659,SRV,7
alternative,test,Negative selection,0.183,0.278,SRV,7
alternative,test,Negative selection,0.218,99.659,SRV,7
alternative,test,Negative selection,0.219,0.278,SRV,7
null,reference,Diversifying selection,99.613,0.067,SRV,7
null,reference,Negative selection,0.21,0.369,SRV,7
null,reference,Negative selection,0.211,99.564,SRV,7
null,test,Diversifying selection,99.613,0.067,SRV,7
null,test,Negative selection,0.21,0.369,SRV,7
null,test,Negative selection,0.211,99.564,SRV,7
alternative,reference,Diversifying selection,106.149,0.063,SRV,8
alternative,reference,Negative selection,0.213,2.073,SRV,8
alternative,reference,Negative selection,0.218,97.865,SRV,8
alternative,test,Diversifying selection,184.771,0.063,SRV,8
alternative,test,Diversifying selection,106.149,0.063,SRV,8
alternative,test,Negative selection,0.178,2.073,SRV,8
alternative,test,Negative selection,0.182,97.865,SRV,8
alternative,test,Negative selection,0.213,2.073,SRV,8
alternative,test,Negative selection,0.218,97.865,SRV,8
null,reference,Diversifying selection,101.005,0.067,SRV,8
null,reference,Negative selection,0.21,2.073,SRV,8
null,reference,Negative selection,0.211,97.861,SRV,8
null,test,Diversifying selection,101.005,0.067,SRV,8
null,test,Negative selection,0.21,2.073,SRV,8
null,test,Negative selection,0.211,97.861,SRV,8
alternative,reference,Diversifying selection,104.528,0.063,SRV,9
alternative,reference,Negative selection,0.217,99.619,SRV,9
alternative,reference,Negative selection,0.219,0.319,SRV,9
alternative,test,Diversifying selection,178.706,0.063,SRV,9
alternative,test,Diversifying selection,104.528,0.063,SRV,9
alternative,test,Negative selection,0.182,99.619,SRV,9
alternative,test,Negative selection,0.184,0.319,SRV,9
alternative,test,Negative selection,0.217,99.619,SRV,9
alternative,test,Negative selection,0.219,0.319,SRV,9
null,reference,Diversifying selection,100.567,0.067,SRV,9
null,reference,Negative selection,0.211,99.535,SRV,9
null,reference,Negative selection,0.212,0.399,SRV,9
null,test,Diversifying selection,100.567,0.067,SRV,9
null,test,Negative selection,0.211,99.535,SRV,9
null,test,Negative selection,0.212,0.399,SRV,9
alternative,reference,Diversifying selection,105.771,0.063,SRV,10
alternative,reference,Negative selection,0.218,98.524,SRV,10
alternative,reference,Negative selection,0.218,1.413,SRV,10
alternative,test,Diversifying selection,183.891,0.063,SRV,10
alternative,test,Diversifying selection,105.771,0.063,SRV,10
alternative,test,Negative selection,0.182,98.524,SRV,10
alternative,test,Negative selection,0.182,1.413,SRV,10
alternative,test,Negative selection,0.218,98.524,SRV,10
alternative,test,Negative selection,0.218,1.413,SRV,10
null,reference,Diversifying selection,100.513,0.067,SRV,10
null,reference,Negative selection,0.208,1.438,SRV,10
null,reference,Negative selection,0.211,98.495,SRV,10
null,test,Diversifying selection,100.513,0.067,SRV,10
null,test,Negative selection,0.208,1.438,SRV,10
null,test,Negative selection,0.211,98.495,SRV,10
alternative,reference,Diversifying selection,2.4,0.0,SRV+Double,1
alternative,reference,Negative selection,0.003,0.0,SRV+Double,1
alternative,reference,Negative selection,0.223,100.0,SRV+Double,1
alternative,test,Diversifying selection,2.712,0.0,SRV+Double,1
alternative,test,Diversifying selection,2.4,0.0,SRV+Double,1
alternative,test,Negative selection,0.001,0.0,SRV+Double,1
alternative,test,Negative selection,0.18,100.0,SRV+Double,1
alternative,test,Negative selection,0.003,0.0,SRV+Double,1
alternative,test,Negative selection,0.223,100.0,SRV+Double,1
null,reference,Diversifying selection,99.203,0.067,SRV+Double,1
null,reference,Negative selection,0.21,99.628,SRV+Double,1
null,reference,Negative selection,0.213,0.305,SRV+Double,1
null,test,Diversifying selection,99.203,0.067,SRV+Double,1
null,test,Negative selection,0.21,99.628,SRV+Double,1
null,test,Negative selection,0.213,0.305,SRV+Double,1
alternative,reference,Diversifying selection,2.175,0.0,SRV+Double,2
alternative,reference,Negative selection,0.217,62.101,SRV+Double,2
alternative,reference,Negative selection,0.232,37.899,SRV+Double,2
alternative,test,Diversifying selection,2.421,0.0,SRV+Double,2
alternative,test,Diversifying selection,2.175,0.0,SRV+Double,2
alternative,test,Negative selection,0.175,62.101,SRV+Double,2
alternative,test,Negative selection,0.19,37.899,SRV+Double,2
alternative,test,Negative selection,0.217,62.101,SRV+Double,2
alternative,test,Negative selection,0.232,37.899,SRV+Double,2
null,reference,Diversifying selection,5.18,0.0,SRV+Double,2
null,reference,Negative selection,0.213,0.001,SRV+Double,2
null,reference,Negative selection,0.215,99.999,SRV+Double,2
null,test,Diversifying selection,5.18,0.0,SRV+Double,2
null,test,Negative selection,0.213,0.001,SRV+Double,2
null,test,Negative selection,0.215,99.999,SRV+Double,2
alternative,reference,Diversifying selection,2.508,0.0,SRV+Double,3
alternative,reference,Negative selection,0.213,43.366,SRV+Double,3
alternative,reference,Negative selection,0.231,56.634,SRV+Double,3
alternative,test,Diversifying selection,2.85,0.0,SRV+Double,3
alternative,test,Diversifying selection,2.508,0.0,SRV+Double,3
alternative,test,Negative selection,0.172,43.366,SRV+Double,3
alternative,test,Negative selection,0.189,56.634,SRV+Double,3
alternative,test,Negative selection,0.213,43.366,SRV+Double,3
alternative,test,Negative selection,0.231,56.634,SRV+Double,3
null,reference,Diversifying selection,99.641,0.067,SRV+Double,3
null,reference,Negative selection,0.21,53.131,SRV+Double,3
null,reference,Negative selection,0.211,46.802,SRV+Double,3
null,test,Diversifying selection,99.641,0.067,SRV+Double,3
null,test,Negative selection,0.21,53.131,SRV+Double,3
null,test,Negative selection,0.211,46.802,SRV+Double,3
alternative,reference,Diversifying selection,105.202,0.063,SRV+Double,4
alternative,reference,Negative selection,0.214,71.08,SRV+Double,4
alternative,reference,Negative selection,0.225,28.857,SRV+Double,4
alternative,test,Diversifying selection,180.331,0.063,SRV+Double,4
alternative,test,Diversifying selection,105.202,0.063,SRV+Double,4
alternative,test,Negative selection,0.179,71.08,SRV+Double,4
alternative,test,Negative selection,0.189,28.857,SRV+Double,4
alternative,test,Negative selection,0.214,71.08,SRV+Double,4
alternative,test,Negative selection,0.225,28.857,SRV+Double,4
null,reference,Diversifying selection,101.337,0.067,SRV+Double,4
null,reference,Negative selection,0.207,30.853,SRV+Double,4
null,reference,Negative selection,0.213,69.08,SRV+Double,4
null,test,Diversifying selection,101.337,0.067,SRV+Double,4
null,test,Negative selection,0.207,30.853,SRV+Double,4
null,test,Negative selection,0.213,69.08,SRV+Double,4
alternative,reference,Diversifying selection,105.235,0.063,SRV+Double,5
alternative,reference,Negative selection,0.215,88.632,SRV+Double,5
alternative,reference,Negative selection,0.23,11.305,SRV+Double,5
alternative,test,Diversifying selection,178.538,0.063,SRV+Double,5
alternative,test,Diversifying selection,105.235,0.063,SRV+Double,5
alternative,test,Negative selection,0.181,88.632,SRV+Double,5
alternative,test,Negative selection,0.195,11.305,SRV+Double,5
alternative,test,Negative selection,0.215,88.632,SRV+Double,5
alternative,test,Negative selection,0.23,11.305,SRV+Double,5
null,reference,Diversifying selection,99.388,0.067,SRV+Double,5
null,reference,Negative selection,0.207,11.639,SRV+Double,5
null,reference,Negative selection,0.211,88.294,SRV+Double,5
null,test,Diversifying selection,99.388,0.067,SRV+Double,5
null,test,Negative selection,0.207,11.639,SRV+Double,5
null,test,Negative selection,0.211,88.294,SRV+Double,5
alternative,reference,Diversifying selection,1.931,0.0,SRV+Double,6
alternative,reference,Negative selection,0.216,59.131,SRV+Double,6
alternative,reference,Negative selection,0.234,40.869,SRV+Double,6
alternative,test,Diversifying selection,2.118,0.0,SRV+Double,6
alternative,test,Diversifying selection,1.931,0.0,SRV+Double,6
alternative,test,Negative selection,0.174,59.131,SRV+Double,6
alternative,test,Negative selection,0.191,40.869,SRV+Double,6
alternative,test,Negative selection,0.216,59.131,SRV+Double,6
alternative,test,Negative selection,0.234,40.869,SRV+Double,6
null,reference,Diversifying selection,3.982,0.0,SRV+Double,6
null,reference,Negative selection,0.214,84.111,SRV+Double,6
null,reference,Negative selection,0.222,15.889,SRV+Double,6
null,test,Diversifying selection,3.982,0.0,SRV+Double,6
null,test,Negative selection,0.214,84.111,SRV+Double,6
null,test,Negative selection,0.222,15.889,SRV+Double,6
alternative,reference,Diversifying selection,105.59,0.063,SRV+Double,7
alternative,reference,Negative selection,0.213,11.377,SRV+Double,7
alternative,reference,Negative selection,0.219,88.56,SRV+Double,7
alternative,test,Diversifying selection,185.725,0.063,SRV+Double,7
alternative,test,Diversifying selection,105.59,0.063,SRV+Double,7
alternative,test,Negative selection,0.176,11.377,SRV+Double,7
alternative,test,Negative selection,0.183,88.56,SRV+Double,7
alternative,test,Negative selection,0.213,11.377,SRV+Double,7
alternative,test,Negative selection,0.219,88.56,SRV+Double,7
null,reference,Diversifying selection,100.586,0.067,SRV+Double,7
