replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.6735,1.11,-4878.39,9825.2,34,-4878.47,9823.35,33,0.2495,0.185,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.6728,1.12,-4878.39,9825.2,34,-4878.47,9823.35,33,0.2493,0.1853,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.6717,1.12,-4878.39,9825.2,34,-4878.48,9823.36,33,0.2494,0.1851,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.6729,1.12,-4878.39,9825.2,34,-4878.47,9823.35,33,0.2491,0.1851,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.6718,1.12,-4878.39,9825.2,34,-4878.47,9823.35,33,0.2495,0.1851,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.6722,1.12,-4878.39,9825.2,34,-4878.47,9823.35,33,0.2492,0.1851,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.6725,1.12,-4878.39,9825.2,34,-4878.47,9823.35,33,0.2497,0.1855,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.6717,1.12,-4878.38,9825.2,34,-4878.47,9823.35,33,0.2491,0.185,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.6717,1.12,-4878.38,9825.2,34,-4878.47,9823.35,33,0.2496,0.185,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.6719,1.12,-4878.38,9825.2,34,-4878.47,9823.35,33,0.2493,0.1854,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,1.0,1.14,-4879.81,9832.11,36,-4878.47,9827.4,35,0.2497,0.1855,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.6055,1.14,-4879.81,9832.11,36,-4879.95,9830.35,35,0.2486,0.185,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,1.0,1.14,-4879.82,9832.11,36,-4878.47,9827.4,35,0.2488,0.1851,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.6722,1.12,-4878.39,9829.25,36,-4878.47,9827.4,35,0.2491,0.1851,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.6727,1.11,-4878.39,9829.25,36,-4878.47,9827.4,35,0.2497,0.1855,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.6074,1.14,-4879.82,9832.11,36,-4879.95,9830.35,35,0.2491,0.1851,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.6732,1.12,-4878.39,9829.25,36,-4878.47,9827.4,35,0.2487,0.1852,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.6714,1.11,-4878.38,9829.25,36,-4878.47,9827.4,35,0.2494,0.1854,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,1.0,1.14,-4879.81,9832.1,36,-4878.47,9827.4,35,0.2494,0.185,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.6731,1.12,-4878.39,9829.25,36,-4878.48,9827.41,35,0.2489,0.185,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.6067,1.14,-4879.82,9836.17,38,-4879.95,9834.41,37,0.2489,0.1853,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.6067,1.14,-4879.82,9836.17,38,-4879.95,9834.4,37,0.248,0.1842,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,1.0,1.14,-4879.81,9836.16,38,-4878.47,9831.46,37,0.2497,0.1855,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.6723,1.12,-4878.39,9833.31,38,-4878.47,9831.46,37,0.2489,0.1851,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.6726,1.12,-4878.39,9833.31,38,-4878.47,9831.46,37,0.2492,0.1852,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.6064,1.14,-4879.82,9836.17,38,-4879.95,9834.4,37,0.2485,0.185,Convergence/flat likelihood
7,SRV+Double+Triple,1.0,1.14,-4879.81,9836.16,38,-4878.47,9831.46,37,0.2493,0.1851,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.6076,1.14,-4879.82,9836.17,38,-4879.95,9834.4,37,0.2491,0.1851,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.6719,1.12,-4878.38,9833.31,38,-4878.47,9831.46,37,0.2493,0.185,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.6725,1.12,-4878.39,9833.31,38,-4878.47,9831.46,37,0.2498,0.1854,Convergence/flat likelihood; Collapsed rate class
