model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.024,33.684,SRV,1
null,2,0.024,30.591,SRV,1
null,3,2.756,35.725,SRV,1
null,1,0.023,32.121,SRV,2
null,2,0.024,32.122,SRV,2
null,3,2.754,35.757,SRV,2
null,1,0.023,33.778,SRV,3
null,2,0.024,30.449,SRV,3
null,3,2.753,35.773,SRV,3
null,1,0.024,35.199,SRV,4
null,2,0.024,29.07,SRV,4
null,3,2.756,35.731,SRV,4
null,1,0.024,30.217,SRV,5
null,2,0.024,34.062,SRV,5
null,3,2.756,35.72,SRV,5
null,1,0.024,35.356,SRV,6
null,2,0.024,28.901,SRV,6
null,3,2.755,35.743,SRV,6
null,1,0.024,33.004,SRV,7
null,2,0.024,31.283,SRV,7
null,3,2.757,35.712,SRV,7
null,1,0.024,34.216,SRV,8
null,2,0.024,30.04,SRV,8
null,3,2.755,35.744,SRV,8
null,1,0.024,33.737,SRV,9
null,2,0.024,30.515,SRV,9
null,3,2.755,35.749,SRV,9
null,1,0.023,32.71,SRV,10
null,2,0.024,31.537,SRV,10
null,3,2.754,35.752,SRV,10
