run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,2,alternative,reference,omega,Diversifying selection,1.434,,2.407
SRV,2,alternative,reference,omega,Negative selection,0.177,,87.596
SRV,2,alternative,reference,omega,Negative selection,0.239,,9.997
SRV,2,alternative,test,omega,Diversifying selection,38.941,,2.407
SRV,2,alternative,test,omega,Diversifying selection,1.434,,2.407
SRV,2,alternative,test,omega,Negative selection,0.0,,87.596
SRV,2,alternative,test,omega,Negative selection,0.0,,9.997
SRV,2,alternative,test,omega,Negative selection,0.177,,87.596
SRV,2,alternative,test,omega,Negative selection,0.239,,9.997
SRV,2,null,reference,omega,Diversifying selection,1.137,,2.673
SRV,2,null,reference,omega,Negative selection,0.179,,86.27
SRV,2,null,reference,omega,Negative selection,0.289,,11.056
SRV,2,null,test,omega,Diversifying selection,1.137,,2.673
SRV,2,null,test,omega,Negative selection,0.179,,86.27
SRV,2,null,test,omega,Negative selection,0.289,,11.056
SRV,3,alternative,reference,omega,Diversifying selection,101.22,,0.063
SRV,3,alternative,reference,omega,Negative selection,0.206,,98.358
SRV,3,alternative,reference,omega,Negative selection,0.216,,1.579
SRV,3,alternative,test,omega,Diversifying selection,1.809,,0.063
SRV,3,alternative,test,omega,Diversifying selection,101.22,,0.063
SRV,3,alternative,test,omega,Negative selection,0.816,,98.358
SRV,3,alternative,test,omega,Negative selection,0.821,,1.579
SRV,3,alternative,test,omega,Negative selection,0.206,,98.358
SRV,3,alternative,test,omega,Negative selection,0.216,,1.579
SRV,3,null,reference,omega,Diversifying selection,99.266,,0.067
SRV,3,null,reference,omega,Negative selection,0.21,,2.049
SRV,3,null,reference,omega,Negative selection,0.21,,97.884
SRV,3,null,test,omega,Diversifying selection,99.266,,0.067
SRV,3,null,test,omega,Negative selection,0.21,,2.049
SRV,3,null,test,omega,Negative selection,0.21,,97.884
SRV,4,alternative,reference,omega,Diversifying selection,100.744,,0.063
SRV,4,alternative,reference,omega,Negative selection,0.206,,96.737
SRV,4,alternative,reference,omega,Negative selection,0.211,,3.2
SRV,4,alternative,test,omega,Diversifying selection,1.843,,0.063
SRV,4,alternative,test,omega,Diversifying selection,100.744,,0.063
SRV,4,alternative,test,omega,Negative selection,0.811,,96.737
SRV,4,alternative,test,omega,Negative selection,0.814,,3.2
SRV,4,alternative,test,omega,Negative selection,0.206,,96.737
SRV,4,alternative,test,omega,Negative selection,0.211,,3.2
SRV,4,null,reference,omega,Diversifying selection,99.03,,0.067
SRV,4,null,reference,omega,Negative selection,0.209,,3.48
SRV,4,null,reference,omega,Negative selection,0.21,,96.453
SRV,4,null,test,omega,Diversifying selection,99.03,,0.067
SRV,4,null,test,omega,Negative selection,0.209,,3.48
SRV,4,null,test,omega,Negative selection,0.21,,96.453
SRV,5,alternative,reference,omega,Diversifying selection,98.668,,0.063
SRV,5,alternative,reference,omega,Negative selection,0.201,,0.119
SRV,5,alternative,reference,omega,Negative selection,0.206,,99.817
SRV,5,alternative,test,omega,Diversifying selection,1.793,,0.063
SRV,5,alternative,test,omega,Diversifying selection,98.668,,0.063
SRV,5,alternative,test,omega,Negative selection,0.816,,0.119
SRV,5,alternative,test,omega,Negative selection,0.818,,99.817
SRV,5,alternative,test,omega,Negative selection,0.201,,0.119
SRV,5,alternative,test,omega,Negative selection,0.206,,99.817
SRV,5,null,reference,omega,Diversifying selection,99.058,,0.067
SRV,5,null,reference,omega,Negative selection,0.21,,99.821
SRV,5,null,reference,omega,Negative selection,0.214,,0.112
SRV,5,null,test,omega,Diversifying selection,99.058,,0.067
SRV,5,null,test,omega,Negative selection,0.21,,99.821
SRV,5,null,test,omega,Negative selection,0.214,,0.112
SRV,6,alternative,reference,omega,Diversifying selection,102.054,,0.063
SRV,6,alternative,reference,omega,Negative selection,0.205,,4.245
SRV,6,alternative,reference,omega,Negative selection,0.206,,95.692
SRV,6,alternative,test,omega,Diversifying selection,1.836,,0.063
SRV,6,alternative,test,omega,Diversifying selection,102.054,,0.063
SRV,6,alternative,test,omega,Negative selection,0.812,,4.245
SRV,6,alternative,test,omega,Negative selection,0.813,,95.692
SRV,6,alternative,test,omega,Negative selection,0.205,,4.245
SRV,6,alternative,test,omega,Negative selection,0.206,,95.692
SRV,6,null,reference,omega,Diversifying selection,99.346,,0.067
SRV,6,null,reference,omega,Negative selection,0.21,,95.454
SRV,6,null,reference,omega,Negative selection,0.212,,4.479
SRV,6,null,test,omega,Diversifying selection,99.346,,0.067
SRV,6,null,test,omega,Negative selection,0.21,,95.454
SRV,6,null,test,omega,Negative selection,0.212,,4.479
SRV,7,alternative,reference,omega,Diversifying selection,100.72,,0.063
SRV,7,alternative,reference,omega,Negative selection,0.206,,99.046
SRV,7,alternative,reference,omega,Negative selection,0.211,,0.891
SRV,7,alternative,test,omega,Diversifying selection,1.813,,0.063
SRV,7,alternative,test,omega,Diversifying selection,100.72,,0.063
SRV,7,alternative,test,omega,Negative selection,0.816,,99.046
SRV,7,alternative,test,omega,Negative selection,0.818,,0.891
SRV,7,alternative,test,omega,Negative selection,0.206,,99.046
SRV,7,alternative,test,omega,Negative selection,0.211,,0.891
SRV,7,null,reference,omega,Diversifying selection,99.035,,0.067
SRV,7,null,reference,omega,Negative selection,0.21,,99.011
SRV,7,null,reference,omega,Negative selection,0.212,,0.922
SRV,7,null,test,omega,Diversifying selection,99.035,,0.067
SRV,7,null,test,omega,Negative selection,0.21,,99.011
SRV,7,null,test,omega,Negative selection,0.212,,0.922
SRV,8,alternative,reference,omega,Diversifying selection,102.548,,0.063
SRV,8,alternative,reference,omega,Negative selection,0.206,,5.545
SRV,8,alternative,reference,omega,Negative selection,0.206,,94.393
SRV,8,alternative,test,omega,Diversifying selection,1.81,,0.063
SRV,8,alternative,test,omega,Diversifying selection,102.548,,0.063
SRV,8,alternative,test,omega,Negative selection,0.817,,5.545
SRV,8,alternative,test,omega,Negative selection,0.817,,94.393
SRV,8,alternative,test,omega,Negative selection,0.206,,5.545
SRV,8,alternative,test,omega,Negative selection,0.206,,94.393
SRV,8,null,reference,omega,Diversifying selection,99.851,,0.067
SRV,8,null,reference,omega,Negative selection,0.209,,5.709
SRV,8,null,reference,omega,Negative selection,0.211,,94.224
SRV,8,null,test,omega,Diversifying selection,99.851,,0.067
SRV,8,null,test,omega,Negative selection,0.209,,5.709
SRV,8,null,test,omega,Negative selection,0.211,,94.224
SRV,9,alternative,reference,omega,Diversifying selection,101.251,,0.063
SRV,9,alternative,reference,omega,Negative selection,0.206,,99.749
SRV,9,alternative,reference,omega,Negative selection,0.207,,0.188
SRV,9,alternative,test,omega,Diversifying selection,1.825,,0.063
SRV,9,alternative,test,omega,Diversifying selection,101.251,,0.063
SRV,9,alternative,test,omega,Negative selection,0.814,,99.749
SRV,9,alternative,test,omega,Negative selection,0.814,,0.188
SRV,9,alternative,test,omega,Negative selection,0.206,,99.749
SRV,9,alternative,test,omega,Negative selection,0.207,,0.188
SRV,9,null,reference,omega,Diversifying selection,99.338,,0.067
SRV,9,null,reference,omega,Negative selection,0.209,,0.178
SRV,9,null,reference,omega,Negative selection,0.21,,99.755
SRV,9,null,test,omega,Diversifying selection,99.338,,0.067
SRV,9,null,test,omega,Negative selection,0.209,,0.178
SRV,9,null,test,omega,Negative selection,0.21,,99.755
SRV,10,alternative,reference,omega,Diversifying selection,101.525,,0.063
SRV,10,alternative,reference,omega,Negative selection,0.207,,0.184
SRV,10,alternative,reference,omega,Negative selection,0.207,,99.754
SRV,10,alternative,test,omega,Diversifying selection,1.812,,0.063
SRV,10,alternative,test,omega,Diversifying selection,101.525,,0.063
SRV,10,alternative,test,omega,Negative selection,0.816,,0.184
SRV,10,alternative,test,omega,Negative selection,0.816,,99.754
SRV,10,alternative,test,omega,Negative selection,0.207,,0.184
SRV,10,alternative,test,omega,Negative selection,0.207,,99.754
SRV,10,null,reference,omega,Diversifying selection,100.18,,0.067
SRV,10,null,reference,omega,Negative selection,0.21,,99.756
SRV,10,null,reference,omega,Negative selection,0.212,,0.177
SRV,10,null,test,omega,Diversifying selection,100.18,,0.067
SRV,10,null,test,omega,Negative selection,0.21,,99.756
SRV,10,null,test,omega,Negative selection,0.212,,0.177
SRV+Double,1,alternative,reference,omega,Diversifying selection,2.235,,0.0
SRV+Double,1,alternative,reference,omega,Negative selection,0.208,,84.478
SRV+Double,1,alternative,reference,omega,Negative selection,0.223,,15.522
SRV+Double,1,alternative,test,omega,Diversifying selection,1.112,,0.0
SRV+Double,1,alternative,test,omega,Diversifying selection,2.235,,0.0
SRV+Double,1,alternative,test,omega,Negative selection,0.813,,84.478
SRV+Double,1,alternative,test,omega,Negative selection,0.82,,15.522
SRV+Double,1,alternative,test,omega,Negative selection,0.208,,84.478
SRV+Double,1,alternative,test,omega,Negative selection,0.223,,15.522
SRV+Double,1,null,reference,omega,Diversifying selection,99.443,,0.067
SRV+Double,1,null,reference,omega,Negative selection,0.21,,36.684
SRV+Double,1,null,reference,omega,Negative selection,0.21,,63.249
SRV+Double,1,null,test,omega,Diversifying selection,99.443,,0.067
SRV+Double,1,null,test,omega,Negative selection,0.21,,36.684
SRV+Double,1,null,test,omega,Negative selection,0.21,,63.249
SRV+Double,2,alternative,reference,omega,Diversifying selection,102.216,,0.063
SRV+Double,2,alternative,reference,omega,Negative selection,0.197,,24.638
SRV+Double,2,alternative,reference,omega,Negative selection,0.21,,75.3
SRV+Double,2,alternative,test,omega,Diversifying selection,1.811,,0.063
SRV+Double,2,alternative,test,omega,Diversifying selection,102.216,,0.063
SRV+Double,2,alternative,test,omega,Negative selection,0.812,,24.638
SRV+Double,2,alternative,test,omega,Negative selection,0.819,,75.3
SRV+Double,2,alternative,test,omega,Negative selection,0.197,,24.638
SRV+Double,2,alternative,test,omega,Negative selection,0.21,,75.3
SRV+Double,2,null,reference,omega,Diversifying selection,99.536,,0.067
SRV+Double,2,null,reference,omega,Negative selection,0.21,,73.454
SRV+Double,2,null,reference,omega,Negative selection,0.211,,26.479
SRV+Double,2,null,test,omega,Diversifying selection,99.536,,0.067
SRV+Double,2,null,test,omega,Negative selection,0.21,,73.454
SRV+Double,2,null,test,omega,Negative selection,0.211,,26.479
SRV+Double,3,alternative,reference,omega,Diversifying selection,101.241,,0.063
SRV+Double,3,alternative,reference,omega,Negative selection,0.198,,15.279
SRV+Double,3,alternative,reference,omega,Negative selection,0.208,,84.658
SRV+Double,3,alternative,test,omega,Diversifying selection,1.809,,0.063
SRV+Double,3,alternative,test,omega,Diversifying selection,101.241,,0.063
SRV+Double,3,alternative,test,omega,Negative selection,0.812,,15.279
SRV+Double,3,alternative,test,omega,Negative selection,0.818,,84.658
SRV+Double,3,alternative,test,omega,Negative selection,0.198,,15.279
SRV+Double,3,alternative,test,omega,Negative selection,0.208,,84.658
SRV+Double,3,null,reference,omega,Diversifying selection,96.573,,0.067
SRV+Double,3,null,reference,omega,Negative selection,0.209,,91.302
SRV+Double,3,null,reference,omega,Negative selection,0.217,,8.631
SRV+Double,3,null,test,omega,Diversifying selection,96.573,,0.067
SRV+Double,3,null,test,omega,Negative selection,0.209,,91.302
SRV+Double,3,null,test,omega,Negative selection,0.217,,8.631
SRV+Double,4,alternative,reference,omega,Diversifying selection,1.657,,0.0
SRV+Double,4,alternative,reference,omega,Negative selection,0.193,,0.0
SRV+Double,4,alternative,reference,omega,Negative selection,0.211,,100.0
SRV+Double,4,alternative,test,omega,Diversifying selection,1.069,,0.0
SRV+Double,4,alternative,test,omega,Diversifying selection,1.657,,0.0
SRV+Double,4,alternative,test,omega,Negative selection,0.806,,0.0
SRV+Double,4,alternative,test,omega,Negative selection,0.815,,100.0
SRV+Double,4,alternative,test,omega,Negative selection,0.193,,0.0
SRV+Double,4,alternative,test,omega,Negative selection,0.211,,100.0
SRV+Double,4,null,reference,omega,Diversifying selection,99.033,,0.067
SRV+Double,4,null,reference,omega,Negative selection,0.21,,99.699
SRV+Double,4,null,reference,omega,Negative selection,0.211,,0.234
SRV+Double,4,null,test,omega,Diversifying selection,99.033,,0.067
SRV+Double,4,null,test,omega,Negative selection,0.21,,99.699
SRV+Double,4,null,test,omega,Negative selection,0.211,,0.234
SRV+Double,5,alternative,reference,omega,Diversifying selection,101.249,,0.063
SRV+Double,5,alternative,reference,omega,Negative selection,0.203,,20.146
SRV+Double,5,alternative,reference,omega,Negative selection,0.208,,79.791
SRV+Double,5,alternative,test,omega,Diversifying selection,1.805,,0.063
SRV+Double,5,alternative,test,omega,Diversifying selection,101.249,,0.063
SRV+Double,5,alternative,test,omega,Negative selection,0.816,,20.146
SRV+Double,5,alternative,test,omega,Negative selection,0.818,,79.791
SRV+Double,5,alternative,test,omega,Negative selection,0.203,,20.146
SRV+Double,5,alternative,test,omega,Negative selection,0.208,,79.791
SRV+Double,5,null,reference,omega,Diversifying selection,100.804,,0.067
SRV+Double,5,null,reference,omega,Negative selection,0.209,,78.443
SRV+Double,5,null,reference,omega,Negative selection,0.215,,21.49
SRV+Double,5,null,test,omega,Diversifying selection,100.804,,0.067
SRV+Double,5,null,test,omega,Negative selection,0.209,,78.443
SRV+Double,5,null,test,omega,Negative selection,0.215,,21.49
SRV+Double,6,alternative,reference,omega,Diversifying selection,101.342,,0.063
SRV+Double,6,alternative,reference,omega,Negative selection,0.206,,87.46
SRV+Double,6,alternative,reference,omega,Negative selection,0.21,,12.477
SRV+Double,6,alternative,test,omega,Diversifying selection,1.799,,0.063
SRV+Double,6,alternative,test,omega,Diversifying selection,101.342,,0.063
SRV+Double,6,alternative,test,omega,Negative selection,0.818,,87.46
SRV+Double,6,alternative,test,omega,Negative selection,0.82,,12.477
SRV+Double,6,alternative,test,omega,Negative selection,0.206,,87.46
SRV+Double,6,alternative,test,omega,Negative selection,0.21,,12.477
SRV+Double,6,null,reference,omega,Diversifying selection,98.967,,0.067
SRV+Double,6,null,reference,omega,Negative selection,0.209,,87.702
SRV+Double,6,null,reference,omega,Negative selection,0.22,,12.231
SRV+Double,6,null,test,omega,Diversifying selection,98.967,,0.067
SRV+Double,6,null,test,omega,Negative selection,0.209,,87.702
SRV+Double,6,null,test,omega,Negative selection,0.22,,12.231
SRV+Double,7,alternative,reference,omega,Diversifying selection,100.888,,0.063
SRV+Double,7,alternative,reference,omega,Negative selection,0.201,,25.017
SRV+Double,7,alternative,reference,omega,Negative selection,0.209,,74.92
SRV+Double,7,alternative,test,omega,Diversifying selection,1.798,,0.063
SRV+Double,7,alternative,test,omega,Diversifying selection,100.888,,0.063
SRV+Double,7,alternative,test,omega,Negative selection,0.815,,25.017
SRV+Double,7,alternative,test,omega,Negative selection,0.82,,74.92
SRV+Double,7,alternative,test,omega,Negative selection,0.201,,25.017
SRV+Double,7,alternative,test,omega,Negative selection,0.209,,74.92
SRV+Double,7,null,reference,omega,Diversifying selection,100.649,,0.067
SRV+Double,7,null,reference,omega,Negative selection,0.209,,73.382
SRV+Double,7,null,reference,omega,Negative selection,0.213,,26.551
SRV+Double,7,null,test,omega,Diversifying selection,100.649,,0.067
SRV+Double,7,null,test,omega,Negative selection,0.209,,73.382
SRV+Double,7,null,test,omega,Negative selection,0.213,,26.551
SRV+Double,8,alternative,reference,omega,Diversifying selection,101.208,,0.063
SRV+Double,8,alternative,reference,omega,Negative selection,0.197,,24.009
SRV+Double,8,alternative,reference,omega,Negative selection,0.21,,75.928
SRV+Double,8,alternative,test,omega,Diversifying selection,1.819,,0.063
SRV+Double,8,alternative,test,omega,Diversifying selection,101.208,,0.063
SRV+Double,8,alternative,test,omega,Negative selection,0.81,,24.009
SRV+Double,8,alternative,test,omega,Negative selection,0.817,,75.928
SRV+Double,8,alternative,test,omega,Negative selection,0.197,,24.009
SRV+Double,8,alternative,test,omega,Negative selection,0.21,,75.928
SRV+Double,8,null,reference,omega,Diversifying selection,100.96,,0.067
SRV+Double,8,null,reference,omega,Negative selection,0.21,,74.25
SRV+Double,8,null,reference,omega,Negative selection,0.21,,25.683
SRV+Double,8,null,test,omega,Diversifying selection,100.96,,0.067
SRV+Double,8,null,test,omega,Negative selection,0.21,,74.25
SRV+Double,8,null,test,omega,Negative selection,0.21,,25.683
SRV+Double,9,alternative,reference,omega,Diversifying selection,101.913,,0.063
SRV+Double,9,alternative,reference,omega,Negative selection,0.195,,20.525
SRV+Double,9,alternative,reference,omega,Negative selection,0.21,,79.413
SRV+Double,9,alternative,test,omega,Diversifying selection,1.82,,0.063
SRV+Double,9,alternative,test,omega,Diversifying selection,101.913,,0.063
SRV+Double,9,alternative,test,omega,Negative selection,0.809,,20.525
SRV+Double,9,alternative,test,omega,Negative selection,0.817,,79.413
SRV+Double,9,alternative,test,omega,Negative selection,0.195,,20.525
SRV+Double,9,alternative,test,omega,Negative selection,0.21,,79.413
SRV+Double,9,null,reference,omega,Diversifying selection,99.29,,0.067
SRV+Double,9,null,reference,omega,Negative selection,0.21,,78.015
SRV+Double,9,null,reference,omega,Negative selection,0.211,,21.917
SRV+Double,9,null,test,omega,Diversifying selection,99.29,,0.067
SRV+Double,9,null,test,omega,Negative selection,0.21,,78.015
SRV+Double,9,null,test,omega,Negative selection,0.211,,21.917
SRV+Double,10,alternative,reference,omega,Diversifying selection,101.489,,0.062
SRV+Double,10,alternative,reference,omega,Negative selection,0.206,,97.776
SRV+Double,10,alternative,reference,omega,Negative selection,0.207,,2.162
SRV+Double,10,alternative,test,omega,Diversifying selection,1.777,,0.062
SRV+Double,10,alternative,test,omega,Diversifying selection,101.489,,0.062
SRV+Double,10,alternative,test,omega,Negative selection,0.822,,97.776
SRV+Double,10,alternative,test,omega,Negative selection,0.822,,2.162
SRV+Double,10,alternative,test,omega,Negative selection,0.206,,97.776
SRV+Double,10,alternative,test,omega,Negative selection,0.207,,2.162
SRV+Double,10,null,reference,omega,Diversifying selection,99.769,,0.067
SRV+Double,10,null,reference,omega,Negative selection,0.21,,97.419
SRV+Double,10,null,reference,omega,Negative selection,0.213,,2.514
SRV+Double,10,null,test,omega,Diversifying selection,99.769,,0.067
SRV+Double,10,null,test,omega,Negative selection,0.21,,97.419
SRV+Double,10,null,test,omega,Negative selection,0.213,,2.514
SRV+Double+Triple,1,alternative,reference,omega,Diversifying selection,102.347,,0.063
SRV+Double+Triple,1,alternative,reference,omega,Negative selection,0.202,,5.33
SRV+Double+Triple,1,alternative,reference,omega,Negative selection,0.206,,94.608
SRV+Double+Triple,1,alternative,test,omega,Diversifying selection,1.817,,0.063
SRV+Double+Triple,1,alternative,test,omega,Diversifying selection,102.347,,0.063
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.814,,5.33
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.816,,94.608
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.202,,5.33
SRV+Double+Triple,1,alternative,test,omega,Negative selection,0.206,,94.608
SRV+Double+Triple,1,null,reference,omega,Diversifying selection,99.616,,0.067
SRV+Double+Triple,1,null,reference,omega,Negative selection,0.21,,94.508
SRV+Double+Triple,1,null,reference,omega,Negative selection,0.218,,5.425
SRV+Double+Triple,1,null,test,omega,Diversifying selection,99.616,,0.067
SRV+Double+Triple,1,null,test,omega,Negative selection,0.21,,94.508
SRV+Double+Triple,1,null,test,omega,Negative selection,0.218,,5.425
SRV+Double+Triple,2,alternative,reference,omega,Diversifying selection,2.382,,0.0
SRV+Double+Triple,2,alternative,reference,omega,Negative selection,0.203,,0.0
SRV+Double+Triple,2,alternative,reference,omega,Negative selection,0.21,,100.0
SRV+Double+Triple,2,alternative,test,omega,Diversifying selection,1.122,,0.0
SRV+Double+Triple,2,alternative,test,omega,Diversifying selection,2.382,,0.0
SRV+Double+Triple,2,alternative,test,omega,Negative selection,0.81,,0.0
SRV+Double+Triple,2,alternative,test,omega,Negative selection,0.814,,100.0
SRV+Double+Triple,2,alternative,test,omega,Negative selection,0.203,,0.0
SRV+Double+Triple,2,alternative,test,omega,Negative selection,0.21,,100.0
SRV+Double+Triple,2,null,reference,omega,Diversifying selection,99.541,,0.067
SRV+Double+Triple,2,null,reference,omega,Negative selection,0.21,,99.653
SRV+Double+Triple,2,null,reference,omega,Negative selection,0.212,,0.28
SRV+Double+Triple,2,null,test,omega,Diversifying selection,99.541,,0.067
SRV+Double+Triple,2,null,test,omega,Negative selection,0.21,,99.653
SRV+Double+Triple,2,null,test,omega,Negative selection,0.212,,0.28
SRV+Double+Triple,3,alternative,reference,omega,Diversifying selection,102.033,,0.063
SRV+Double+Triple,3,alternative,reference,omega,Negative selection,0.204,,7.943
SRV+Double+Triple,3,alternative,reference,omega,Negative selection,0.207,,91.995
SRV+Double+Triple,3,alternative,test,omega,Diversifying selection,1.807,,0.063
SRV+Double+Triple,3,alternative,test,omega,Diversifying selection,102.033,,0.063
SRV+Double+Triple,3,alternative,test,omega,Negative selection,0.816,,7.943
SRV+Double+Triple,3,alternative,test,omega,Negative selection,0.817,,91.995
SRV+Double+Triple,3,alternative,test,omega,Negative selection,0.204,,7.943
SRV+Double+Triple,3,alternative,test,omega,Negative selection,0.207,,91.995
SRV+Double+Triple,3,null,reference,omega,Diversifying selection,99.627,,0.067
SRV+Double+Triple,3,null,reference,omega,Negative selection,0.21,,91.951
SRV+Double+Triple,3,null,reference,omega,Negative selection,0.218,,7.982
SRV+Double+Triple,3,null,test,omega,Diversifying selection,99.627,,0.067
SRV+Double+Triple,3,null,test,omega,Negative selection,0.21,,91.951
SRV+Double+Triple,3,null,test,omega,Negative selection,0.218,,7.982
SRV+Double+Triple,4,alternative,reference,omega,Diversifying selection,2.276,,0.0
SRV+Double+Triple,4,alternative,reference,omega,Negative selection,0.196,,22.119
SRV+Double+Triple,4,alternative,reference,omega,Negative selection,0.215,,77.881
SRV+Double+Triple,4,alternative,test,omega,Diversifying selection,1.115,,0.0
SRV+Double+Triple,4,alternative,test,omega,Diversifying selection,2.276,,0.0
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.806,,22.119
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.816,,77.881
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.196,,22.119
SRV+Double+Triple,4,alternative,test,omega,Negative selection,0.215,,77.881
SRV+Double+Triple,4,null,reference,omega,Diversifying selection,98.876,,0.067
SRV+Double+Triple,4,null,reference,omega,Negative selection,0.21,,89.62
SRV+Double+Triple,4,null,reference,omega,Negative selection,0.214,,10.313
SRV+Double+Triple,4,null,test,omega,Diversifying selection,98.876,,0.067
SRV+Double+Triple,4,null,test,omega,Negative selection,0.21,,89.62
SRV+Double+Triple,4,null,test,omega,Negative selection,0.214,,10.313
SRV+Double+Triple,5,alternative,reference,omega,Diversifying selection,2.243,,0.0
SRV+Double+Triple,5,alternative,reference,omega,Negative selection,0.2,,0.0
SRV+Double+Triple,5,alternative,reference,omega,Negative selection,0.211,,100.0
SRV+Double+Triple,5,alternative,test,omega,Diversifying selection,1.112,,0.0
SRV+Double+Triple,5,alternative,test,omega,Diversifying selection,2.243,,0.0
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.809,,0.0
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.815,,100.0
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.2,,0.0
SRV+Double+Triple,5,alternative,test,omega,Negative selection,0.211,,100.0
SRV+Double+Triple,5,null,reference,omega,Diversifying selection,99.394,,0.067
SRV+Double+Triple,5,null,reference,omega,Negative selection,0.211,,99.562
SRV+Double+Triple,5,null,reference,omega,Negative selection,0.211,,0.372
SRV+Double+Triple,5,null,test,omega,Diversifying selection,99.394,,0.067
SRV+Double+Triple,5,null,test,omega,Negative selection,0.211,,99.562
SRV+Double+Triple,5,null,test,omega,Negative selection,0.211,,0.372
SRV+Double+Triple,6,alternative,reference,omega,Diversifying selection,1.04,,0.0
SRV+Double+Triple,6,alternative,reference,omega,Negative selection,0.196,,10.488
SRV+Double+Triple,6,alternative,reference,omega,Negative selection,0.213,,89.512
SRV+Double+Triple,6,alternative,test,omega,Diversifying selection,1.005,,0.0
SRV+Double+Triple,6,alternative,test,omega,Diversifying selection,1.04,,0.0
SRV+Double+Triple,6,alternative,test,omega,Negative selection,0.808,,10.488
SRV+Double+Triple,6,alternative,test,omega,Negative selection,0.816,,89.512
SRV+Double+Triple,6,alternative,test,omega,Negative selection,0.196,,10.488
SRV+Double+Triple,6,alternative,test,omega,Negative selection,0.213,,89.512
SRV+Double+Triple,6,null,reference,omega,Diversifying selection,2.069,,0.0
SRV+Double+Triple,6,null,reference,omega,Negative selection,0.21,,10.848
SRV+Double+Triple,6,null,reference,omega,Negative selection,0.216,,89.152
SRV+Double+Triple,6,null,test,omega,Diversifying selection,2.069,,0.0
SRV+Double+Triple,6,null,test,omega,Negative selection,0.21,,10.848
SRV+Double+Triple,6,null,test,omega,Negative selection,0.216,,89.152
SRV+Double+Triple,7,alternative,reference,omega,Diversifying selection,2.058,,0.0
SRV+Double+Triple,7,alternative,reference,omega,Negative selection,0.198,,24.716
SRV+Double+Triple,7,alternative,reference,omega,Negative selection,0.215,,75.284
SRV+Double+Triple,7,alternative,test,omega,Diversifying selection,1.099,,0.0
SRV+Double+Triple,7,alternative,test,omega,Diversifying selection,2.058,,0.0
SRV+Double+Triple,7,alternative,test,omega,Negative selection,0.808,,24.716
SRV+Double+Triple,7,alternative,test,omega,Negative selection,0.817,,75.284
SRV+Double+Triple,7,alternative,test,omega,Negative selection,0.198,,24.716
SRV+Double+Triple,7,alternative,test,omega,Negative selection,0.215,,75.284
SRV+Double+Triple,7,null,reference,omega,Diversifying selection,99.455,,0.067
SRV+Double+Triple,7,null,reference,omega,Negative selection,0.21,,81.404
SRV+Double+Triple,7,null,reference,omega,Negative selection,0.214,,18.529
SRV+Double+Triple,7,null,test,omega,Diversifying selection,99.455,,0.067
SRV+Double+Triple,7,null,test,omega,Negative selection,0.21,,81.404
SRV+Double+Triple,7,null,test,omega,Negative selection,0.214,,18.529
SRV+Double+Triple,8,alternative,reference,omega,Diversifying selection,102.126,,0.063
SRV+Double+Triple,8,alternative,reference,omega,Negative selection,0.205,,1.937
SRV+Double+Triple,8,alternative,reference,omega,Negative selection,0.207,,98.001
SRV+Double+Triple,8,alternative,test,omega,Diversifying selection,1.807,,0.063
SRV+Double+Triple,8,alternative,test,omega,Diversifying selection,102.126,,0.063
