model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,58.288,SRV,2
null,2,2.117,40.853,SRV,2
null,3,15.713,0.859,SRV,2
null,1,0.025,33.791,SRV,3
null,2,0.025,30.544,SRV,3
null,3,2.759,35.666,SRV,3
null,1,0.025,29.065,SRV,4
null,2,0.025,35.27,SRV,4
null,3,2.759,35.666,SRV,4
null,1,0.025,31.745,SRV,5
null,2,0.026,32.618,SRV,5
null,3,2.761,35.637,SRV,5
null,1,0.025,37.253,SRV,6
null,2,0.025,27.079,SRV,6
null,3,2.759,35.668,SRV,6
null,1,0.025,34.516,SRV,7
null,2,0.025,29.812,SRV,7
null,3,2.759,35.671,SRV,7
null,1,0.024,27.832,SRV,8
null,2,0.024,36.466,SRV,8
null,3,2.757,35.702,SRV,8
null,1,0.025,37.171,SRV,9
null,2,0.025,27.144,SRV,9
null,3,2.758,35.685,SRV,9
null,1,0.024,25.504,SRV,10
null,2,0.025,38.812,SRV,10
null,3,2.758,35.684,SRV,10
