model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1247,SRV+Double,1
alternative,reference,2H,0.0689,SRV+Double,1
alternative,test,2H,0.2076,SRV+Double,1
null,reference,2H,0.0683,SRV+Double,1
null,reference,2H,0.068,SRV+Double,1
null,reference,2H,0.0679,SRV+Double,1
null,reference,2H,0.0675,SRV+Double,1
null,reference,2H,0.0669,SRV+Double,1
null,reference,2H,0.0726,SRV+Double,1
null,test,2H,0.2064,SRV+Double,1
null,test,2H,0.207,SRV+Double,1
null,test,2H,0.2066,SRV+Double,1
null,test,2H,0.195,SRV+Double,1
null,test,2H,0.2052,SRV+Double,1
null,test,2H,0.0645,SRV+Double,1
alternative,reference,2H,0.1229,SRV+Double,2
alternative,reference,2H,0.0698,SRV+Double,2
alternative,test,2H,0.2086,SRV+Double,2
null,reference,2H,0.0692,SRV+Double,2
null,reference,2H,0.0689,SRV+Double,2
null,reference,2H,0.0682,SRV+Double,2
null,reference,2H,0.0785,SRV+Double,2
null,test,2H,0.2075,SRV+Double,2
null,test,2H,0.2022,SRV+Double,2
null,test,2H,0.2069,SRV+Double,2
null,test,2H,0.0587,SRV+Double,2
alternative,reference,2H,0.1353,SRV+Double,3
alternative,reference,2H,0.0702,SRV+Double,3
alternative,test,2H,0.2052,SRV+Double,3
null,reference,2H,0.0699,SRV+Double,3
null,reference,2H,0.0841,SRV+Double,3
null,test,2H,0.2089,SRV+Double,3
null,test,2H,0.0579,SRV+Double,3
alternative,reference,2H,0.1359,SRV+Double,4
alternative,reference,2H,0.0644,SRV+Double,4
alternative,test,2H,0.1937,SRV+Double,4
null,reference,2H,0.0643,SRV+Double,4
null,reference,2H,0.0788,SRV+Double,4
null,test,2H,0.1989,SRV+Double,4
null,test,2H,0.0605,SRV+Double,4
alternative,reference,2H,0.1357,SRV+Double,5
alternative,reference,2H,0.0647,SRV+Double,5
alternative,test,2H,0.1997,SRV+Double,5
null,reference,2H,0.0645,SRV+Double,5
null,reference,2H,0.0643,SRV+Double,5
null,reference,2H,0.0789,SRV+Double,5
null,test,2H,0.1992,SRV+Double,5
null,test,2H,0.1958,SRV+Double,5
null,test,2H,0.1996,SRV+Double,5
null,test,2H,0.0588,SRV+Double,5
alternative,reference,2H,0.1361,SRV+Double,6
alternative,reference,2H,0.0646,SRV+Double,6
alternative,test,2H,0.1958,SRV+Double,6
null,reference,2H,0.0643,SRV+Double,6
null,reference,2H,0.0642,SRV+Double,6
null,reference,2H,0.0639,SRV+Double,6
null,reference,2H,0.078,SRV+Double,6
null,test,2H,0.1952,SRV+Double,6
null,test,2H,0.1905,SRV+Double,6
null,test,2H,0.0577,SRV+Double,6
alternative,reference,2H,0.1386,SRV+Double,7
alternative,reference,2H,0.07,SRV+Double,7
alternative,test,2H,0.209,SRV+Double,7
null,reference,2H,0.07,SRV+Double,7
null,reference,2H,0.0694,SRV+Double,7
null,reference,2H,0.0692,SRV+Double,7
null,reference,2H,0.0682,SRV+Double,7
null,reference,2H,0.0678,SRV+Double,7
null,reference,2H,0.0679,SRV+Double,7
null,reference,2H,0.0676,SRV+Double,7
null,reference,2H,0.0675,SRV+Double,7
null,reference,2H,0.0665,SRV+Double,7
null,reference,2H,0.0722,SRV+Double,7
null,test,2H,0.2089,SRV+Double,7
null,test,2H,0.2081,SRV+Double,7
null,test,2H,0.2077,SRV+Double,7
null,test,2H,0.2064,SRV+Double,7
null,test,2H,0.2059,SRV+Double,7
