model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0884,SRV+Double,1
alternative,reference,2H,0.0544,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0545,SRV+Double,1
null,reference,2H,0.0544,SRV+Double,1
null,reference,2H,0.0546,SRV+Double,1
null,reference,2H,0.0532,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0891,SRV+Double,2
alternative,reference,2H,0.054,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0539,SRV+Double,2
null,reference,2H,0.0541,SRV+Double,2
null,reference,2H,0.0544,SRV+Double,2
null,reference,2H,0.0529,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0878,SRV+Double,3
alternative,reference,2H,0.0545,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0545,SRV+Double,3
null,reference,2H,0.053,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0875,SRV+Double,4
alternative,reference,2H,0.054,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0539,SRV+Double,4
null,reference,2H,0.0541,SRV+Double,4
null,reference,2H,0.0528,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0877,SRV+Double,5
alternative,reference,2H,0.0542,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0542,SRV+Double,5
null,reference,2H,0.0543,SRV+Double,5
null,reference,2H,0.0544,SRV+Double,5
null,reference,2H,0.053,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0876,SRV+Double,6
alternative,reference,2H,0.0541,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.054,SRV+Double,6
null,reference,2H,0.0541,SRV+Double,6
null,reference,2H,0.0542,SRV+Double,6
null,reference,2H,0.0528,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.087,SRV+Double,7
alternative,reference,2H,0.054,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0541,SRV+Double,7
null,reference,2H,0.0543,SRV+Double,7
null,reference,2H,0.053,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0857,SRV+Double,8
alternative,reference,2H,0.0538,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0539,SRV+Double,8
null,reference,2H,0.054,SRV+Double,8
null,reference,2H,0.0538,SRV+Double,8
null,reference,2H,0.0541,SRV+Double,8
null,reference,2H,0.0529,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0876,SRV+Double,9
alternative,reference,2H,0.054,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0541,SRV+Double,9
null,reference,2H,0.054,SRV+Double,9
null,reference,2H,0.0539,SRV+Double,9
null,reference,2H,0.0542,SRV+Double,9
null,reference,2H,0.0527,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0893,SRV+Double,10
