replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,1.0,1.01,-12275.29,24642.96,46,-12275.29,24640.94,45,0.2378,0.2134,Convergence/flat likelihood
2,SRV,1.0,1.01,-12275.29,24642.96,46,-12275.29,24640.94,45,0.2378,0.2135,Convergence/flat likelihood; Collapsed rate class
3,SRV,1.0,1.01,-12275.29,24642.96,46,-12275.29,24640.94,45,0.2379,0.2137,Convergence/flat likelihood
4,SRV,0.984,1.01,-12275.28,24642.96,46,-12275.29,24640.94,45,0.2379,0.2138,Convergence/flat likelihood; Collapsed rate class
5,SRV,1.0,1.01,-12275.29,24642.97,46,-12275.29,24640.95,45,0.2379,0.2137,Convergence/flat likelihood
6,SRV,1.0,1.01,-12275.29,24642.96,46,-12275.28,24640.94,45,0.2379,0.2138,Convergence/flat likelihood
7,SRV,1.0,1.01,-12275.29,24642.96,46,-12275.29,24640.94,45,0.2378,0.2135,Convergence/flat likelihood; Collapsed rate class
8,SRV,1.0,1.01,-12275.29,24642.96,46,-12275.28,24640.94,45,0.2376,0.2134,Convergence/flat likelihood
9,SRV,1.0,1.0,-12275.44,24643.27,46,-12275.29,24640.96,45,0.2377,0.2137,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.9851,1.01,-12275.28,24642.96,46,-12275.28,24640.94,45,0.2377,0.2131,Convergence/flat likelihood
1,SRV+Double,1.0,1.01,-12274.3,24645.02,48,-12274.3,24643.0,47,0.2379,0.2137,Convergence/flat likelihood
2,SRV+Double,1.0,1.01,-12274.31,24645.04,48,-12274.3,24643.01,47,0.2378,0.2137,Convergence/flat likelihood
3,SRV+Double,1.0,1.01,-12274.3,24645.02,48,-12274.3,24643.0,47,0.2377,0.2131,Convergence/flat likelihood
4,SRV+Double,1.0,1.01,-12274.3,24645.03,48,-12274.3,24643.0,47,0.2379,0.2137,Convergence/flat likelihood
5,SRV+Double,1.0,1.01,-12274.3,24645.02,48,-12274.3,24643.0,47,0.2378,0.2134,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,1.01,-12274.3,24645.03,48,-12274.3,24643.0,47,0.2379,0.2138,Convergence/flat likelihood
7,SRV+Double,1.0,1.01,-12274.3,24645.02,48,-12274.3,24643.0,47,0.238,0.2134,Convergence/flat likelihood
8,SRV+Double,1.0,1.01,-12274.3,24645.03,48,-12274.3,24643.01,47,0.2378,0.2139,Convergence/flat likelihood
9,SRV+Double,1.0,1.01,-12274.3,24645.03,48,-12274.3,24643.01,47,0.2379,0.2137,Convergence/flat likelihood
10,SRV+Double,1.0,1.01,-12274.3,24645.02,48,-12274.3,24643.0,47,0.2378,0.2135,Convergence/flat likelihood
1,SRV+Double+Triple,1.0,1.0,-12273.22,24646.91,50,-12273.22,24644.89,49,0.2378,0.2132,Convergence/flat likelihood
2,SRV+Double+Triple,1.0,1.0,-12273.22,24646.91,50,-12273.22,24644.89,49,0.2377,0.2131,Convergence/flat likelihood
3,SRV+Double+Triple,0.9886,1.0,-12273.22,24646.9,50,-12273.22,24644.88,49,0.2378,0.2134,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,1.0,1.01,-12273.22,24646.91,50,-12273.22,24644.89,49,0.2379,0.2137,Convergence/flat likelihood
5,SRV+Double+Triple,1.0,1.01,-12273.23,24646.91,50,-12273.22,24644.89,49,0.238,0.2134,Convergence/flat likelihood
6,SRV+Double+Triple,1.0,1.01,-12273.22,24646.91,50,-12273.22,24644.89,49,0.2378,0.2135,Convergence/flat likelihood
7,SRV+Double+Triple,1.0,1.0,-12273.23,24646.91,50,-12273.22,24644.89,49,0.2379,0.2137,Convergence/flat likelihood
8,SRV+Double+Triple,1.0,1.01,-12273.22,24646.91,50,-12273.22,24644.89,49,0.2379,0.2137,Convergence/flat likelihood
9,SRV+Double+Triple,1.0,1.0,-12273.22,24646.91,50,-12273.22,24644.89,49,0.238,0.2134,Convergence/flat likelihood
10,SRV+Double+Triple,1.0,1.01,-12273.22,24646.91,50,-12273.22,24644.89,49,0.2379,0.2137,Convergence/flat likelihood
