model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.119,8.384,SRV,1
null,2,0.863,82.551,SRV,1
null,3,3.059,9.065,SRV,1
null,1,0.12,8.425,SRV,2
null,2,0.864,82.523,SRV,2
null,3,3.058,9.052,SRV,2
null,1,0.119,8.402,SRV,3
null,2,0.863,82.528,SRV,3
null,3,3.058,9.07,SRV,3
null,1,0.12,8.45,SRV,4
null,2,0.864,82.496,SRV,4
null,3,3.06,9.055,SRV,4
null,1,0.118,8.354,SRV,5
null,2,0.863,82.564,SRV,5
null,3,3.057,9.082,SRV,5
null,1,0.118,8.353,SRV,6
null,2,0.863,82.577,SRV,6
null,3,3.059,9.07,SRV,6
null,1,0.12,8.44,SRV,7
null,2,0.864,82.498,SRV,7
null,3,3.059,9.062,SRV,7
null,1,0.117,8.338,SRV,8
null,2,0.863,82.594,SRV,8
null,3,3.059,9.069,SRV,8
null,1,0.115,8.198,SRV,9
null,2,0.861,82.67,SRV,9
null,3,3.05,9.131,SRV,9
null,1,0.119,8.402,SRV,10
null,2,0.864,82.538,SRV,10
null,3,3.06,9.06,SRV,10
