replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.0388,1.66,-6838.09,13756.56,40,-6840.22,13758.82,39,0.1813,0.056,Convergence/flat likelihood
2,SRV,0.0375,1.74,-6838.05,13756.49,40,-6840.21,13758.8,39,0.1813,0.056,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.0376,1.74,-6838.05,13756.5,40,-6840.21,13758.8,39,0.1813,0.056,Convergence/flat likelihood
4,SRV,0.037,1.73,-6838.03,13756.46,40,-6840.21,13758.79,39,0.1813,0.056,Convergence/flat likelihood
5,SRV,0.0392,1.66,-6838.09,13756.57,40,-6840.21,13758.8,39,0.1813,0.056,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.0372,1.74,-6838.04,13756.47,40,-6840.21,13758.79,39,0.1813,0.056,Convergence/flat likelihood
7,SRV,0.037,1.72,-6838.03,13756.46,40,-6840.21,13758.79,39,0.1813,0.056,Convergence/flat likelihood
8,SRV,0.0376,1.74,-6838.05,13756.5,40,-6840.21,13758.8,39,0.1813,0.056,Convergence/flat likelihood
9,SRV,0.037,1.72,-6838.03,13756.46,40,-6840.21,13758.79,39,0.1813,0.056,Convergence/flat likelihood
10,SRV,0.0369,1.74,-6838.03,13756.45,40,-6840.21,13758.79,39,0.1813,0.056,Convergence/flat likelihood
1,SRV+Double,0.0378,1.74,-6838.04,13760.51,42,-6840.2,13762.81,41,0.1813,0.056,Convergence/flat likelihood
2,SRV+Double,0.0371,1.75,-6838.04,13760.51,42,-6840.21,13762.83,41,0.1814,0.056,Convergence/flat likelihood
3,SRV+Double,0.0376,1.74,-6838.05,13760.54,42,-6840.21,13762.84,41,0.1813,0.056,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.8998,1.52,-6838.03,13762.51,43,-6838.03,13760.5,42,0.1813,0.056,Convergence/flat likelihood
5,SRV+Double,0.0373,1.76,-6838.04,13760.51,42,-6840.2,13762.82,41,0.1813,0.056,Convergence/flat likelihood
6,SRV+Double,0.0383,1.73,-6838.05,13760.53,42,-6840.2,13762.8,41,0.1813,0.056,Convergence/flat likelihood
7,SRV+Double,0.0381,1.67,-6838.04,13760.52,42,-6840.19,13762.8,41,0.1813,0.056,Convergence/flat likelihood
8,SRV+Double,0.0382,1.72,-6838.05,13760.53,42,-6840.2,13762.8,41,0.1813,0.056,Convergence/flat likelihood
9,SRV+Double,0.0383,1.66,-6838.05,13760.53,42,-6840.19,13762.8,41,0.1813,0.056,Convergence/flat likelihood
10,SRV+Double,0.0371,1.74,-6838.03,13760.49,42,-6840.2,13762.81,41,0.1813,0.056,Convergence/flat likelihood
1,SRV+Double+Triple,0.0367,1.8,-6838.02,13764.53,44,-6840.21,13766.87,43,0.1813,0.0559,Convergence/flat likelihood
2,SRV+Double+Triple,0.0368,1.8,-6838.03,13764.53,44,-6840.21,13766.87,43,0.1813,0.056,Convergence/flat likelihood
3,SRV+Double+Triple,0.0376,1.7,-6838.03,13764.54,44,-6840.19,13766.84,43,0.1813,0.0559,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.038,1.71,-6838.04,13764.56,44,-6840.19,13766.84,43,0.1813,0.056,Convergence/flat likelihood
5,SRV+Double+Triple,0.0378,1.74,-6838.04,13764.56,44,-6840.2,13766.85,43,0.1813,0.056,Convergence/flat likelihood
6,SRV+Double+Triple,0.0373,1.74,-6838.03,13764.53,44,-6840.2,13766.85,43,0.1813,0.056,Convergence/flat likelihood
7,SRV+Double+Triple,0.0371,1.75,-6838.03,13764.53,44,-6840.2,13766.85,43,0.1813,0.056,Convergence/flat likelihood
8,SRV+Double+Triple,0.0371,1.76,-6838.04,13764.55,44,-6840.21,13766.87,43,0.1813,0.056,Convergence/flat likelihood
9,SRV+Double+Triple,0.037,1.76,-6838.03,13764.54,44,-6840.21,13766.87,43,0.1813,0.056,Convergence/flat likelihood
10,SRV+Double+Triple,0.0366,1.81,-6838.03,13764.53,44,-6840.21,13766.88,43,0.1813,0.056,Convergence/flat likelihood
