model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.284,30.81,SRV,1
null,2,0.455,26.289,SRV,1
null,3,1.848,42.901,SRV,1
null,1,0.262,29.869,SRV,2
null,2,0.487,27.595,SRV,2
null,3,1.851,42.536,SRV,2
null,1,0.31,49.76,SRV,3
null,2,1.001,12.029,SRV,3
null,3,1.898,38.211,SRV,3
null,1,0.319,45.21,SRV,4
null,2,0.51,11.504,SRV,4
null,3,1.841,43.286,SRV,4
null,1,0.265,22.785,SRV,5
null,2,0.422,34.019,SRV,5
null,3,1.843,43.196,SRV,5
null,1,0.277,27.102,SRV,6
null,2,0.433,29.648,SRV,6
null,3,1.842,43.25,SRV,6
null,1,0.227,25.999,SRV,7
null,2,0.511,32.552,SRV,7
null,3,1.868,41.449,SRV,7
null,1,0.274,29.814,SRV,8
null,2,0.463,27.309,SRV,8
null,3,1.847,42.877,SRV,8
null,1,0.262,24.584,SRV,9
null,2,0.438,32.446,SRV,9
null,3,1.846,42.97,SRV,9
null,1,0.29,32.18,SRV,10
null,2,0.45,24.684,SRV,10
null,3,1.844,43.136,SRV,10
